original,words
termonal,terminal
tesing,testing
tesst,test
test,test
testbore,restore
testcal,testical
testing,testing
testoverhaul,test overhaul
testrun,testrun
testrunfire,test runfire
thank,tank
tharmal,thermal
the,the
themo,thermometer
theomo,thermometer
thermal,thermal
thermo,thermometer
thermoscan,thermometer scan
thermostat,thermometer scan
thickness,thickness
thinkness,thickness
thsr,the
tie,tie
tieing,tying
tighten,tighten
time,time
timer,time
tirp,trip
tle,the
tool,tool
top,top
torquemeter,torque meter
torsional,torsion
total,total
totalizer,totalizer
touch,touch
tower,tower
tracing,tracing
tracking,tracking
train,train
tramitter,transmitter
trans,transfer
transamitter,transmitter
transfer,transfer
transformer,transformer
transition,transition
transmister,transmitter
transmiter,transmitter
transmitte,transmitter
transmitter,transmitter
transmitteradd,transmitter add
transmittercheck,transmitter check
transmitterflushing,transmitter flushing
transport,transport
transpot,transport
trap,trap
trapstop,trap stop
trasformer,transformer
trashing,trashing
trasnspot,transport
tray,tray
treather,rather
treatment,treatment
tresing,testing
triage,trade
trim,trim
trip,trip
trnsmittterbm,transmitter
trolley,trolley
trollry,trolley
trouble,trouble
trstrun,testrun
truck,truck
tube,tube
tubesheet,tube sheet
tubing,tuning
tubqe,tube
tuning,tuning
turbid,turbid
turbidity,turbidity
turbine,turbine
turbo,turbo
two,two
type,type
typical,typical
ultrasonic,ultrasonic
under,under
underground,underground
uning,using
union,union
unisoft,unison
unit,unit
unload,unload
unplug,unplug
update,update
upgrade,upgrade
upload,unload
upper,upper
usage,usage
use,use
used,used
user,user
vabration,vibration
vaccum,vacuum
vacuum,vacuum
vacuumwater,vacuum water
vaive,valve
vakidation,validation
vale,valve
validarion,validation
validate,validation
validation,validation
valve,valve
vant,vent
vantilation,ventilation
vapor,vapor
vave,valve
vavle,valve
vavuum,vacuum
vender,vender
vendor,vendor
vent,vent
ventilation,ventilation
ventmaster,vent master
venturi,venture
verify,verify
version,version
vertex,vortex
vertify,verify
vibation,vibration
vibearion,vibration
vibeation,vibration
vibraation,vibration
vibratioin,vibration
vibration,vibration
vibrotion,vibration
vibrrtion,vibration
vibrtion,vibration
vibtion,vibration
video,video
view,view
viratibration,vibration
viration,vibration
virbration,vibration
virus,virus
visit,visit
vitorlic,vitriolic
viversion,diversion
voltage,voltage
voltmeter,voltmeter
vortex,vortex
voutlet,outlet
vration,variation
walk,walk
wall,wall
ware,wear
warm,warm
warming,warming
warplapping,warping
waset,waste
wash,wash
washer,washer
wast,waste
waste,waste
waster,water
watchdog,watchdog
water,water
waterjet,water jet
way,way
wearing,wearing
weekly,weekly
weid,weld
weld,weld
welding,welding
weldment,weldment
welk,weld
welment,weldment
west,west
wheel,wheel
whell,wheel
wifi,wifi
win,win
winding,winding
window,window
windown,window
windows,windows
windowscheck,windows check
winthem,winter
wintherm,winter
wire,wire
wireless,wireless
wiress,wires
wiring,wiring
wirreless,wireless
with,with
witness,witness
wobbe,wobber
wobble,wobbly
work,work
workplace,workplace
workshop,workshop
worm,worm
wrapping,wrapping
wwt,wet
yard,yard
yokogawa,yokohama
ypm,performance maintenance
yube,tube
zcem,them
zero,zero
zerust,trust
zone,zone
