Details,Predict Type of finding,Type of finding
ไม่ได้ Update และไม่ได้ลงข้อมูลตรวจสอบ Checklist ของตู้ Panel,Unsafe Action,Unsafe Condition
ต่อสาย Ground  ร่วมกับ Ground ของ Plant,Unsafe Action,Unsafe Condition
บันไดสภาพชำรุดและยังไม่ได้ inspect ก่อนนำมาใช้งาน (พบก่อนเริ่มงาน),Unsafe Action,Unsafe Condition
จุดปฏิบัติงานตั้งนั่งร้านอยู่ใกล้ปุ่ม Switch ESD,Unsafe Condition,Unsafe Condition
งาน Water jet TLE tube Hose สบัด,Unsafe Action,HNM
ขณะประกอบหัวลากเข้ากับตู้คอนเทนเนอร์ ขาตั้งตู้พับ ทำให้ทรุดเอียง,HNM,HNM
ผู้ฏิบัติงานไม่ได้สวมใส่ Face shield สวมเพียงแว่นตา เสี่ยงต่อสะเก็ดไฟหรือได้รับความร้อนจากหัวเผา,Unsafe Condition,Unsafe Action
Safety Harness ไม่ได้ตรวจสภาพเดือนเมษายน,,Unsafe Condition
ไม่ได้ Lock open valve,,Unsafe Condition
จุุดวางตู้ Panel  ชั้นล่าง ไม่มี Safety net ป้องกันของตกจากชั้นบนที่มีการปฏิบัติงาน,Unsafe Action,Unsafe Condition
ลังเครื่องมือและผ้าใบคลุม กีดขวางพื้นที่ปฏิบัติงาน,Unsafe Condition,Unsafe Condition
ไม่มีเทปพัน safety sling กันสะบัดที่คล้องจุด connect line ,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานจอดจักรยานกีดขวาง Hose Box/ Fire hydrant,Unsafe Action,Unsafe Action
ใช้ Cutter ธรรมดาตัดกระดาษ,Unsafe Action,Unsafe Action
Weld coil โดยไม่สวมใส่ Face shield ,Unsafe Action,Unsafe Action
ไม่มีการปิดล้อมพื้นที่ จุดที่พบ Steam tracing leak,Unsafe Condition,Unsafe Condition
เดินสายไฟวางพาดกับ Handrail โดยตรง โดยไม่มีฉนวน,,Unsafe Condition
เครื่อง Water jet ยังไม่มีการตรวจสภาพเป็นปัจจุบัน,,Unsafe Condition
มีเศษพลาสติกและใช้ผ้าใบกันลมปิดกั้นพื้นที่ งานเชื่อม Coil ใน Fire Box,Unsafe Condition,Unsafe Condition
จุดคล้องเกี่ยว Safety sling ที่ใช้ในงาน Water jet ไม่มั่นคง,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานนั่งขอบกระบะรถเฮี้ยบขณะมีงานยก Valve ขึ้นด้านหลัง H-100D ,Near Miss,Unsafe Action
เปิด plate เพื่อลงไปปฏิบัติงานบนหลังคาเตา และไม่ได้ปิดกลับ ปล่อยเป็นช่องเปิดทิ้งไว้ไม่มี Barricade และป้ายเตือน (SL ไม่ทราบเรื่อง),Unsafe Action,Unsafe Action
ยืนสุ่งอุปกรณ์นั่งร้านบนบันไดลิง,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานไม่สวมใส่ถุงมือ และแว่นตาขณะทำ Hydrotest,Unsafe Action,Unsafe Action
ไม่จัดเก็บ เศษ Insulation ใส่ถุงหลังจากรื้อออก,Unsafe Action,Unsafe Condition
ใช้สว่านไฟฟ้าที่ไม่ได้ตรวจสภาพประจำเดือนพฤษภาคม มาใช้ในงานหุ้ม Insulation,Unsafe Action,Unsafe Action
รถยนต์ไวโบรที่ใช้ในงานตอก Sheet Pile มีความร้อนขึ้นที่ห้องเครื่องยนต์และเกิดไฟลุกขึ้นเล็กน้อย และผู้ให้สัญญาณได้ใช้น้ำในการดับไฟ,Near Miss,Near Miss
ท่ออลูมิเนียมที่ใช้ในงานทาสีหล่นมาจากความสูง 4 เมตร น้ำหนักน้อยกว่า 1/2 ก.ก. ไม่มีผู้ได้รับบาดเจ็บและไม่มีทรัพย์สินเสียหาย,Near Miss,Near Miss
นั่งร้าน Tag เขียวไม่ได้ Inspect ตั้งแต่ Nov-2020,Unsafe Condition,Unsafe Condition
จัดวางอุปกรณ์นั่งร้านไม่เป็นระเบียบ,,Unsafe Condition
ไม่จัดเก็บเศษ Insulation หลังปฏิบัติงานเสร็จ,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานติดตั้งนั่งร้าน ไม่มี Sticker WAH ติดที่บัตร,Unsafe Action,Unsafe Action
"ยืนปฏิบัติงานบนท่อ และคล้องเกี่ยว Harness กับ Pipe 1""",Unsafe Action,Unsafe Action
ติดตั้งนั่งร้านโดยไม่ได้ล้อม Barricade ,Unsafe Action,Unsafe Condition
ทำงานติดตั้งนั่งร้าน โดยไม่มีการปิดล้อมพื้นที่,Unsafe Action,Unsafe Condition
จัดวางอุปกรณ์ไม่เป็นระเบียบ โดยวางเครื่องปั่นโอเล่ไว้ด้านหลังขณะทำงานเจียร ,Unsafe Condition,Unsafe Condition
"งาน modify line HV 6"" ไม่มี Daily Checlist Generator",Unsafe Condition,Unsafe Condition
สาย Ground รถ Vacuum ขนาดเล็กว่าข้อกำหนดของ MOC (35 sq.mm) และจุด connect ไม่เหมาะสม โดยนำไปต่อพ่วงกับ Ground ของอุปกรณ์,Unsafe Condition,Unsafe Condition
ปิดล้อมผ้ากันไฟไม่ครอบคลุม โดยมีประกายไฟกระเด็นออกมาจากด้านบน,Unsafe Condition,Unsafe Condition
Rigger ให้สัญญาณไม่สวมเสื้อสะท้อนแสง อาจทำให้ผู้บังคับเครนสับสน/ ควบคุมผิดพลาดได้,Unsafe Action,Unsafe Action
งานรื้อนั่งร้าน ผู้ปฏิบัติงานยืนบน Guard Ladder เสี่ยงต่อการเสียหลักตกลงมา/ อุปกรณ์ตก ได้,Unsafe Action,Unsafe Condition
งาน Clean waste จุดต่อของ Hood leak ทำให้อากาศเสียบางส่วนออกสู่ ATM โดยไม่ผ่าน Scrubber ,Unsafe Condition,Unsafe Condition
งาน Clean waste ผู้ปฏิบัติงานไม่สวมใส่ Face shield ขณะทำ water jet,Unsafe Action,Unsafe Action
พบ Inspected sticker ของ Stand ที่ใช้สำหรับยืนหุ้ม Insulation หมดอายุ,Unsafe Action,Unsafe Condition
ปีกองอุปกรณ์นั่งร้านเพื่อไปขนอุปกรณ์ลงมา,Unsafe Action,Unsafe Action
Wind sock ขาดชำรุด และติดกับเสาที่ยึด DAS ทำให้ไม่สามารถบอกทิศทางลมได้ถูกต้อง,Unsafe Condition,Unsafe Condition
Wind sock ขาดชำรุด,,Unsafe Condition
งานยกเพื่อติดตั้ง P-202AB ปิดล้อมพื้นที่ด้วยกรวยขนาดเล็ก ความสูงไม่ได้มาตรฐาน ,Unsafe Condition,Unsafe Condition
งานติดตั้ง P-202AB ปฏิบัติงานโดยไม่มี Hole Watch stand by ที่จุดปฏิบัติงาน,Unsafe Action,Unsafe Action
นั่งร้านที่ใช้ในงาน Repair Fire Proof ยังไม่ได้ inspect ประจำเดือน,Unsafe Condition,Unsafe Condition
งาน Swing blind ผู้ปฏิบัติงานสวมใส่ถุงมือผ้าแทนถุงมือหนัง,Unsafe Action,Unsafe Action
งานรื้อถอนนั่งร้านสูง 5 เมตร ไม่มี PTW อยู่ที่หน้างาน,Unsafe Action,Unsafe Action
ถังดับเพลิงที่นำมาใช้ในงานทาสี ยังไม่ได้ตรวจสภาพในเดือนปัจจุบัน,Unsafe Action,Unsafe Condition
"เครื่องมือและอุปกรณ์ (ประแจ, ค้อน) ที่นำมาใช้งาน ไม่มีเชือกผูกมัดสำหรับป้องกันการตก",Unsafe Action,Unsafe Action
งานรื้อถอนนั่งร้านความสูง 4 เมตร ไม่มีการปิดล้อมพื้นที่,Unsafe Action,Unsafe Condition
กองขยะและอุปกรณ์นั่งร้านไม่ได้จัดเก็บออกจากพื้นที่หลังปฏิบัติงานเสร็จ,Unsafe Condition,Unsafe Condition
อุปกรณ์นั่งร้านไม่ได้จัดเก็บออกจากพื้นที่,Unsafe Action,Unsafe Condition
อุปกรณ์นั่งร้านไม่ได้จัดเก็บออกจากพื้นที่,Unsafe Action,Unsafe Condition
เชือกผูกสว่านแบตเตอรี่ (ติดมาจากร้านจำหน่ายอุปกรณ์) ไม่เหมาะสม ไม่สามารถคล้องที่ข้อมือได้,Unsafe Condition,Unsafe Condition
งานขนย้ายอุปกรณ์นั่งร้าน ผู้ปฏิบัติงานอยู่ในตำแหน่งที่รับอุปกรณ์ไม่ถนัด เนื่องจากติด Handrail ของ Grating ,Unsafe Condition,Unsafe Condition
ผู้ปฎิบัติงานขึ้นที่สูงตั้งนั่งร้านคล้องเกี่ยว Harness ผิดตำแหน่ง,Unsafe Action,Unsafe Action
ทำงานในพื้นที่ทับซ้อนกันเนื่องจากงานเร่งกันทั้งคู่ ด้านล่างเป็นงาน ตัด เชื่อม เจียร modify pipe ของ CLEAR ส่วนด้านบนบริเวณติดกันมีงานตั้งนั่งร้านของ WTM,Unsafe Condition,Unsafe Condition
งานรื้อถอนนั่งร้าน ไม่ได้ปิดล้อม Barricade ป้องกันผู้ไม่เกี่ยวข้องเข้ามาในพื้นที่,Unsafe Condition,Unsafe Condition
กองเก็บอุปกรณ์นั่งร้าน กีดขวาง Hose Box & Hydrant,Unsafe Action,Unsafe Condition
กองอุปกรณ์นั่งร้านทิ้งไว้บน platform และไม่ได้มัดปากถุง Insulation,Unsafe Action,Unsafe Condition
ทางขึ้นลงบันไดนั่งร้านไม่มี Tag,Unsafe Action,Unsafe Condition
งานถอดอุปกรณ์ เพื่อเตรียมงาน Water jet ผู้ปฏิบัติงานสวมใส่ถุงมือเพียงข้างเดียว,Unsafe Action,Unsafe Action
4 ผู้ไม่ได้สวมใส่เสื้อสะท้อนแสง ครบทุกคน ผู้บังคับเครนอาจมองไม่เห็น หรืออาจสับสนในการให้สัญญาณ มีโอกาสเกิดอันตรายได้,Unsafe Action,Unsafe Action
Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect,,Unsafe Condition
งานหุ้ม Insulation ไม่มี Safety Lead (อดิเรก) อยู่ที่หน้างาน เนื่องจากไปดูงานที่จุดอื่น (OLE-LH-2),Unsafe Action,Unsafe Action
ผู้ปฏิบัติงานหุ้ม Insulation ขึ้นนั่งร้านที่ไม่ได้ inspect และใช้บันไดนั่งร้านพาดกับโครงสร้างเพื่อขึ้นไปปฏิบัติงาน,Unsafe Action,Unsafe Action
Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect,,Unsafe Condition
งาน Water jet บริเวณจุด Drain น้ำชั้นล่าง ไม่มีการปิดกั้นพื้นที่ ซึ่งขณะ jet มีน้ำกระเด็นออกมาบริเวณรอบค่อนข้างแรง อาจทำให้ผู้ปฏิบัติงานโดยรอบได้รับอันตรายได้,Unsafe Condition,Unsafe Condition
HOT-HH-05 Safety Lead ที่ควบคุมงานไม่มี Sticker และเอกสารยืนยันการผ่านอบรมจาก MOC,Unsafe Action,Unsafe Action
ตู้ไฟตั้งกลางแจ้ง ไม่มีผ้าใบคลุมป้องกันฝน,Unsafe Action,Unsafe Condition
มีการปฏิบัติงานขุด ทับซ้อนกับงานถอนวัชพืช (line of fire),Unsafe Action,Unsafe Action
งานติดตั้ง Sheet pile ไม่ได้ปิดล้อม Barricade ป้องกันผู้ไม่เกี่ยวข้องเข้ามาในพื้นที่,Unsafe Action,Unsafe Condition
งาน Insulation ใช้ถุงมือกันบาดไม่ตรงตามที่ระบุใน JSA,Unsafe Action,Unsafe Action
COLD-LH-003 งานขนย้ายอุปกรณ์นั่งร้านออกนอกพื้นที่ SL ไม่ได้ sign ตรวจสอบใน work ก่อนเริ่มงาน,Unsafe Action,Unsafe Action
ตะแกรงท่อเสียรถ Backhole ชำรุด,Unsafe Condition,Unsafe Condition
เครื่องขัดแนวเชื่อมไม่มี Handle,,Unsafe Condition
สลิงผ้าใบไม่ได้ตรวจสภาพ (ไม่มี Tag),Unsafe Action,Unsafe Condition
ขณะทำงานติดตั้ง Sheet pile ผู้ปฏิบัติงานมาได้สวมใส่แว่นตา,Unsafe Action,Unsafe Action
ผู้ปฏิบัติงานนำธงแดงผูกไว้กับสายไฟของอุปกรณ์ Plant เพื่อปิดล้อม Barricade ในงานรื้อถอนนั่งร้าน ,Unsafe Action,Unsafe Action
งาน Swing blind ผู้ปฏิบัติงานสวมใส่ถุงมือผ้าแทนถุงมือหนัง,Unsafe Action,Unsafe Action
งานซ่อม pump motor ไม่มีการติด Tag LOTO,Unsafe Action,Unsafe Condition
สลิงผ้าใบไม่มี Tag sticker ตรวจสภาพ,Unsafe Action,Unsafe Condition
งานยกติดตั้ง Pump ผู้ปฏิบัติงานควบคุม Tagline บน Hiab เสี่ยงต่อการตกจากหลังรถ,Unsafe Action,Unsafe Action
กองอุปกรณ์นั่งร้านรอการขนย้ายออกจากพื้นที่,Unsafe Condition,Unsafe Condition
ใช้ถุงมือผ้าในงาน cleening ตะแกรง Cooling Tower,Unsafe Action,Unsafe Action
อุปกรณ์นั่งร้านวางทิ้งไว้บน Pipe rack,,Unsafe Condition
ปิดล้อม Barricade และ ติดป้ายเตือนไม่ชัดเจนบริเวณทางขึ้น,Unsafe Action,Unsafe Condition
"อุปกรณ์นั่งร้าน, Insulation, ขยะต่างๆ กองทิ้งไว้ ไม่ได้จัดเก็บออกจากพื้นที่",Unsafe Condition,Unsafe Condition
กล่อง/ ลังไม้ใส่อุปกรณ์ รอการขนย้ายออกจากพื้นที่,Unsafe Condition,Unsafe Condition
ถัง Spill kit ไม่มีอุปกรณ์ Spill kit,,Unsafe Condition
Mark จุดปฏิบัติงานใน Plot plan เป็น Area,Unsafe Action,Unsafe Action
plastic หุ้ม ติดอยู่ที่อุปกรณ์,Unsafe Action,Unsafe Condition
Generator ไม่ได้ใช้งานรอการขนย้ายออกจากพื้นที่,,Unsafe Condition
Boom lift ที่นำมาใช้ในงานทาสี ไม่มี Daily checklist,Unsafe Action,Unsafe Action
ปิดล้อม Barricade ไม่ครอบคลุมจุดปฏิบัติงาน,Unsafe Action,Unsafe Condition
ไม่มี Plot plan แนบเอกสารนำรถเข้าพื้นที่ ป้องกันการนำรถไปใช้ในจุดที่ไม่ได้ออนุญาตเจ้าของพื้นที่,Unsafe Action,Unsafe Action
นำรั้วกั้นระหว่างพื้นที่ MC และ SC ออก,Unsafe Condition,Unsafe Condition
คันดิน slide และไม่มี Concrete กั้นที่แนวถนน,Unsafe Condition,Unsafe Condition
Insulation ไม่ได้ระบุว่าใช้งานต่อหรือรอการขนย้าย,,Unsafe Condition
Structure รอดำเนินการหุ้ม Fireproof,,Unsafe Condition
ฝา Cover Carbon canister ชำรุด,,Unsafe Condition
ปิดกั้น Barricade ไม่ครอบคลุม จุดปฏิบัติงาน,Unsafe Action,Unsafe Condition
งาน Load Polymer ผู้ปฏิบัติงานยืนควบคุม Tag line บน Hiab เสี่ยงต่อการตกลงมาจากหลังรถ,Unsafe Action,Unsafe Action
สวมถุงมือผ้าในงาน Swing Blind,Unsafe Action,Unsafe Action
ไม่มีหมอนรองรถ Hiab ที่ใช้ในการขนย้ายอุปกรณ์นั่งร้าน,Unsafe Action,Unsafe Condition
SL งานรื้อนั่งร้านไม่มี Safety Harness,Unsafe Action,Unsafe Action
รถเข็นอุปกรณ์นั่งร้าน modify ใช้งานไม่เป็นไปตามข้อกำหนด,Unsafe Action,Unsafe Condition
งาน install calibration cell ไม่สวมถุงมือก่อนเริ่มทำงาน,Unsafe Action,Unsafe Action
พนักงานขับรถลืมสวมใส่หมวก,Unsafe Action,Unsafe Action
Metal sheet ค้างด้านบน,,Unsafe Condition
Metal sheet และอุปกรณ์นั่งร้านค้างอยู่ด้านบน,Unsafe Action,Unsafe Condition
เศษเหล็กวางทิ้งไว้,,Unsafe Condition
ไม่สวมใส่ชุด Tyvek ขณะทำงาน,,Unsafe Action
Hole watch สวมใส่หมวก ไม่ตรงตามตำแหน่ง (หมวกสีแดง),Unsafe Action,Unsafe Action
Hole watch และหัวหน้างานไม่มีวิทยุสื่อสารกับผู้ปฏิบัติงานด้านใน,Unsafe Action,Unsafe Action
งาน Replied Wall ผู้ปฏิบัติงานไม่สวมถุงมือขณะปฏิบัติงาน,Unsafe Action,Unsafe Action
ใช้สลิงผ้าใบผูกเสาเข็ม เพื่อลากเข้าไปด้านใต้อุปกรณ์ติดตั้ง Support  จึงทำให้สลิงผ้าใบขาดชำรุด,Unsafe Action,Unsafe Action
โครงสร้างนั่งร้านฐานล่างไม่แข็งแรง ,Unsafe Condition,Unsafe Condition
"บัตร SL งานติดตั้ง Compact, Prove meter หมดอายุ (3 คน)",Unsafe Action,Unsafe Action
ผู้ปฏิบัติงานขึ้นไปเหยียบบนขอบ Scrubber ขณะเปลี่ยน activate carbon,Unsafe Action,Unsafe Action
ผู้ปฏิบัติงานไม่สวมใส่ mask ป้องกัน ขณะเปลี่ยน activate carbon,Unsafe Action,Unsafe Action
วางสายไฟกับพื้นที่มีลักษณะเปียก,Unsafe Action,Unsafe Condition
ใช้เชือกฟางมัดสายไฟ,Unsafe Action,Unsafe Condition
นำกล่องกระดาษรองสายไฟที่พาดกับ Handrail,Unsafe Action,Unsafe Condition
สายไฟวางพาด Open hole โดยไม่มีผ้ารองกันบาด,Unsafe Condition,Unsafe Condition
จุดวางถังน้ำดื่มตั้งอยู่บริเวณที่มีการปฏิบัติงานด้านบน (Line of fire),Unsafe Action,Unsafe Condition
งาน Refactory วาง Big Bag ที่เป็น Waste ทิ้งไว้โดยไม่ได้ปิดล้อมพื้นที่,Unsafe Condition,Unsafe Condition
งานถอดประกอบอุปกรณ์มีการนำขวดน้ำอัดลมบรรจุน้ำยาล้างจาน,Unsafe Action,Unsafe Action
งาน Remove motor pump ผู้ปฏิบัติงานไม่สวมถุงมือปฏิบัติงาน,Unsafe Action,Unsafe Action
งานตัดผนัง ผู้ปฏิบัติงานใช้เครื่องเจียรไม่มี Handle,Unsafe Action,Unsafe Condition
ข้อต่อสาย Ground ตู้เชื่อมไม่แน่นและใช้งานมานาน อยู่ในสภาพไม่พร้อมใช้งาน,Unsafe Condition,Unsafe Condition
"ถังดับเพลิง Tag หมดอายุตั้งแต่ปี 2020, หน้าปัดแตก, Pressure เป็นศูนย์",Unsafe Condition,Unsafe Condition
งานขัดสนิมไม่สวมใส่ PPE ตามมาตรการที่กำหนดใน JSA,Unsafe Action,Unsafe Action
งานทาสีในบ่อ เปิด PTW งาน HW II (OLE2-LH-002) ผู้ขออนุญาต สรวัฒน์,Unsafe Action,Unsafe Action
งานถอดประกอบ/ Swing Blind ผู้ปฏิบัติงานยืนปฏิบัติงานในบริเวณของ Line of fire ,Unsafe Action,Unsafe Action
งานติดตั้งนั่งร้าน ปิดล้อมพื้นที่ไม่ครอบคลุมจุดปฏิบัติงาน,Unsafe Action,Unsafe Condition
งานยก/ขนย้ายอุปกรณ์ ใช้สะเก็นที่ไม่มี Tag inspect ,Unsafe Action,Unsafe Action
งานติดตั้งนั่งร้าน ปิดล้อมพื้นที่ไม่ครอบคลุมจุดปฏิบัติงาน,Unsafe Action,Unsafe Condition
จุด Connect สาย Ground ไม่แน่น,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานติดตั้งนั่งร้าน อยู่ในจุดLine of fire,Unsafe Action,Unsafe Action
เศษไม้ ผ้าใบ และอุปกรณ์ ไม่มีการจัดเก็บออกจากพื้นที่,Unsafe Action,Unsafe Condition
วางอุปกรณ์นั่งร้านกีดขวางทางขึ้นลงบันไดนั่งร้าน,Unsafe Action,Unsafe Condition
นั่งร้านไม่มี Tag inspect,,Unsafe Condition
ผู้ปฏิบัติงานทาสี สวมใส่แว่นตาแฟชั่น,Unsafe Action,Unsafe Action
ปิดล้อมพื้นที่ไม่ครอบคลุม,,Unsafe Condition
กองเก็บอุปกรณ์นั่งร้านโดยไม่มี Barricade กั้น,Unsafe Action,Unsafe Condition
ผู้บังคับ Hiab งานถอดและยกฝา cover motor ไม่มีเสื้อสะท้อนแสง,Unsafe Action,Unsafe Action
SL งานตัดเปลี่ยน Valve line drainไม่อยู่ในพื้นที่การทำงาน และไม่ได้แจ้งให้หัวหน้างานทราบ,Unsafe Action,Unsafe Action
ใช้ประแจตีโดยไม่มีเชือกผูกอุปกรณ์ งาน Swing Blind,Unsafe Action,Unsafe Action
นำรถเข็นที่ไม่ได้มาตรฐานเข้ามาใช้งานในเขตกระบวนการผลิต,,Unsafe Condition
ผู้ปฏิบัติงาน งานติดตั้ง Air Compressor ไม่สวมใส่ถุงมือ,Unsafe Action,Unsafe Action
ผู้ปฏิบัติงาน งานยกติดตั้ง Air compressor ไม่สวมใส่เสื้อสะท้อนแสง,Unsafe Action,Unsafe Action
นำสลิงผ้าใบที่ไม่มีการตรวจสอบ(ไม่ติด sticker)มาใช้งาน,Unsafe Action,Unsafe Condition
ไม่สวมใส่ถุงมือก่อนเริ่มปฏิบัติงาน,Unsafe Action,Unsafe Action
ไม่มีการปิดล้อมพื้นที่ขณะปฏิบัติงานบนที่สูง (งานขัน Bolt),Unsafe Action,Unsafe Condition
วางอุปกรณ์นั่งร้านกีดขวาง Hose Box,Unsafe Condition,Unsafe Condition
ใช้งานหินเจียรโดยไม่มี Handle,Unsafe Action,Unsafe Condition
สวมใส่แว่นตาแฟชั่นปฏิบัติงาน Install Platform,Unsafe Action,Unsafe Action
ผจส. ความปลอดภัยยังไม่ได้ Sign Rescue plan (งาน Remove PSV) ,Unsafe Action,Unsafe Action
ผู้ขออนุญาตนำ Work ออกมาด้านนอก เนื่องจากผู้ปฏิบัติงาน ยังไม่ได้ติด Sticker (มีเอกสารยืนยันแต่ SD ยังไม่ได้ verify),Unsafe Action,Unsafe Action
ปิดล้อม Barricade ไม่ครอบคลุม งาน welding support,Unsafe Condition,Unsafe Condition
ยืนบนถังเพื่อทาสี,,Unsafe Condition
 UT-LH-005 งาน Function test ไม่ได้แขวน Tag ที่อุปกรณ์ LOTO ,Unsafe Action,Unsafe Action
ไม่ได้ถอนติดตั้ง Ground rod หลังจบงาน,Unsafe Action,Unsafe Condition
จัดเก็บอุปกรณ์นั่งร้านไม่เป็นระเบียบ,,Unsafe Condition
ทางขึ้นลงบันไดนั่งร้านไม่ Handrail กันตก,Unsafe Action,Unsafe Condition
หุ้ม Insulation นอกจุดที่ระบุใน Work permit,Unsafe Action,Unsafe Action
นำไม้เข้ามาใน Plant และวางไว้ที่ขอบปูน เสี่ยงต่อการสะดุด,Unsafe Condition,Unsafe Condition
"ไม่มีStep ในการขึ้นลง, เหยียบท่อหรืออุปกรณ์และทำงานในพื้นที่คับแคบ (Line of fire)",Unsafe Action,Unsafe Action
ระบุ JSA ไม่ครอบคลุมขั้นตอนการปฏิบัติงาน (เรื่องท่าทางการทำงานในพื้นที่คับแคบ),Unsafe Action,Unsafe Action
มีการแก้ไขประเภทของ PTW จาก LC (Scaffolding) เป็น LH เพื่อเพิ่มงาน Insulation ,Unsafe Action,Unsafe Action
นำรถเข็นน้ำขนย้ายอุปกรณ์นั่งร้าน,Unsafe Action,Unsafe Condition
ใช้หัวเห็ดในการล็อคแผ่นนั่งร้าน,Unsafe Condition,Unsafe Condition
งานยก Compressor air (stand by)ปิดกั้นพื้นที่ไม่ครอบคลุม,Unsafe Action,Unsafe Condition
งานรื้อถอนนั่งร้าน ไม่ได้ปิดกั้นพื้นที่ตามข้อกำหนด,Unsafe Action,Unsafe Condition
งานรื้อนั่งร้าน ผู้ปฏิบัติงานไม่คล้องเกี่ยว Safety Harness ตลอดระยะเวลาที่ทำงาน,Unsafe Action,Unsafe Action
สวมใส่ถุงมือไม่ตรงกับลักษณะงาน (ถุงมือผ้าธรรมดา),Unsafe Action,Unsafe Action
งานตั้งนั่งร้าน ปิดล้อมพื้นที่ไม่ครอบคลุม,Unsafe Action,Unsafe Condition
SL ไม่อยู่ที่หน้างาน ทำให้ผู้ปฏิบัติงานขึ้นทาสีบน Valve สูง 1.8 เมตร โดยจุดยืนมีลักษณะไม่มั่นคง,Unsafe Action,Unsafe Action
ชุด Tyvek ที่ใส่ในงาน Insulation (Line temp 300 C) โดนความร้อนทำให้เกิดการไหม้และหดตัว,Near Miss,Near Miss
ขนย้ายอุปกรณ์นั่งร้านจาก TFU มาเก็บไว้ที่ Jet yard โดยไม่มี Work permit,Unsafe Action,Unsafe Action
เศษคอนกรีตตกค้างบนหลังคา,,Unsafe Condition
แผ่น Metal Sheet ขยับไปมาโดยมีสกรูยึดแค่ 2 ตัว มีโอกาสตกลงมาได้,Unsafe Condition,Unsafe Condition
เคลื่อนย้ายนั่งร้าน Mobile ขณะที่มีผู้ปฏิบัติงานอยู่บนนั่งร้าน,Unsafe Action,Unsafe Action
จุดยืนปฏิบัติงานมีลักษณะไม่มั่นคง/ ไม่ปลอดภัย เนื่องจากไม่มีแผ่นนั่งร้านสำหรับให้ยืนเต็มเท้า,Unsafe Condition,Unsafe Condition
ขนย้ายอุปกรณ์นั่งร้านข้ามรั้วโดยไม่มีใบอนุญาต,Unsafe Action,Unsafe Action
งาน Load Chemical ผู้ปฏิบัติงานยืนควบคุม Tag line บนหลังรถเฮี้ยบ,Unsafe Action,Unsafe Action
วัสดุและอุปกรณ์ไม่ได้จัดเก็บออกจากพื้นที่หลังจบงาน/ ไม่ได้ปิดล้อมพื้นที่และติดป้ายชี้บ่งสถานะการขนย้าย,Unsafe Action,Unsafe Condition
วัสดุและอุปกรณ์ไม่ได้จัดเก็บออกจากพื้นที่หลังจบงาน/ ไม่ได้ปิดล้อมพื้นที่และติดป้ายชี้บ่งสถานะการขนย้าย,Unsafe Action,Unsafe Condition
ไม่มีไม้หนุนล้อรถขนย้ายอุปกรณ์นั่งร้าน,,Unsafe Condition
งานยกโดย Hiab ปิดกั้นพื้นที่ไม่เป็นไปตามข้อกำหนด ไม่มีธงขาวแดง งาน Load test trolley (Overhead crane),Unsafe Condition,Unsafe Condition
ไม่มีเชือกและถุงใส่อุปกรณ์/ ประแจที่นำขึ้นไปใช้งานบนที่สูง (งานถอดประกอบ Sampling line),Unsafe Action,Unsafe Action
ไม่สวมใส่แว่นตาขณะทำงานติดตั้งรื้อถอนนั่งร้าน,Unsafe Action,Unsafe Action
วางอุปกรณ์นั่งร้านกีดขวางการ operate อุปกรณ์ Plant,Unsafe Condition,Unsafe Condition
งานขนย้ายนั่งร้าน ปิดล้อมธงขาวแดงระดับเหนือศีรษะ,Unsafe Condition,Unsafe Condition
สวมใส่แว่นตาแฟชั่นขณะปฏิบัติงานหุ้ม Insulation,Unsafe Action,Unsafe Action
ปิดกั้น Barricade ไม่ครอบคลุม จุดปฏิบัติงานยก และ ผู้ควบคุม Tagline ไม่สวมเสื้อสะท้อนแสง,Unsafe Action,Unsafe Action
พนักงานหุ้ม Insulation ในพื้นที่ Olefins 2 นำแผ่น Jacket มารีด (คนเดียว) ที่พื้นที่ HOT ,Unsafe Action,Unsafe Action
ผูกธงขาวแดงกับเสาของอุปกรณ์ Plant ,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานด้านใน Dike ไม่สวมใส่ชุดป้องกันสารเคมีตามที่ระบุใน JSA ,Unsafe Action,Unsafe Action
ทีมงานติดตั้งนั่งร้านไม่ทราบ/ ไม่เข้าใจขั้นตอนการปฏิบัติกรณีเกิดเหตุฉุกเฉิน/ สารเคมีรั่วไหลภายใน Plant,Unsafe Action,Unsafe Action
งาน Swing spacer to blind ปิดล้อมพื้นที่ด้วยเทปขาวแดง,Unsafe Action,Unsafe Condition
งาน Swing spacer to bling มีการ drain C4 ออกมาจากหน้า Flange ใส่ถังด้านล่าง โดยไม่มีถาดรองถังบรรจุสารเคมี,Near Miss,Near Miss
งานโหลดสารเคมีไม่สวมใส่ Face Shield,Unsafe Action,Unsafe Action
ท่อนั่งร้านวางพาดกับรางสายไฟ,,Unsafe Condition
งาน modify close loop heavy oil ไม่มีถาดรองถังใส่สารเคมี,Unsafe Condition,Unsafe Condition
