FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
221,HDPE4,-,-,Unsafe Condition,-,งานStop leak Line steam มีอันตรายจากไอความร้อน แต่ผู้ประเมินJSA ไม่ได้ระบุPPE การป้องกันใบหน้า จากอันตรายจากความร้อนของSteam,Stop leak,Stop leak,1,งานstop leak line steam มีอันตรายจากไอความร้อน แต่ผู้ประเมินjsa ไม่ได้ระบุppe การป้องกันใบหน้า จากอันตรายจากความร้อนของsteam,Stop leak line steam work is dangerous from heat vapor. but the jsa evaluator ppe not specified face protection from the dangers of the heat of steam
222,PP2,-,-,Unsafe Condition,Chemical Work,ตรวจสอบพบผู้ปฏิบัติงานบนรถ HIAB สวมใส่ Safety Harness แต่ไม่คล้องเกี่ยว,Lifting Melt by HIAB,Lifting Melt by HIAB,1,ตรวจสอบพบผู้ปฏิบัติงานบนรถ hiab สวมใส่ safety hardness แต่ไม่คล้องเกี่ยว,"Workers on the hiab were found to be wearing safety hardness, but were not involved."
223,PP2,-,-,Unsafe Condition,Chemical Work,"ตรวจสอบ ปากคีบ Hydraulic น๊อตล๊อคไม่ใส่ปลิ้นล๊อค ขณะกำลังปฏิบัติงานน๊อตคลายออก (รูป) ",Lifting Melt by HIAB,Lifting Melt by HIAB,1,ตรวจสอบ ปากรีบ hydraulic น็อตล๊อคไม่ใส่ลิ้นล๊อคขณะ กำลังปฏิบัติงานน็อตคล้ายออก รูป,"Check the hydraulic dash, the locking nut is not inserted into the locking tongue while Working on similar bolts"
227,PP1,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบ JSA ขาดการตรวจสอบโดย Safety Lead ในงานบนที่สูง โดย JSA มีระบุครบแต่ขาดการประเมินก่อนเริ่มทำงาน,Water Jet Cleaning E-201A/B,Water Jet Cleaning E-201A/B,15,ตรวจสอบพบ jsa ขาดตรวจสอบโดย safety lead ในงานบนที่สูง โดย jsa มีระบุครบแต่ขาดการประเมินก่อนเริ่มทำงาน,Checked that jsa was missing by safety lead in work at height where jsa was identified but lacked pre-establishment assessment.
228,HDPE1,-,-,Unsafe Condition,Work at height,ตรวจสอบพบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 ตรวจสอบพบข้อที่ 5 มีการตรวจสอบไม่ตรงกับหน้างานและมีการติ๊กข้อมูลที่ผ่านการตรวจสอบ (ที่ถูกควรติ๊กข้อมูลในช่องที่ไม่เกี่ยวข้อง),Install Support Conduit,Install Support Conduit,39,"ตรวจสอบพบเอกสาร safe work certificate revamp. ตรวจสอบพบข้อที่ มีตรวจสอบไม่ตรง , หน้างาน , มี ติ๊กข้อมูลที่ตรวจสอบ ที่ถูกควรติ๊กข้อมูลช่องที่ในไม่เกี่ยวข้อง","The safe work certificate revamp document was found. There is an inconsistent check, on the job page, there is a tick on the checked information The correct one should tick the information in the box that is not relevant."
233,LDPE,-,-,Unsafe Condition,SL Performance,ไม่ตระหนักในการตรวจสภาพหน้างาน  มีถุง bigbag ที่ใส่ floss. จากการ drain วางอยู่ตรงจุดที่มีงาน hot work,เชื่อมหน้าแปลน Add slide gate valve drain BG-101,Flange welding Add slide gate valve drain BG-101,1,ไม่ระหนักflossในตรวจสภาพหน้างานมี ถุงbig bag ที่ ใส่loss . จากdrain วาง อยู่จุดตรงที่มีงานhot work,"Not aware of the floss in the on-site inspection. There is a big bag of loss. From the drain, it is placed at the point where there is a hot work."
234,LDPE,-,-,Unsafe Condition,SL Performance,มี bigbag ที่ใส่ floss drain จาก BG101 ที่เป็นวัสดุติดไฟวางอยู่,เชื่อมหน้าแปลน Add slide gate valve drain BG-101,Flange welding Add slide gate valve drain BG-101,1,มี big bag ที่ใส่ loss drain จาก ที่เป็นวัสดุติดไฟวางอยู่,There is a big bag that holds the loss drain from the flammable material.
243,HDPE2,-,-,Unsafe Condition,Paint/ Coat/ Blast,ตรวจพบ อุปกรณ์พัดลม Blower  ที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,งาน PT แนวเชื่อม และ Clean ภายในถัง D-3711ง,"PT work, welding line and clean inside the tank D-3711D",1,ตรวจพบ อุปกรณ์พัดลม blower ที่นำมาใช้งานไม่ตรวจสภาพ,Detected blower fan equipment that is used does not check the condition.
244,LDPE,-,-,Unsafe Condition,Work at height,ตรวจสอบพบอุปกรณ์ช่วยยก ยังไม่ได้รับการตรวจสอบและออกสติกเกอร์,"Lifting Valve Loos Bolt 782,783    ","Lifting Valve Loos Bolt 782,783",1,"ตรวจสอบพบอุปกรณ์ช่วยยก ยังไม่ได้รับตรวจสอบ , ออกสติ๊กเกอร์","Check to find lifting equipment. Has not yet been inspected, issued a sticker"
247,LDPE,-,-,Unsafe Condition,Water jet,"ตรวจสอบพบผู้ปฏิบัติงานไม่ปฏิบัติตามข้อกำหนด ตามเอกสาร Safe Work Certificate 
หัวข้อที่ 15 (ติ๊กผ่าน)ผู้ปฏิบัติงานฉีดน้ำ Water Jet และผู้ควบคุม Foot Valve ต้องเป็นคนเดียวกัน 

และ Foot Valve ไม่ต่อสายน้ำ Return กลับเข้าเครื่อง Water Jet","Water Jet Clean Line VO-721 AD,VO-722 BC ","Water Jet Clean Line VO-721 AD,VO-722 BC",3,"ตรวจสอบพบผู้ปฏิบัติงานไม่ปฏิบัติตามข้อกำหนด ตามเอกสาร safe work certificate , หัวข้อที่ ติ๊ก ผู้ปฏิบัติงานฉีดwater jet , ผู้ควบคุม foot valve ต้องเป็นคนเดียวกัน , foot valve ไม่ต่อสายน้ำ return กลับเข้าเครื่อง water jet","Check if the operator does not comply with the requirements according to the safe work certificate document, the topic that ticks the water jet operator, the foot valve operator must be the same person, the foot valve does not connect the return water line to the water jet machine."
248,LDPE,-,-,Unsafe Condition,Water jet,"ตรวจสอบพบ Safety Lead ขาดการประเมิน JSA หัวข้อ 6.1ตรวจสอบมาตราการหน้างาน
หัวข้อ 5 ข้อย้อย 5.1 และ หัวข้อ 5.2","Water Jet Cleaning Line R-201   ",Water Jet Cleaning Line R-201,34,"ตรวจสอบพบ safety lead ขาดการประเมิน jsa หัวข้อ 6.1ตรวจสอบมาตรายหน้างาน , หัวข้อ ข้อห้อย 5.1 , หัวข้อ 5.2","Check found safety lead lack of assessment jsa section 6.1 check the section on the job page , section subsection 5.1 , section 5.2"
249,Bagging Site1,-,-,Unsafe Condition,Safety Management,ตรวจสอบพบ Safety Sling สภาพไม่พร้อมใช้งาน สลิงแตกเกลียวอันตรายเมื่อถูกมือเวลาปฏิบัติอาจจะทิ่มแทงได้,"Water Jet Cleaning L-294,L-293,TK-244 A/B","Water Jet Cleaning L-294,L-293,TK-244 A/B",14,ตรวจสอบพบ safety sling สภาพไม่พร้อมใช้งาน สลิงแตกเกลียวอันตรายเมื่อถูกมือเวลาปฏิบัติอาจจะท่าทางได้,"The safety sling was found to be in unusable condition. The sling is dangerous to break when touched by the hand. During practice, it may pose."
250,PP3,-,-,Unsafe Condition,-,WAH Certificate ยังเป็น Rev.2 เก่าไม่อัพเดท,ติดตั้งหลังคา,install the roof,7,wah certificate ยังเป็น revamp.2 เก่าไม่อัด,wah certificate is still old revamp.2 uncompressed
252,PP1,-,-,Unsafe Condition,Insulation,"ตรวจสอบ Safe Work Certificate พบการทำงานที่ไม่ตรงกับเอกสารที่ตรวจสอบ
- ข้อที่ 5,9,10,11 ตรวจสอบแบบไม่ได้อ่านข้อมูลในเอกสาร
 ","ถอดประกอบ Cover Line E-921,922,923","Remove and assemble Cover Line E-921,922,923",28,"ตรวจสอบ safe work certificate พบการทำงานที่ไม่ตรง , เอกสารที่ตรวจสอบ , ข้อที่ , ตรวจสอบแบบไม่ได้อ่านข้อมูลในเอกสาร","Check the safe work certificate, find the work that does not match, check documents, clauses, check without reading the information in the document."
253,PP1,-,-,Unsafe Condition,-,ตรวจสอบเอกสาร Safe Work Certificate มีการตรวจสอบในหัวข้อที่ 5 ซึ่งไม่ตรงกับจุดทำงานจริง,Lifting Screw Feeder Z-518,Lifting Screw Feeder Z-518,51,"ตรวจสอบเอกสาร safe work certificate มีตรวจสอบในหัวข้อที่ ซึ่งไม่ตรง , จุดทำงานจริง","Check the safe work certificate document. There is a check on the topic that does not match, the actual work point."
257,PP1,-,-,Unsafe Condition,-,ตรวจสอบเอกสาร Safe Work Certificate การปิดกั้นป้องกันลูกไฟหรือสะเก็ดไฟ ไม่พบผลการตรจสอบ,"Welding Cutting Frank ",Welding Cutting Frank,4,ตรวจสอบเอกสาร safe work certificate การปิดกั้นป้องกันลูกไฟหรือสะเก็ตไฟ ไม่พบผลตรจตรวจสอบ,Check the safe work certificate document Blocking prevents fireballs or sparks. No result found
259,HDPE4,-,-,Unsafe Condition,Housekeeping,มีขั้นตอนการปฏิบัติครบ แตลฝข้อมูลไม่ครบถ้วน ในช่องลงชื่อแต่ยังไม่มีการลงเวลา,ติดตั้ง สายกราวด์ Exchanger,Install the Exchanger ground wire.,1,มีขั้นตอนการปฏิบัติครบ แลข้อมูลไม่ครบถ้วน ในช่องลงชื่อแต่ยังไม่มีลงเวลา,"There are complete procedures. and incomplete information in the sign-up field, but there is no time stamp yet"
262,PP1,-,-,Unsafe Condition,-,มีเอกสารการทำงานบนที่สูงแนบมากับ work permit แต่ไม่ลงข้อมูลในเอกสาร,ประกอบ Auto feeder Z-503,Assemble Auto feeder Z-503,8,"มีเอกสารการทำงานบนที่สูงแนบมา , work permit แต่ไม่ลงข้อมูลในเอกสาร","There are documents for working at height attached, work permit, but no information in the documents."
266,LDPE,-,-,Unsafe Condition,-,ยังไม่มีผู้อนุมัติใน work permit,ยัดเชื่อม line ls,Stuffing line ls,12,ยังไม่มีผู้อนุมัติใน work permit,There is no authorization on the work permit yet.
269,LLDPE,-,-,Unsafe Condition,-,"ตรวจสอบพบคู่ร่วมธุรกิจกำลังปฏิบัติงานไม่สวมใส่ PPE ตามที่กำหนดไว้ในเอกสาร Work Permit หัวข้อ 1.6 ",เปลี่ยน Membrane RO,Replace Membrane RO,3,ตรวจสอบพบคู่ร่วมธุรกิจกำลังปฏิบัติงานไม่สวมใส่ ppe ตามทีกำหนดไว้ในเอกสาร work permit หัวข้อ 1.6,"Check that business partners are working without wearing PPE as specified in the work permit document, section 1.6."
270,LLDPE,-,-,Unsafe Condition,-,"ตรวจสอบเอกสาร JSA 
- พบขาดการตรวจสอบมาตราการ หัวข้อ 1.6 (Safety Lead)
- พบขาดการวิเคราะห์ หัวข้อ 5  5.1,5.2",เปลี่ยน Membrane RO,Replace Membrane RO,33,"ตรวจสอบเอกสาร jsa , พบขาด ตรวจสอบมาตรายหัว ข้อ1.6 safetylead , พบขาด วิเคราะห์ หัวข้อ 5.1 , 5.2","Check the jsa document, found missing, check section 1.6 safetylead, found missing, analyze section 5.1, 5.2"
271,HDPE1,-,-,Unsafe Action,-,กรอกข้อมูลไม่ครบถ้วน,ขนย้าย Carrier Gas,Transport Carrier Gas,1,กรอกข้อมูลไม่ครบถ้วน,Incomplete information
272,HDPE2,-,-,Unsafe Condition,-,K. สมฤกษ์ น. ผจผ. Safety ตรวจ SWP เอกสารงานติดตั้งนั่งร้าน Silo TK-3451 B พบว่าเอกสาร Working at Hight เป็นเอกสารตัวเก่า,งานติดตั้งนั่งร้าน,scaffolding installation work,1,k. สมฤกษ์ ผจผ. safety ตรวจ swp เอกสาร งานติดตั้งนั่งร้านsolo พบว่าเอกสารwork injectstat height เป็น เอกสารตัวเก่า,"k. Somruek, manager, safety, swp inspection, documents, solo scaffolding work Found that document work injectstat height is old document."
273,HDPE2,-,-,Unsafe Condition,-,K. สมฤกษ์ น. ผจผ. Safety ตรวจ SWP งานทำแผนช่วยเหลือ Demon  Silo TK-3451 B พบว่าพบว่าจุดที่ทำการซ้อมแผนช่วยเหลือไม่ปลอดภัยเนื่องจากอยู่ตรงบริเวณบันไดทางขึ้นลงอาจพลาดตกลงมา,ทำแผนช่วยเหลือ Demon,Make a plan to rescue the Demon.,1,k. สมฤกษ์ ผจผ. safety ตรวจ swp งาน ทำแผนช่วยเหลือdown solo พบว่าพบว่าจุดที่ทำการล้อมแผนช่วยเหลือไม่ปลอดภัยเนื่องจากอยู่บริเวณตรงดทางขึ้นลงอาจลาตกลงมา,"k. Somruek, manager, safety, check swp, make a rescue plan down solo, found that the point surrounding the rescue plan is not safe because it is at the side of the way up and down, may fall down."
278,Ware house Site7,-,-,Unsafe Condition,-,พบ มีการลงชื่อใน JSA  ไม่ครบถ้วน,เข้าแบบ เทปูน,enter into a tape,32,พบ มีลงชื่อใน jsa ไม่ครบถ้วน,Found not fully signed in jsa
279,Ware house Site7,-,-,Unsafe Condition,-,ตรวจสอบพงนังมีการลงข้อมูลไม่ถูกต้องในการตรวจสอบพื้นที่,เข้าแบบ เทปูน,enter into a tape,1,ตรวจสอบพิงนั่งมีลงข้อมูลไม่ถูกต้องในการการตรวจสอบพื้นที่,"Check the seat back, there is incorrect information in the inspection area."
280,HDPE4,-,-,Unsafe Condition,-,safety lead ลงชื่อรับรองความปลอดภัย ก่อน ผู้ขออนุญาต และเจ้าของพื้นที่,Clean silo,Clean silo,4,"safety lead ลงชื่อรับรองความปลอดภัย ก่อน ผู้ขออนุญาต , เจ้าของพื้นที่","safety lead, sign to certify safety before the applicant, the owner of the area"
282,PP1,-,-,Unsafe Condition,-,ตรวจสอบพบ เอกสาร SE-F-0337 Rev.001_Safe Work Certificate High Pressure Water Jet Work ขาดการประเมินมาตราการก่อนเริ่มงาน,Water Jet TK-502,Water Jet TK-502,6,ตรวจสอบพบ เอกสาร revamp. _safe work certificate high pressure water jet work ขาดการประเมินมาตรายก่อนเริ่มงาน,Found document revamp._safe work certificate high pressure water jet work Lack of pre-work assessment
287,Blownfilm,-,-,Unsafe Condition,Installation/ Alignment,ตรวจพบใน JSA มีกำหนดการ Off ฺ Breaker แต่ที่ Work Permit ไม่มีการลงรายละเอียดการตัดระบบ,ติดตั้ง & Test Corona line-E,Install & Test Corona line-E,26,ตรวจพบใน jsa มีกำหนดwork permit off breaker work permit แต่ที่ ไม่ มีลงรายละเอียดการการตัดระบบ,"It was detected in jsa that a work permit off breaker work permit was defined, but without detailing the system breaker."
289,Pilot plant complex,-,-,Unsafe Condition,-,ผู้ขออนุญาตอนุญาตไม่ได้ลงชื่อ ตรวจสอบหน้างานในระหว่างทำงานตามช่วงเวลาที่กำหนด,ติดตั้งโครงสร้างหลังคา,install the roof structure,34,ผู้ขออนุญาตอนุญาตไม่ได้ลงชื่อ ตรวจสอบหน้างานในระหว่างทำงานตามล่วงเวลาที่กำหนด,The applicant for permission is not signed. On-site inspection during working overtime
291,HDPE4,-,-,Unsafe Condition,-,ผู้ขออนุญาตเลือก Certificate ไม่ถูกต้องตามลักาณะงาน ซึ่งงานนี้ไม่ใช่ HW class I แต่ผู้ขออนุญาตเลือกCertificate งานที่มีความร้อนและประกายไฟ,Install Insulation,Install Insulation,6,"ผู้ขออนุญาตเหลือ certificate ไม่ถูกต้องตาลักษณะงาน ซึ่งงานนี้ไม่ใช่ show class แต่ผู้ขออนุญาตcertificateงาน ที่มีความร้อน , ประกายไฟ","The applicant left a certificate that is not correct according to the nature of work. This event is not a show class, but a person requesting a certificate. with heat, sparks"
293,HDPE1,-,-,Unsafe Condition,PPE,ตรวจสอบ SE-F-0286_Rev.002 แบบฟอร์มรับรองการปฏิบัติตามข้อกำหนดการป้องกันการตกจากที่สูง พบหัวข้อ 16 และหัวข้อ 2.2 พบยังไม่เข้าใจเรื่องการตีความหมาย,"ทาสี Line Steam D-711,712","Paint Line Steam D-711,712",1,"ตรวจสอบ _revamp.แบบแอร์รับรองการปฏิบัติข้อกำหนดตามการป้องกัน ตกที่สูงจากพบ หัวข้อ , หัวข้อ 2.2 พบยังไม่เข้าใจเรื่องตีความหมาย","Verify _revamp.Air type certifies compliance with protection requirements. Falling high from found Title , Title 2.2 found that still did not understand the interpretation"
294,PP1,-,-,Accident,PTW & JSA,ตรวจสอบพบ Pressure Regulator ยังไม่ผ่านการตรวจสอบก่อนนมาใช้งาน,Welding Cutting Valve Spacitacle Bine,Welding Cutting Valve Spacitacle Bine,1,ตรวจสอบพบ pressure regulator ยังไม่นตรวจสอบมาก่อนใช้งาน,Found that the pressure regulator has not been checked before use.
296,PP1,-,-,Unsafe Condition,-,"ตรวจสอบพบนั่งร้านใช้ Tag เขียว แต่หมดอายุการใช้ ",ET-Test +PAUT,ET-Test +PAUT,55,ตรวจสอบพบนั่งร้านใช้ tag เขียว แต่หมดอายุใช้,Examine the scaffolding with green tags but expired.
298,HDPE4,-,-,Accident,Process & Operation,มีการเปิดงาน  2  งานใน Work เดียวกัน  ซึ่งควรจะแยกกัน,งานซ่อม Steam trap,Steam trap repair work,1,มีเปิดงาน งานใน work เดียวกัน ซึ่งควรจะแยกกัน,"There are open tasks, tasks in the same work area, which should be separated."
299,Store Site7,-,-,Unsafe Condition,-,ไม่ได้ใส่อายุใน ใบตรวจสุขภาพ ก่อนเริ่มงาน,เข้าแบบ ฉาบปูน AT-House Project,Plastering AT-House Project,1,ไม่ได้ใส่อายุใน ใบตรวจสุดภาพก่อน เริ่มงาน,don't put age in Checklist before starting work
305,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,Install grating steel & support D-301,Install grating steel & support D-301,21,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit,The applicant did not sign the on-site security check. during work overtime specified in the work permit
305,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,Install structure,Install structure,21,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit,The applicant did not sign the on-site security check. during work overtime specified in the work permit
305,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,Install Pipe & support conduit D-301 Project,Install Pipe & support conduit D-301 Project,21,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit,The applicant did not sign the on-site security check. during work overtime specified in the work permit
305,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,"ตัด เจียร์ เชื่อม โครงสร้างหลังคา ","Cutting, grinding, welding roof structure",21,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit,The applicant did not sign the on-site security check. during work overtime specified in the work permit
305,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,Install support D-301 Project,Install support D-301 Project,21,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit,The applicant did not sign the on-site security check. during work overtime specified in the work permit
305,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,Install structure MCPP Project,Install structure MCPP Project,21,ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit,The applicant did not sign the on-site security check. during work overtime specified in the work permit
307,PP2,-,-,Unsafe Condition,Housekeeping,ไม่ได้ประเมินในเรื่องของผู้ที่ปฏิบัติงานคีบก้อนพลาสติกที่ต้องทำงานบนที่สูง,ขนก้อนพลาสติกโดยใช้รถคีบ,Unloading plastic lumps using tongs,1,ไม่ได้ประเมินในเรื่องของผู้ที่ปฏิบัติงานค้อนพลาสติกที่ต้องทำงานบนที่สูง,It was not evaluated in terms of plastic hammer operators working at height.
313,LLDPE,-,-,Unsafe Condition,-,"ตรวจสอบพบเอกสาร Health Check SE-F-0277 Rev 006  ขาดการตรวจสอบโดย Permit Requestor ",Install Insulation UTM,Install Insulation UTM,3,ตรวจสอบพบเอกสาร heat check revampขาดตรวจสอบpermitโดย requestor,"Heat check revamp document found missing, check permission by requestor."
314,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบช่างเชื่อมขณะปฏิบัติงานเชื่อมไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม (2097)ตามที่ JSA กำหนด,Welding Cutting Pipe Line Rack 4,Welding Cutting Pipe Line Rack 4,17,ตรวจสอบพบช่างเชื่อมขณะปฏิบัติงานเชื่อมไม่สวมใส่ mask ป้องกันอันตรายจากโฟมงานเชื่อม ตามที jsa กำหนด,Found that the welder while working welding did not wear a mask to prevent danger from welding foam as specified by jsa.
315,Catalyst&Pilot plant,-,-,Unsafe Condition,Water jet,"ตรวจสอบเอกสารพบ Safe Work Certificate SE-F-0286_Rev.002 (เก่า) ",Remove Scaffolding Pipe Cus,Remove Scaffolding Pipe Cus,38,ตรวจสอบเอกสารพบ safe work certificate _revamp. เก่า,Check the document found old safe work certificate _revamp.
316,PP2,-,-,Unsafe Condition,CSE,"ตรวจสอบ JSA พบ Safety Lead ขาดการตรวจสอบมาตราการ ข้อ 6.1 ",Install Line TK-2505 E,Install Line TK-2505 E,25,ตรวจสอบ jsa พบ safety lead ขาด6.1ตรวจสอบมาตรายข้อ,"Check jsa, found a missing safety lead. 6.1 Check section"
318,Catalyst&Pilot plant,-,-,Unsafe Condition,Work at height,"ตรวจสอบพบงานเจียร Grinding ไม่ใส่ Handle ขณะทำการเจียร ",Welding Cutting Structure EL-CAT,Welding Cutting Structure EL-CAT,2,"ตรวจสอบพบงานเจียร์ grinding ไม่ใส่ , let ขณะทำการเจียร์","Detect grinding, grinding, do not put , let while grinding."
320,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,เจ้าของพื้นที่และผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,"Install support ลากสายไฟ ",Install support wire harness,25,"เจ้าของพื้นที่ , ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit","The owner of the area, the requester did not sign the security check at the site. during work overtime specified in the work permit"
320,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,เจ้าของพื้นที่และผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามช่วงเวลาที่กำหนดใน work permit,Install Pipe & support D-301Project,Install Pipe & support D-301Project,25,"เจ้าของพื้นที่ , ผู้ขออนุญาตไม่ได้ลงชื่อตรวจสอบความปลอดภัยหน้างาน ระหว่างปฏิบัติงาน ตามล่วงเวลาที่กำหนดใน work permit","The owner of the area, the requester did not sign the security check at the site. during work overtime specified in the work permit"
322,HDPE1,-,-,Unsafe Condition,Excavation,"ผู้ได้รับมอบหมายยังปฏิบัติไม่ถูกต้อง
1. เอกสารสำเนาที่ 1 ไม่ยอมนำไปไว้ที่ G3
2. มีการประเมิน JAS การทำงาน แต่ไม่ได้ประเมินหน้างานในข้อ 6.1
3. การนำ Work มาปิดไม่ยอมให้ พนักงานเจ้างานพื้นที่เซนต์ปิดร่วม
4. ลงข้อมูลในเอกสารไม่ครบ",ตรวจสอบ Switch gear ในห้อง Substation,Check the Switch gear in the Substation room.,1,"ผู้ได้รับอบหมายยังปฏิบัติไม่ถูกต้อง , 1. เอกสารสำเอาที่ ไม่หอมนำไปไว้ที่ , 2. มีการประเมิน as การทำงาน แต่ไม่ได้ประเมินหน้างานในข้อ 6.1 , 3. การนำ work มาปิดไม่หอมให้ พนักงานเข้างานพื้นที่เซ็นปิดร่วม , 4. ลงข้อมูลในเอกสารไม่ครบ","The assigned person still does not perform correctly , 1. Copy documents that Do not bring it to , 2. There is an assessment as work, but does not assess the job site in item 6.1 , 3. Bringing work to close does not smell good. Employees enter the area to sign and close jointly, 4. Incomplete information in the document."
324,HDPE1,-,-,Unsafe Condition,PPE,"ตรวจสอบพบ Ground Rod สถาพไม่พร้อมใช้งาน ขึ้นสนิม แท่งเหล็กเคลือบทองแดง ","Welding Cutting Line TW 6""","Welding Cutting Line TW 6""",1,ตรวจสอบพบ ground rod ภาพไม่พร้อมใช้งานขึ้น สนิมแท่ง เหล็กเคลือบทองแดง,The ground rod was detected. The image was unavailable. Rust rod. Copper coated steel.
325,HDPE1,-,-,Unsafe Condition,-,ตรวจสอบพบคู่ร่วมธุรกิจปฏิบัติงานทาสีพบไม่สวมใส่ MASK ที่ระบุไว้ใน JSA 6003 6006,ทาสีบันได,paint the stairs,20,ตรวจสอบพบคู่ร่วมธุรกิจปฏิบัติงานทาสีพบไม่สวมใส่ mask ที่ระบุไว้ใน jsa,Checked that the painting business partner was found not wearing the mask specified in the jsa.
326,HDPE1,-,-,Unsafe Condition,-,"ตรวจสอบพบถังดำเพลิงไม่พร้อมใช้งาน สถานะ Recharge ",ทาสีบันได,paint the stairs,1,ตรวจสอบพบถังดำเพลิงไม่พร้อมใช้งาน สถานะ charger,"Detects that the black tank is not available, charger status."
328,HDPE2,-,-,Unsafe Condition,Installation/ Alignment,พบมีการนำเอกสารเก่ามาใช้งาน,งานถอด-ประกอบอุปกรณ์,Equipment disassembly and assembly work,10,พบมีการนำเอกสารเก่ามาใช้งาน,Old documents were found to be used.
328,HDPE2,-,-,Unsafe Condition,Installation/ Alignment,พบมีการนำเอกสารเก่ามาใช้งาน,งานติดตั้งนั่งร้าน & Insulation,Scaffolding & Insulation Installation,10,พบมีการนำเอกสารเก่ามาใช้งาน,Old documents were found to be used.
329,HDPE2,-,-,Unsafe Condition,PPE,พบว่าไม่มีการแนบเอกสารการตรวจร่างกายเบื้องต้นก่อนทำงาน,'งาน Insulation,'Insulation work,4,พบว่าไม่มีร่างแนบเอกสารตรวจรางกายเบื้องต้นก่อนทำงาน,It was found that there was no draft attached to the preliminary physical examination document before work.
337,HDPE2,-,-,Unsafe Condition,Hot Work,ไม่มีการปิดกั้นพื้นที่ขณะปฎิบัติงาน,ถอดขประกอบ / Water jet,Disassembly / Water jet,7,ไม่มีการปิดกั้นพื้นที่ขณะปฏิบัติงาน,There is no blocking area while working.
338,HDPE2,-,-,Unsafe Condition,Insulation,พบเอกสารเป็นฟอร์มเก่า,งานรื้อ Insulation,Dismantling Insulation,3,พบเอกสารเป็นแอร์เก่า,found documents as old air conditioners
