words,spell,correct,frequency
ก่อ,['ก่อ'],ก่อ,3
ก่อ,['ก่อ'],ก่อ,3
ก่อให้เกิด,['ก่อให้เกิด'],ก่อให้เกิด,3
กอง,['กอง'],กอง,39
กอน,['กอน'],กอน,3
กอน,['ก่อน'],ก่อน,3
กอน,['กอน'],กอน,3
ก่อน,['ก่อน'],ก่อน,32
ก่อสร้าง,['ก่อสร้าง'],ก่อสร้าง,5
ก่อสร้าง,['ก่อสร้าง'],ก่อสร้าง,4
กออิฐ,['ก่ออิฐ'],ก่ออิฐ,1
กะ,['กะ'],กะ,5
กัด,['กัด'],กัด,48
กัน,['กัน'],กัน,93
กั้น,['กั้น'],กั้น,8
กันแดด,['กันแดด'],กันแดด,2
กันชน,['กันชน'],กันชน,8
กันน้ำ,"['กันน้ำ', 'กินน้ำ', 'ปันน้ำ']",กันน้ำ,2
กันฝน,['กันชน'],กันชน,4
กันภัย,['กันภัย'],กันภัย,2
กันสาด,['กันสาด'],กันสาด,12
กับ,['กับ'],กับ,149
กา,['กา'],กา,2
กาก,['กาก'],กาก,20
กาง,['กาง'],กาง,2
กางเกง,['กางเกง'],กางเกง,3
ก้าน,['ก้าน'],ก้าน,4
กาย,['กาย'],กาย,3
การ,['การ'],การ,214
การ,['การ'],การ,3
การโยน,"['การโยน', 'กาเรียน', 'กาเยน', 'การย์']",การโยน,2
การใช้งาน,['การใช้งาน'],การใช้งาน,6
การคำนวณ,['การคำนวณ'],การคำนวณ,2
การณ์,['การณ์'],การณ์,2
การ์ด,['การ์ด'],การ์ด,30
การตรวจวัด,['การตรวจวัด'],การตรวจวัด,2
การทาสี,['การทาสี'],การทาสี,2
การทำงาน,['การทำงาน'],การทำงาน,29
การนำ,"['การนำ', 'การ', 'การณ์', 'การ์ด', 'การ์', 'การก', 'กาน', 'กานน', 'กรำ', 'กรน', 'กาน้ำ', 'กราน', 'กร่ำ', 'กานา', 'กาวน์', 'การ์ท', 'การุญ', 'การ์ต', 'ถามนำ', 'การิม', 'กายน์', 'การร์', 'กร้ำ', 'การ์ธ', 'การด์', 'การาจ', 'การย์', 'บารนี']",การนำ,8
การปฏิบัติ,['การปฏิบัติ'],การปฏิบัติ,2
การประเมิน,['การประเมิน'],การประเมิน,2
การป้องกัน,['การป้องกัน'],การป้องกัน,5
การปิดกั้น,['การปิดกั้น'],การปิดกั้น,7
การผลิ,['การผลิ'],การผลิต,2
การผลิต,['การผลิต'],การผลิต,2
การผูก,"['การผูก', 'การก', 'การบูร', 'การเวก']",การผูก,3
การรื้อ,['การรื้อ'],การรื้อ,2
การลุก,"['การลุก', 'การก', 'การเวก', 'การุญ', 'กรุก', 'กาลิก', 'พาลุก', 'กลุก']",การลุก,2
การสกัด,['การสกัด'],การสกัด,2
การสัมผัส,['การสัมผัส'],การสัมผัส,2
กาว,['กาว'],กาว,3
กาศ,['กาศ'],กาศ,4
กำ,['กำ'],กำ,3
กำจัด,['กำจัด'],กำจัด,307
กำมะลอ,['กำมะลอ'],กำมะลอ,2
กำลัง,['กำลัง'],กำลัง,8
กำลังคน,"['กำลัง', 'กำลังใจ', 'กลางคน', 'กำลังดี']",กำลัง,2
กำหนด,['กำหนด'],กำหนด,13
กิ้,['กิจ'],กิจ,2
กิจกรรม,['กิจกรรม'],กิจกรรม,2
กิจการ,['กิจการ'],กิจการ,2
กีด,['กีด'],กีด,3
กีดขวาง,['กีดขวาง'],กีดขวาง,32
กุ,['กุญ'],กุญ,2
กุญ,['กุญ'],กุญ,2
กุญแจ,['กุญแจ'],กุญแจ,5
ขณะ,['ขณะ'],ขณะ,73
ขณะที่,['ขณะที่'],ขณะที่,14
ขด,['ขด'],ขด,3
ขดลวด,['ขดลวด'],ขดลวด,3
ขน,['ขน'],ขน,423
ข้น,['ขน'],ขน,2
ขนขยะ,['ขนขยะ'],ขนขยะ,3
ขนของ,['ขนของ'],ขนของ,5
ขนย้าย,"['ขนย้าย', 'ขยาย', 'ย้าย', 'คนร้าย', 'น้าย', 'ขนาย', 'นยาย']",ขนย้าย,2195
ขนส่ง,['ขนส่ง'],ขนส่ง,2
ขนาด,['ขนาด'],ขนาด,12
ขนาดเล็ก,['ขนาดเล็ก'],ขนาดเล็ก,10
ขนาดใหญ่,['ขาวใหญ่'],ขาวใหญ่,2
ขบวน,['ขบวน'],ขบวน,5
ขยะ,['ขยะ'],ขยะ,26
ขยับ,['ขยับ'],ขยับ,6
ขยาย,['ขยาย'],ขนย้าย,18
ขยายผล,['ขยาย'],ขยาย,3
ขวด,['ขวด'],ขวด,5
ขวาง,['ขวาง'],ขวาง,6
ขอ,['ขอ'],ขอ,104
ข้อ,['ข้อ'],ข้อ,22
ข้อกำหนด,['ข้อกำหนด'],ข้อกำหนด,7
ของ,['ของ'],ของ,568
ข้อง,['ข้อง'],ข้อง,2
ของเก่า,['ของเก่า'],ของเก่า,4
ของเสีย,['ของเสีย'],ของเสีย,10
ของเหลว,['ของเหลว'],ของเหลว,2
ของไหล,['ของไหล'],ของไหล,2
ของง,['ของ'],ของ,12
ข้อต่อ,['ข้อต่อ'],ข้อต่อ,10
ขอบ,['ขอบ'],ขอบ,15
ขอบเขต,['ขอบเขต'],ขอบเขต,3
ข้อมูล,['ข้อมูล'],ข้อมูล,20
ขออนุญาต,['ขออนุญาต'],ขออนุญาต,21
ขัง,['ขัง'],ขัง,3
ขัด,['ขัด'],ขัด,294
ขัดสี,"['ขัดสี', 'ขัดสน', 'บัดสี']",ขัดสี,5
ขัน,['ขั้น'],ขั้น,114
ขั้นตอน,['ขั้นตอน'],ขั้นตอน,5
ขั้นบันได,['ขั้นบันได'],ขั้นบันได,3
ขับรถ,['ขับรถ'],ขับรถ,2
ขา,['ข้าง'],ข้าง,21
ข้า,['ข้าง'],ข้าง,2
ข้าง,['ข้าง'],ข้าง,43
ข้างเดียว,['ข้างเคียง'],ข้างเคียง,2
ข้างมาก,['ข้างมาก'],ข้างมาก,3
ขาด,['ขาด'],ขาด,10
ข้าม,['ข้าม'],ข้าม,31
ข้ามถนน,['ข้ามถนน'],ข้ามถนน,25
ข่าย,['ข่าย'],ข่าย,3
ขาว,['ขาว'],ขาว,6
ขึง,['ขึง'],ขึง,2
ขึน,['ขึ้น'],ขึ้น,3
ขึ้น,['ขึ้น'],ขึ้น,51
ขึ้นไป,"['ขึ้นไป', 'ขึ้น', 'ขึ้นใจ', 'ขึ้นหา']",ขึ้นไป,14
ขึ้นรถ,"['ขึ้นรถ', 'ขึ้น', 'ขึ้นใจ', 'ขึ้นหา', 'ขึ้นครู']",ขึ้นรถ,3
ขุด,['ขุด'],ขุด,372
ขุดเจาะ,['ขุดเจาะ'],ขุดเจาะ,7
ขุ่น,['ขุ่น'],ขุ่น,4
คง,['คง'],คง,3
คณะ,['คณะ'],คณะ,2
คน,['คน'],คน,161
คนเดียว,"['คนเดียว', 'เดียว', 'ทีเดียว', 'ตาเดียว', 'ใจเดียว', 'จานเดียว']",คนเดียว,4
คนงาน,['คนงาน'],คนงาน,2
ค้นหา,['ค้นหา'],ค้นหา,3
คม,['คม'],คม,3
คม,['คม'],คม,2
ครบ,['ครบ'],ครบ,6
ครบถ้วน,['ครบถ้วน'],ครบถ้วน,4
ครอบ,['ครอบ'],ครอบ,12
ครอบคลุม,['ครอบคลุม'],ครอบคลุม,31
ครั้ง,['ครั้ง'],ครั้ง,10
ครั้งที่,['ครั้งที่'],ครั้งที่,3
ครั้งนี้,"['ครั้งนี้', 'ทั้งนี้', 'ครั้งนั้น']",ครั้งนี้,2
ครับ,['ครับ'],ครับ,3
คราบ,['คราบ'],คราบ,9
คราว,['คราว'],คราว,3
คล,['คล้อง'],คล้อง,2
คลอง,['คลอง'],คลอง,3
คล้อง,['คล้อง'],คล้อง,89
คลาย,['คล้าย'],คล้าย,2
คล้าย,['คล้าย'],คล้าย,2
คลี,['คลี่'],คลี่,2
คลุม,['คลุม'],คลุม,5
ควง,['ควง'],ควง,2
ควบ,['ควบ'],ควบ,3
ควบคุม,['ควบคุม'],ควบคุม,10
ควร,['ควร'],ควร,3
ควัน,['ควัน'],ควัน,2
คว้าน,['คว้าน'],คว้าน,17
ความ,['ความ'],ความ,229
ความเสี่ยง,['ความเสี่ยง'],ความเสี่ยง,27
ความเสียหาย,['ความเสียหาย'],ความเสียหาย,5
ความชื้น,['ความชื้น'],ความชื้น,3
ความปลอดภัย,['ความปลอดภัย'],ความปลอดภัย,3
ความร้อน,['ความร้อน'],ความร้อน,11
ความลึก,['ความลึก'],ความลึก,5
ความสะอาด,['ความสะอาด'],ความสะอาด,258
ความสูง,['ความสูง'],ความสูง,53
คอ,['คอ'],คอ,7
คอก,['คอก'],คอก,3
คอง,['คอง'],คอง,3
คอง,['คลอง'],คลอง,3
คอน,['คอน'],คอน,5
คอน,['ค้อน'],ค้อน,5
ค่อน,['ค่อน'],ค่อน,3
ค่อน,['ค้อน'],ค้อน,3
ค้อน,['ค้อน'],ค้อน,3
คอนเทนเนอร์,['คอนเทนเนอร์'],คอนเทนเนอร์,6
คอนกรีต,['คอนกรีต'],คอนกรีต,138
ค่อนข้าง,['ค่อนข้าง'],ค่อนข้าง,3
คอม,['คอม'],คอม,3
คอมพิวเตอร์,['คอมพิวเตอร์'],คอมพิวเตอร์,2
ค่อย,['ค่อย'],ค่อย,3
คัด,['คัด'],คัด,3
คัดแยก,['คัดแยก'],คัดแยก,2
คันดิน,"['คันดิน', 'ผืนดิน', 'สันดาน', 'สันดอน', 'หัสดิน', 'ทันกิน', 'รันอิน']",คันดิน,3
คับ,['คับ'],คับ,3
คับแคบ,['คับแคบ'],คับแคบ,6
คา,['คา'],คา,12
ค่า,['ค่า'],ค่า,170
คาง,['คาง'],คาง,3
ค้าง,['ค้าง'],ค้าง,25
คาด,['คาด'],คาด,3
คาน,['คาน'],คาน,48
คาร์,['คาร์'],คาร์,3
คาร์บอเนต,['คาร์บอเนต'],คาร์บอเนต,2
คาร์บอน,['คาร์บอน'],คาร์บอน,2
คำ,['ค้ำ'],ค้ำ,3
คำ,['คำ'],คำ,3
ค้ำ,['ค้ำ'],ค้ำ,2
คำนวณ,['คำนวณ'],คำนวณ,7
คำสั่ง,['คำสั่ง'],คำสั่ง,6
คืน,['คืน'],คืน,4
คือ,['คือ'],คือ,6
คุณ,['คุณ'],คุณ,3
คุณภาพ,['คุณภาพ'],คุณภาพ,73
คุม,['คลุม'],คลุม,10
คุม,['คุม'],คุม,5
คู่,['คู่'],คู่,5
งอ,['งอ'],งอ,4
งา,['งาน'],งาน,8
งาน,['งาน'],งาน,2370
ง่าน,['งาน'],งาน,20
ง้าน,['งาน'],งาน,10
ง๊าน,['งาน'],งาน,8
งานก่อสร้าง,['งานก่อสร้าง'],งานก่อสร้าง,2
งานค้าง,['งานช้าง'],งานช้าง,4
งานวัด,"['งานวัด', 'งูสวัด', 'งาตัด']",งานวัด,3
งาย,['งาน'],งาน,2
ง่าย,['ง่าย'],ง่าย,2
จก,['จก'],จก,4
จด,['จด'],จด,6
จน,['จน'],จน,12
จบ,['จบ'],จบ,10
จมน้ำ,['จมน้ำ'],จมน้ำ,3
จรวจ,['ตรวจ'],ตรวจ,1
จราจร,['จราจร'],จราจร,2
จริง,['จริง'],จริง,3
จอ,['จอ'],จอ,20
จอ,['จอ'],จอ,7
จอด,['จอด'],จอด,8
จอดรถ,['จอดรถ'],จอดรถ,5
จอม,['จอม'],จอม,9
จะ,['จะ'],จะ,29
จะแจ้ง,['จะแจ้ง'],จะแจ้ง,2
จัก,['จักร'],จักร,12
จักร,['จักร'],จักร,59
จักรยาน,['จักรยาน'],จักรยาน,3
จัง,['จัง'],จัง,4
จังหวะ,['จังหวะ'],จังหวะ,2
จัด,['จัด'],จัด,4
จัดเก็บ,"['จัดเก็บ', 'ตัดเย็บ', 'กักเก็บ']",จัดเก็บ,39
จัดเตรียม,['จัดเตรียม'],จัดเตรียม,4
จัดทำ,['จัดทำ'],จัดทำ,3
จัดวาง,['จัดวาง'],จัดวาง,6
จัดหา,['จัดหา'],จัดหา,3
จัน,['จั่น'],จั่น,2
จั่น,['จั่น'],จั่น,5
จั้น,['จั่น'],จั่น,2
จับ,['จับ'],จับ,6
จับ,['จับ'],จับ,2
จา,['จา'],จาก,2
จาก,['จาก'],จาก,159
จาง,['จาง'],จาง,4
จาน,['จาน'],จาน,5
จาย,['จาก'],จาก,5
จาย,['จ่าย'],จ่าย,5
จาย,['จาย'],จาย,5
จ่าย,['จ่าย'],จ่าย,5
จ่ายไฟ,"['จ่าย', 'สายไฟ', 'ช่างไฟ']",จ่ายไฟ,4
จารบี,"['จารี', 'จาระบี']",จารบี,16
จาระบี,['จาระบี'],จารบี,4
จาะ,['เจาะ'],เจาะ,1
จำกัด,['จำกัด'],จำกัด,3
จำนวน,['จำนวน'],จำนวน,6
จำนวนมาก,['จำนวนมาก'],จำนวนมาก,8
จี,['จึง'],จึง,2
จี้,['จึง'],จึง,2
จึง,['จึง'],จึง,60
จุ,['จุด'],จุด,2
จุด,['จุด'],จุด,261
จุดต่อ,"['จุดต่อ', 'ติดต่อ', 'จุดอ่อน', 'จดจ่อ', 'จต่อ']",จุดต่อ,3
จุดยืน,['จุดยืน'],จุดยืน,6
ฉนวน,['ฉนวน'],ฉนวน,16
ฉบับ,['ฉบับ'],ฉบับ,4
ฉาก,['ฉาก'],ฉาก,2
ฉาบ,['ฉาบ'],ฉาบ,29
ฉาบปูน,['ฉาบปูน'],ฉาบปูน,15
ฉีด,['ฉีด'],ฉีด,20
ฉุกเฉิน,['ฉุกเฉิน'],ฉุกเฉิน,3
ชน,['ขน'],ขน,10
ชนิด,['ชนิด'],ชนิด,6
ชม,['ชม'],ชม,4
ช้รถเฮี๊ยบ,['ใช้รถเฮี๊ยบ'],ใช้รถเฮี๊ยบ,4
ช่วง,['ช่วง'],ช่วง,13
ช่วงเวลา,['ล่วงเวลา'],ล่วงเวลา,2
ช่วย,['ช่วย'],ช่วย,12
ช่วยเหลือ,['ช่วยเหลือ'],ช่วยเหลือ,3
ช่วยชีวิต,['ช่วยชีวิต'],ช่วยชีวิต,4
ช่อง,['ช่อง'],ช่อง,52
ช่องโหว่,['ช่องโหว่'],ช่องโหว่,3
ช่องว่าง,['ช่องว่าง'],ช่องว่าง,4
ชอบ,['ชอบ'],ชอบ,4
ชะล้าง,['ชะล้าง'],ชะล้าง,2
ชัดเจน,['ชัดเจน'],ชัดเจน,3
ชัน,['ชัน'],ชั้น,2
ชั้น,['ชั้น'],ชั้น,485
ชั้นเดียว,['ชั้นเดียว'],ชั้นเดียว,2
ชั้นบน,['ชั้นใน'],ชั้นใน,3
ชั้นล่าง,['ชั้นล่าง'],ชั้นล่าง,6
ชัย,['ชั่ว'],ชั่ว,2
ชั่วคราว,['ชั่วคราว'],ชั่วคราว,2
ช่าง,['ช่าง'],ช่าง,19
ช่างเชื่อม,['ช่างเชื่อม'],ช่างเชื่อม,4
ชำรุด,['ชำรุด'],ชำรุด,28
ชิ้นงาน,['ชิ้นงาน'],ชิ้นงาน,12
ชี้,['ชิ้น'],ชิ้น,4
ชีวิต,['ชีวิต'],ชีวิต,4
ชื้น,['ชื้น'],ชื้น,4
ชื่อ,['ชื่อ'],ชื่อ,4
ชุด,['ชุด'],ชุด,17
ซ่,['ซ่อม'],ซ่อม,6
ซ่อง,['ซ่อง'],ซ่อม,3
ซ้อน,['ซ้อน'],ซ้อน,3
ซ่อม,['ซ่อม'],ซ่อม,219
ซ่อมบำรุง,['ซ่อมบำรุง'],ซ่อมบำรุง,2
ซ้ำ,['ซ้ำ'],ซ้ำ,2
ซ้ำซ้อน,['ซ้ำซ้อน'],ซ้ำซ้อน,3
ซิ,['ซีด'],ซีด,12
ซี,['ซีด'],ซีด,2
ซีด,['ซีด'],ซีด,3
ซึ่ง,['ซึ่ง'],ซึ่ง,53
ซึ่งหน้า,['ซึ่งหน้า'],ซึ่งหน้า,2
ซึม,['ซึม'],ซึม,3
ฌศษ,"['เศษ', 'โศษ']",เศษ,2
ญาติ,['ญาติ'],ญาติ,3
ฐาน,['ฐาน'],ฐาน,26
ณ์,"['อุปกรณ์', 'ณา', 'ณี', 'ณุ', 'ณะ', 'ณิ', 'ณพ', 'รณ์', 'ณู', 'ษณ์', 'ณณ', 'ณก', 'ณญ', 'ณำ', 'ณฑ์', 'ณต', 'ธณ์', 'มณ์']",ณ์,37
ณณ์,"['รณ์', 'ษณ์', 'ณณ', 'ณฑ์', 'มณ์', 'ธณ์']",รณ์,3
ณื,"['อุปกรณ์','ณา', 'ณี', 'ณุ', 'ณะ', 'ณิ', 'ณพ', 'ณู', 'ณือ', 'ณืป', 'ณณ', 'ณำ', 'ณก', 'ณญ', 'ณืค', 'ณืส', 'ณต']",ณ์,6
ด์,"['ดี', 'ดู', 'ดำ', 'ดา', 'ดิ', 'ดุ', 'ดง', 'ดม', 'ดด', 'ดะ', 'ดก', 'ดล', 'ดอ', 'ดร', 'ดน', 'ดบ', 'ดค', 'ดส', 'ดต', 'ดป', 'ดช', 'ดึ', 'ดท', 'ดจ', 'ดพ', 'ดท์', 'นด์', 'วด์', 'ดส์', 'ลด์']",ด์,40
ดก,['ดก'],ดก,2
ดวก,['ดวก'],ดวก,2
ดวงตา,['ดวงตา'],ดวงตา,2
ด้วย,['ด้วย'],ด้วย,310
ดัก,['ดัก'],ดัก,4
ดัง,['ดัง'],ดัง,2
ดังกล่าว,['ดังกล่าว'],ดังกล่าว,2
ดัด,['ดัด'],ดัด,12
ดัน,['ดัน'],ดัน,5
ดับ,['ดับ'],ดับ,42
ดาด,['ดาด'],ดาด,4
ดาดฟ้า,['ดาดฟ้า'],ดาดฟ้า,2
ดาน,['ดาน'],ดาน,5
ด้าน,['ด้าน'],ด้าน,18
ด้านใน,"['ด้านใน', 'ด้าน', 'ข้างใน', 'ช้านาน']",ด้านใน,43
ด้านนอก,['ด้านนอก'],ด้านนอก,6
ด้านบน,"['ด้านบน', 'ด้าน', 'ข้างบน', 'ช้านาน']",ด้านบน,21
ด้านล่าง,"['ด้านล่าง', 'ข้างล่าง']",ด้านล่าง,13
ด้านหน้า,['ด้านหน้า'],ด้านหน้า,18
ด้านหลัง,"['ข้างหลัง', 'ย้อนหลัง', 'ล้าหลัง']",ด้านหลัง,4
ด้าม,['ด้าม'],ด้าม,4
ด้ามจับ,['ด้ามจับ'],ด้ามจับ,3
ดาษ,['ดาษ'],ดาษ,4
ดำ,['ดำ'],ดำ,6
ดำเนินการ,['ดำเนินการ'],ดำเนินการ,8
ดิ,['ดิน'],ดิน,6
ดิน,['ดิน'],ดิน,741
ดินทราย,['หินทราย'],หินทราย,2
ดี,['ดี'],ดี,2
ดึก,['ดึก'],ดึก,2
ดึง,['ดึง'],ดึง,19
ดื่ม,['ดื่ม'],ดื่ม,2
ดุด,['ดุด'],ดุด,4
ดู,['ดู'],ดู,37
ดูแล,['ดูแล'],ดูแล,11
ดูงาน,['ดูงาน'],ดูงาน,11
ดูด,['ดูด'],ดูด,40
ตก,['ตก'],ตก,49
ตกแต่ง,['ตกแต่ง'],ตกแต่ง,2
ตกค้าง,['ตกค้าง'],ตกค้าง,2
ตกรอบ,"['กรอบ', 'ตีกรอบ', 'ตกขอบ']",กรอบ,7
ตกลง,['ตกลง'],ตกลง,2
ต๋ง,['แต่ง'],แต่ง,13
ตน,['ตน'],ตน,12
ต้น,['ต้น'],ต้น,3
ต้นไม้,['ต้นไม้'],ต้นไม้,8
ตรง,['ตรง'],ตรง,42
ตรงกัน,['ตรงกัน'],ตรงกัน,2
ตรงข้าม,['ตรงข้าม'],ตรงข้าม,3
ตรว,"['ตรวจ', 'ตัว', 'ตรง', 'ตรวจ', 'ตรา', 'ตรี', 'ติว', 'ตร', 'ตระ', 'ตรวน', 'ตรม', 'รว', 'ตริ', 'ตาว', 'ตรู', 'ตรุ', 'เรว', 'แรว', 'ตรำ', 'ตรวย', 'ตรัว', 'ตีว', 'ตวร', 'ตรก', 'ตไว', 'ตุว']",ตรวจ,2
ตรวจ,['ตรวจ'],ตรวจ,50
ตรวจวัด,"['ตรวจวัด', 'ตรวจจับ', 'ตำรวจวัง']",ตรวจวัด,88
ตรวจสอบ,['ตรวจสอบ'],ตรวจสอบ,238
ตราย,['ตราย'],ตราย,5
ตลอด,['ตลอด'],ตลอด,2
ตลอดเวลา,['ตลอดเวลา'],ตลอดเวลา,3
ต่อ,['ต่อ'],ต่อ,57
ต่อเติม,['ต่อตาม'],ต่อตาม,3
ต่อเนื่อง,['ต่อเนื่อง'],ต่อเนื่อง,6
ตอก,['ตอก'],ตอก,4
ต่อกัน,"['ตรงกัน', 'ก่อกวน', 'ตัดกัน', 'พอกัน']",ต่อกัน,2
ต้อง,['ต้อง'],ต้อง,19
ต้องตาม,['ต้องตา'],ต้องตา,2
ตอน,['ตอน'],ตอน,10
ต่อย,['ต่อย'],ต่อย,2
ต่อย,['ต่อ'],ต่อ,2
ต่อสาย,"['ต่อสาย', 'ต่อมา', 'ต่อสู้', 'ต่อย', 'ต่อตา', 'ต่าย', 'ต่ออายุ', 'ต่อตาม', 'ต่อปาก']",ต่อสาย,43
ต่อหน้า,['ต่อหน้า'],ต่อหน้า,2
ต่ออายุ,['ต่ออายุ'],ต่ออายุ,3
ตะ,['ตะ'],ตะ,4
ตะแกรง,['ตะแกรง'],ตะแกรง,14
ตะไคร่,['ตะไคร่'],ตะไคร่,2
ตะกร้า,['ตะกร้า'],ตะกร้า,4
ตะกอน,['ตะกอน'],ตะกอน,24
ตะขอ,['ตะขอ'],ตะขอ,4
ตะวันตก,['ตะวันตก'],ตะวันตก,2
ตะวันออก,['ตะวันออก'],ตะวันออก,2
ตั้,['ตั้ง'],ตั้ง,55
ตัก,['ตัก'],ตัก,2
ตักเตือน,['ตักเตือน'],ตักเตือน,2
ตัง,['ตั้ง'],ตั้ง,14
ตั่ง,['ตั้ง'],ตั้ง,11
ตั้ง,['ตั้ง'],ตั้ง,404
ตั้งแต่,['ตั้งแต่'],ตั้งแต่,2
ตั้งไฟ,['บั้งไฟ'],บั้งไฟ,2
ตั้งฉาก,['ตั้งฉาก'],ตั้งฉาก,2
ตั้งหน้า,['ตั้งหน้า'],ตั้งหน้า,40
ตั้งอยู่,['ตั้งอยู่'],ตั้งอยู่,2
ตัด,['ตัด'],ตัด,1507
ตัน,['ตัน'],ตัน,3
ตั้นั่ง,['ตั้นั่ง'],ตั้วนั่ง,2
ตัว,['ตัว'],ตัว,57
ตัวใหม่,['ตัวใหม่'],ตัวใหม่,11
ตัวนำ,['ตัวนำ'],ตัวนำ,3
ตัวหนังสือ,['ตัวหนังสือ'],ตัวหนังสือ,4
ตัวอย่าง,['ตัวอย่าง'],ตัวอย่าง,26
ตัวอักษร,['ตัวอักษร'],ตัวอักษร,3
ตา,['ตา'],ตา,8
ตาเดียว,['ตาเดียว'],ตาเดียว,2
ตาข่าย,['ตาข่าย'],ตาข่าย,12
ต่าง,['ต่าง'],ต่าง,20
ต่างกัน,"['ตรงกัน', 'ต่างแดน']",ตรงกัน,3
ต่างๆ,['ต่าง'],ต่าง ๆ,5
ต๊าบ,"['ตราบ', 'ต๊าย', 'ป๊าบ', 'ตาบ', 'จ๊าบ', 'ต๊าว', 'ต๊า', 'บ๊าบ', 'ก๊าบ', 'ต๊อบ']",สต๊าฟ,3
ต๊าฟ,"['ต๊าย', 'ต๊าว', 'ต๊า', 'สต๊าฟ']",สต๊าฟ,7
ตาม,['ตาม'],ตาม,32
ตามกฎหมาย,['ตามกฎหมาย'],ตามกฎหมาย,6
ตามจริง,"['ความจริง', 'สมจริง', 'ภาพจริง']",ความจริง,2
ตามที่,['ตามที'],ตามที,8
ตามปกติ,['ตามปกติ'],ตามปกติ,4
ตาย,['ตาย'],ตาย,4
ตำ,['ต่ำ'],ต่ำ,6
ต่ำ,['ต่ำ'],ต่ำ,6
ตำแหน่ง,['ตำแหน่ง'],ตำแหน่ง,20
ต่ำกว่า,['ต่ำกว่า'],ต่ำกว่า,4
ต่ำสุด,['ต่ำสุด'],ต่ำสุด,2
ติก,['ติก'],ติก,3
ติ๊ก,['ติ๊ก'],ติ๊ก,2
ติด,['ติด'],ติด,75
ติดไฟ,['ติดไฟ'],ติดไฟ,6
ติดกับ,"['ติดกับ', 'ติดตัว', 'ติดขัด', 'ตัดกัน', 'ติดพัน', 'ติดสัด', 'ตกับ']",ติดกับ,5
ติดต่อ,['ติดต่อ'],ติดต่อ,3
ติดตัง,"['ติดตั้ง', 'ติดตัว']",ติดตั้ง,2
ติดตั้ง,['ติดตั้ง'],ติดตั้ง,2850
ติดตาม,['ติดตาม'],ติดตาม,2
ติดป้าย,"['ปิดท้าย', 'ติดปาก', 'บิดซ้าย']",ติดป้าย,5
ติดลบ,['ติดลม'],ติดลม,2
ตี,['ตี'],ตี,8
ตี้ง,['ตี้ง'],ตั้ง,2
ตึก,['ตึก'],ตึก,26
ตุ้,['ตุ้'],ตู้,2
ตุก,['ตุก'],ตุก,2
ตู,['ตู'],ตู้,5
ตู,['ตู'],ตู,3
ตู้,['ตู้'],ตู้,100
ถ,"['รถ', 'ถู', 'ไถ', 'โถ', 'ถม', 'ถา', 'ถก', 'ถะ', 'ถุ', 'ถิ', 'ถี', 'ถึ', 'ถง', 'สถ', 'เถ', 'แถ', 'ถน', 'ตถ', 'บถ', 'ถด', 'ถอ', 'ถร', 'ถำ', 'ญถ', 'ปถ', 'ถบ', 'ถป', 'ถว']",รถ,2
ถนน,['ถนน'],ถนน,10
ถนัด,['ถนัด'],ถนัด,2
ถม,['ถม'],ถม,18
ถ้วน,['ถ้วน'],ถ้วน,20
ถอก,['ถอด'],ถอด,2
ถอด,['ถอด'],ถอด,865
ถอน,['ถอน'],ถอน,100
ถัง,['ถัง'],ถัง,234
ถังน้ำ,"['ถังน้ำ', 'ฟองน้ำ', 'ปันน้ำ', 'หัวน้ำ', 'ซัดน้ำ', 'แดงน้ำ']",ถังน้ำ,6
ถ้า,['ถ้า'],ถ้า,4
ถาด,['ถาด'],ถาด,24
ถ่าบ,"['ถ่าย', 'ถ่าน', 'ถ่าง', 'ถ่า', 'ถ่าม']",ถ่าย,3
ถาม,['ถาม'],ถาม,4
ถ่าย,['ถ่าย'],ถ่าย,11
ถ่ายภาพ,['ถ่ายภาพ'],ถ่ายภาพ,2
ถ่ายรูป,['ถ่ายรูป'],ถ่ายรูป,288
ถึง,['ถึง'],ถึง,6
ถือ,['ถือ'],ถือ,3
ถุก,['ถูก'],ถูก,12
ถุง,['ถุง'],ถุง,25
ถุงพลาสติก,['ถุงพลาสติก'],ถุงพลาสติก,6
ถุงมือ,['ถุงมือ'],ถุงมือ,41
ถูก,['ถูก'],ถูก,12
ถูกจุด,['ถูกจุด'],ถูกจุด,2
ถูกต้อง,['ถูกต้อง'],ถูกต้อง,3
ท,"['ทำ', 'ที', 'บท', 'ทา', 'ทน', 'ไท', 'โท', 'เท', 'ทะ', 'ทอ', 'ทิ', 'ทร', 'ทู', 'ทบ', 'ทุ', 'ทศ', 'ทย', 'ฤท', 'ทด', 'ทง', 'ทม', 'นท', 'รท', 'มท', 'ทส', 'ทก', 'ลท', 'แท', 'ทท', 'ทฤ', 'สท', 'กท', 'ทพ', 'ทึ', 'ทว', 'ยท', 'ปท', 'ชท', 'ทล', 'ทป', 'ดท', 'ทค', 'คท', 'อท', 'พท', 'จท', 'วท', 'ทฏ', 'ภท', 'ฉท', 'ใท', 'ผท', 'ศท', 'ษท']",ทำ,2
ทดแทน,['ทดแทน'],ทดแทน,8
ทดลอง,['ทดลอง'],ทดลอง,3
ทดสอบ,['ทดสอบ'],ทดสอบ,26
ทบทวน,['ทบทวน'],ทบทวน,2
ทรัพย์,['ทรัพย์'],ทรัพย์,5
