No.,Company,Area,Sub Area,Reportor,Contractor,Type of finding,Topic,Details,Corrective Action,Issue Date,Due Date,Status
402,MOC,Olefins2,-,Orachun S.,ATI-LT,Unsafe Action,PPE,ทีมงานพันแขนเสื้อขณะทำงาน,,3/4/2021,3/4/2021,Closed
403,MOC,Olefins2,Cold Box,Orachun S.,PSA,Unsafe Condition,Electrical & Grounding,ตู้ไฟยังไม่ได้ทำการตรวจสอบตาม checklist,,3/5/2021,3/5/2021,Closed
404,MOC,Interpipe,Zone1,Tatsanai P.,เอช เอ็นจิเนียริ่ง,Unsafe Action,Hot Work,งานเชื่อม (HW I) 4 box Work permit Safety lead ชื่อ สันทัด และ ธวัสชัย แต่หน้างานมีแค่ ธวัสชัย ที่ดูงาน ซึ่งแต่ละ box ห่างกัน ประมาณ 300 เมตร,,3/6/2021,3/6/2021,Closed
405,MOC,Interpipe,Zone1,Tatsanai P.,RNC,Unsafe Condition,Hot Work,งานเชื่อม ตัดเจียร ไม่มีการ ปิดล้อม ผ้ากันไฟ,,3/6/2021,3/6/2021,Closed
406,MOC,Olefins2,PR-12,Orachun S.,PSA,Unsafe Action,Work at height,งานทาสี ยืนบนบันไดลิงโดยใช้แผ่นปูนั่งร้านพาดกับบันไดลิงแต่ไม่คล้อง เกี่ยว Harness,,3/7/2021,3/7/2021,Closed
407,MOC,Olefins2,PR-22,Orachun S.,TNE,Unsafe Action,Insulation,คนงานทำงานหุ้ม Insulation คนเดียว,,3/7/2021,3/7/2021,Closed
408,MOC,Olefins2,Cold Box,Orachun S.,SR,Unsafe Action,Scaffolding,รื้อนั่งร้านอยู่ในท่าทางที่มีความเสี่ยงและยังพบรองเท้า Safety มีลักษณะชำรุด,,3/7/2021,3/7/2021,Closed
409,MOC,Olefins2,Cold Box,Orachun S.,SR,Unsafe Condition,Tools & Equipment,ใช้แปรงลูกถ้วยจนขนแปรงสั้นจนเกือบถึงแกนลูกถ้วย,,3/7/2021,3/7/2021,Closed
410,MOC,Olefins2,Cold Box,Orachun S.,SR,Unsafe Condition,PPE,Face shield มีลักษณะชำรุดและมัวมาก,,3/7/2021,3/7/2021,Closed
411,MOC,OCU,Clean yard,Phasit P.,WTM,Unsafe Condition,Transportation,"วาง Material บนรถบรรทุกซ้อนกันในลักษณะไม่ปลอดภัย
1.ซ้อนกันไม่สนิท
2.ไม่มีขอบกระบะป้องกันการตก",,3/8/2021,3/8/2021,Closed
412,MOC,ARU,Clean yard,Tanon,KEC,Unsafe Condition,Water jet,"งาน Water jet Clean stanner 
จุดข้อต่อสายน้ำแรงดัน ใช้ลวดมัดแทนการใช้ Safety sling

",แจ้งผู้ปฏิบัติงานให้เปลี่ยนจากการใช้ลวดมัดเป็น Safety sling กันสบัดและติมตามผลต่อเนื่องทุกวัน,3/8/2021,3/8/2021,Closed
413,MOC,HOT,Quench,Thongmai U.,SIS,Unsafe Condition,Lifting,งานยกขนย้ายนั่งร้านด้วย Hiab ใช้ Sling ผ้าใบที่ sticker ยังเป็นของเดือน ก.พ.,Safety lead ชี้แจงว่ามีการตรวจมาแล้วแต่ยังไม่ได้เปลี่ยน sticker ของเดือนใหม่ (ได้นำ sticker ของเดือนมี.ค.มาแสดง) จึงได้แจ้ง safety field เจ้าของพื้นที่ทราบ และห้ามทำการยกจนกว่าจะมีการตรวจเช็คสภาพและติด sticker update,3/8/2021,3/8/2021,Closed
414,MOC,Olefins2,PR-16,Orachun S.,PSA,Unsafe Action,Paint/ Coat/ Blast,งานทาสีไม่ได้ใส่ หน้ากาก R-95,,3/8/2021,3/8/2021,Closed
415,MOC,Olefins2,E-S386,Orachun S.,TNE,Unsafe Action,Work at height,บันไดนั่งร้านมาพาดหุ้ม Insulation โดยไม่ถูกต้องตามมาตรฐาน,,3/8/2021,3/8/2021,Closed
416,MOC,OCU,Clean yard,Tanon,WTM,Unsafe Action,SL Performance,Safety lead ไม่อยู่ควบคุมหน้างาน เกินกว่า20นาที,,3/9/2021,3/9/2021,Closed
417,MOC,OCU,Clean yard,Tanon,WTM,Unsafe Condition,Housekeeping,เศษ insulation หลังจากการใช้งาน วางกีดขวาง hydrant,,3/9/2021,3/10/2021,Closed
418,MOC,OCU,-,Tanon,KEC,Unsafe Condition,Lifting,ยก end flang ลงจากนั่งร้าน ใช้ hook เกียวกับรูของ flang โดยไม่ใส่สเก็น,,3/9/2021,3/9/2021,Closed
419,MOC,HOT,"TK-311,TK-259",Thongmai U.,NALCO,Unsafe Condition,Chemical Work,งาน Load Chemical ปิดกั้นพื้นที่โดยไม่มีป้ายเตือนอันตราย,,3/9/2021,3/9/2021,Closed
420,MOC,HOT,-,Thongmai U.,SR,Unsafe Condition,Tools & Equipment,ติด Sticker แสดงการตรวจสอบเครื่องมืออุปกรณ์ต่างๆมักไม่แกะของเก่าออก,,3/9/2021,3/9/2021,Closed
421,MOC,HOT,-,Thongmai U.,SR,Unsafe Condition,Transportation,Load chart ของรถ hiab ที่นำมาใช้ที่หน้างาน ถ่ายเอกสารมาแค่ใบเดียว ซึ่งตรวจสอบไม่ได้ว่าเป็นของคันนั้นๆหรือไม่,,3/9/2021,3/9/2021,Closed
422,MOC,Interpipe,-,Tatsanai P.,ACE,Unsafe Condition,Tools & Equipment,วางของอุปกรณ์ ใกล้กับ เครื่องยนต์  ทีมีความร้อน,,3/9/2021,3/10/2021,Closed
423,MOC,Olefins2,PR-24,Nakarin S.,TNE,Unsafe Action,Insulation,งานหุ้ม Insulation มีการตัดถุงมือ/ ใช้ถุงมือผิดประเภท,,3/9/2021,3/9/2021,Closed
424,MOC,Olefins2,PR-21,Nakarin S.,SR,Unsafe Action,Work at height,ผู้ปฏิบัติงานติดตั้งนั่งร้าน/รื้อถอนนั่งร้าน​ คล้อง​เกี่ยว Safety Harness​ ไม่ถูกวิธี​,,3/9/2021,3/9/2021,Closed
425,MOC,Olefins2,Cold Box,Orachun S.,PSA,Unsafe Action,Paint/ Coat/ Blast,งานทาสี ตรวจสอบหน้างานไม่ได้สวมใส่หน้ากาก R-95 ,,3/9/2021,3/9/2021,Closed
426,MOC,Olefins2,CGC,Orachun S.,PSA,Unsafe Action,PPE,ทำความสะอาดพื้นใช้หน้ากาก  R-95  สภาพเก่ามาก,,3/9/2021,3/9/2021,Closed
427,MOC,Interpipe,-,Sommart P.,ACE,Unsafe Condition,Work at height,แนว Pipe บางจุดไม่มี Barricade กั้นกันตก,,3/10/2021,3/10/2021,Closed
428,MOC,TFU,Naptha Tank,Phasit P.,MOC (SD),Unsafe Condition,Housekeeping,"Waste, Slag รอการจัดเก็บและขนย้ายออกจากพื้นที่",,3/10/2021,3/17/2021,Closed
429,MOC,UT,FAR4,SWP Audit,KAEFER,Unsafe Condition,Transportation,งานขนย้ายอุปกรณ์นั่งร้าน ปิดล้อม Barricade โดยไม่มีป้ายเตือนอันตราย,,3/10/2021,3/10/2021,Closed
430,MOC,UT,FAR4,SWP Audit,KAEFER,Unsafe Condition,Others,ปฏิบัติงานบริเวณจุดที่มีช่องเปิดรางระบายน้ำ,,3/10/2021,3/17/2021,Closed
431,MOC,UT,FAR5,SWP Audit,KAEFER,Unsafe Action,PTW & JSA,เป็นงานขนย้ายอุปกรณ์โดยคนแต่ไม่มีเอกสาร JSA แนบใน PTW,,3/10/2021,3/10/2021,Closed
432,MOC,COLD,D-651,SWP Audit,WTM,Unsafe Condition,Work at height,จุดยืนส่งอุปกรณ์นั่งร้าน เหยียบบนบันไดลิง (ไม่เต็มเท้า),,3/10/2021,3/10/2021,Closed
433,MOC,OCU,M-760B,Tanon,WTM,Unsafe Action,Insulation,ผู้ปฏิบัติงานไม่สวมใส่ถุงมือขณะหุ้ม Insulation,,3/10/2021,3/10/2021,Closed
434,MOC,COLD,MIA4,Nuttapong,SIS,Unsafe Action,PTW & JSA,งานยกอุปกรณ์นั่งร้านด้วยเฮี๊ยบ แต่ใน JSA ไม่มีการระบุขั้นตอนการทำงานด้วยเฮี๊ยบ,ให้ประเมินความเสี่ยงเพิ่มเติมลงใน JSA ให้ครบถ้วน และใช้สื่อสารกับทีมงานให้เข้าใจถึงอันตราย และวิธีป้องกันงานยกขนย้ายอุปกรณ์,3/10/2021,3/10/2021,Closed
435,MOC,Interpipe,Zone1,Tatsanai P.,ACE,Unsafe Condition,Scaffolding,บันไดขึ้นลง ไม่มีฝาแคปผิด pipe และหัวน๊อต,,3/10/2021,3/10/2021,Closed
436,MOC,TFU,TK-1010,Phasit P.,MOC (OPE),Unsafe Condition,Others,ด้านข้างที่เป็นแนวท่อ มีทีมงานเดินข้ามไป-มาตลอดเวลา (OPM),,3/10/2021,3/10/2021,Closed
437,MOC,Olefins2,Cold Box,Orachun S.,SR,Unsafe Action,Work at height,คล้องเกี่ยว hook ผิดตำแหน่งอยู่ต่ำกว่า ศรีษะ,,3/10/2021,3/10/2021,Closed
438,MOC,Olefins2,P-S420A,Orachun S.,PSA,Unsafe Condition,Paint/ Coat/ Blast,Boom lift ที่ใช้ในการทาสีที่ cold box อยู่ใกล้กับปุ่ม LCS มากเกินไป,,3/10/2021,3/10/2021,Closed
439,MOC,TFU,TK-1430,Phasit P.,KAEFER,Unsafe Condition,Housekeeping,กอง Material ทิ้งไว้ รอการขนย้ายออกจากพื้นที่,,3/11/2021,3/18/2021,Closed
440,MOC,HOT,MIA3,Thongmai U.,MYC,Unsafe Action,PTW & JSA,JSA งานสกัดคอนกรีต+Grouting ไม่ครอบคลุม,,3/11/2021,3/11/2021,Closed
441,MOC,HOT,MIA1,Thongmai U.,SIS,Unsafe Condition,Scaffolding,งานรื้อถอนนั่งร้านปิดกั้น barricade ไม่ครอบคลุม,,3/11/2021,3/11/2021,Closed
442,MOC,HOT,Quench,Thongmai U.,NALCO,Unsafe Action,Chemical Work,งานโหลดสารเคมีสวมใส่อุปกรณ์ PPE ไม่ครบถ้วนตามลักษณะงาน,,3/11/2021,3/11/2021,Closed
443,MOC,Olefins2,Cold Box,Orachun S.,-,Unsafe Condition,Scaffolding,ผู้ปฏิบัติงานอยู่ในตำแหน่ง Line of fire,,3/11/2021,3/11/2021,Closed
444,MOC,Olefins2,-,Orachun S.,RNC,Unsafe Condition,Hot Work,งานเชื่อมฝา Check valve ยังล้อมผ้ากันไฟไม่ครอบคลุม,,3/12/2021,3/12/2021,Closed
445,MOC,HOT,H-100C,Thongmai U.,RNC,Unsafe Action,SL Performance,งานรื้อถอนนั่งร้าน Safety L1(จป.)ปฏิบัติงานไม่ตรงกับหน้าที่ โดยเข้าไปร่วมทำงานกับคนงาน,,3/13/2021,3/13/2021,Closed
446,MOC,COLD,FRAC1,Thongmai U.,ATI-LT,Unsafe Condition,Scaffolding,ปิดกั้นพื้นที่แต่ไม่ติดป้ายเตือนอันตราย,,3/13/2021,3/13/2021,Closed
447,MOC,COLD,FRAC1,Thongmai U.,ATI-LT,Unsafe Action,Scaffolding,ระหว่างการติดตั้งนั่งร้าน มีการโยน pipe นั่งร้านลงพื้นทำให้เกิดการกระทบกันของ pipe,,3/13/2021,3/13/2021,Closed
448,MOC,COLD,MIA4,Tatsanai P.,TTCL,Unsafe Action,PTW & JSA,หยุดงาน TTCL CH-001 เนื่องจาก work ไม่ครอบคลุม งาน cutting pipe,,3/14/2021,3/14/2021,Stop Work
449,MOC,HOT,ด้านหน้า H-120R,CKK Line Walk,MOC (OPE),Unsafe Condition,Chemical Work,"ถังน้ำหอมวางทิ้งไว้ไม่ได้จัดเก็บ
",,3/16/2021,3/31/2021,Closed
450,MOC,HOT,ด้านข้าง H-120R,CKK Line Walk,HDS,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
451,MOC,HOT,D-445,CKK Line Walk,WTM,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
452,MOC,HOT,D-441,CKK Line Walk,SIS,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
453,MOC,HOT,D-441,CKK Line Walk,MOC (OPE),Unsafe Condition,Others,เปลี่ยน Flange Carbon และ Stainless ให้ถูกต้องตาม P&ID,,3/16/2021,3/31/2021,Closed
454,MOC,HOT,D-441,CKK Line Walk,REPCO,Unsafe Condition,Housekeeping,ถังอุปกรณ์วางทิ้งไว้ไม่ได้ใช้งาน,แจ้ง Job owner (ME) ให้ดำเนินการแก้ไข,3/16/2021,3/31/2021,Closed
455,MOC,HOT,D-441,CKK Line Walk,KAEFER,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
456,MOC,COLD,T-640,CKK Line Walk,WTM,Unsafe Condition,Housekeeping,"อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน, วางทับรางระบายน้ำ",,3/16/2021,3/31/2021,Closed
457,MOC,COLD,T-500,CKK Line Walk,SIS,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
458,MOC,TFU,Diversion Box,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,หญ้าและวัชพืชบริเวณโดยรอบ,,3/16/2021,3/31/2021,Closed
459,MOC,TFU,Pipe Rack,CKK Line Walk,TR,Unsafe Condition,Housekeeping,เศษขยะและอุปกรณ์นั่งร้านไม่ได้จัดเก็บ,,3/16/2021,3/31/2021,Closed
460,MOC,TFU,"TK-1210C, TK-1310C, TK-1410",CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,เศษขยะและวัชพืชอุดตันรูระบายน้ำ,,3/16/2021,3/31/2021,Closed
461,MOC,TFU,TK-1010A,CKK Line Walk,WTM,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
462,MOC,TFU,อาคารจัดเก็บอุปกรณ์ตรงข้าม TK-1550,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,การจัดวางอุปกรณ์เครื่องมือไม่เป็นระเบียบ,,3/16/2021,3/31/2021,Closed
463,MOC,TFU,ตรงข้าม TK-1430,CKK Line Walk,WTM,Unsafe Action,Lifting,ผู้ไม่เกี่ยวข้องเข้าไปในจุดที่มีงานยก (Line of fire),,3/16/2021,3/31/2021,Closed
464,MOC,TFU,ตรงข้าม TK-1430,CKK Line Walk,MOC (OPE),Unsafe Condition,Water jet,เศษสนิมจากงาน Clean STR ไม่ได้จัดเก็บออกจากพื้นที่,,3/16/2021,3/31/2021,Closed
465,MOC,TFU,TK-1310A,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,เศษใบไม้แห้งรอการกำจัดออก,,3/16/2021,3/31/2021,Closed
466,MOC,TFU,TK-1210A,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,ถังดับเพลิงและอุปกรณ์นั่งร้าน ไม่ได้นำออกหลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
467,MOC,TFU,Tools Room,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,"Diaphragm, Equipment ไม่ได้คัดแยกและจัดวางให้เป็นระเบียบ",,3/16/2021,3/31/2021,Closed
468,MOC,TFU,Oiler House,CKK Line Walk,MOC (SD),Unsafe Condition,Environmental,Inspection Tag ของ Spill kit ชำรุด,,3/16/2021,3/31/2021,Closed
469,MOC,COLD,E-656,CKK Line Walk,KAEFER,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
470,MOC,OCU,Clean yard,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,"Big Bag บรรจุทรายไม่ได้นำออกจากพื้นที่
",,3/16/2021,3/31/2021,Closed
471,MOC,TFU,Diversion Box,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,เศษขยะในบ่อ,,3/16/2021,3/31/2021,Closed
472,MOC,OCU,HS-2001,CKK Line Walk,MOC (OPE),Unsafe Condition,Process & Operation,ขันน็อตไม่แน่น LS1 9809,,3/16/2021,3/31/2021,Closed
473,MOC,OCU,FV-7700,CKK Line Walk,MOC (OPE),Unsafe Condition,Process & Operation,นำ Plug ปิดรู FV-7700,,3/16/2021,3/31/2021,Closed
474,MOC,COLD,"D-412
(MIA4)",CKK Line Walk,MOC (OPE),Unsafe Condition,Others,Structue ไม่ได้ทำ Fireproof ให้Ensure design จาก P&ID,ตรวจสอบตามแบบและมาตรฐานของโครงสร้าง เป็นไปตามกฎหมาย,3/16/2021,3/31/2021,Closed
475,MOC,COLD,"D-412
(MIA4)",CKK Line Walk,SIS,Unsafe Condition,Scaffolding,นั่งร้านไม่สมบูรณ์ และไม่ได้ Re-inspect (Tag เขียว),,3/16/2021,3/31/2021,Closed
476,MOC,COLD,M-380,CKK Line Walk,SIS,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
477,MOC,COLD,E-416,CKK Line Walk,BMC,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านไม่ได้นำออกจากพื้นที่หลังเสร็จงาน,,3/16/2021,3/31/2021,Closed
478,MOC,COLD,M-380,CKK Line Walk,MOC (OPE),Unsafe Condition,Housekeeping,"Jacket, insulation และอุปกรณ์ที่ไม่ได้ใช้งานแล้ว ไม่ได้นำออกจากพื้นที่
",,3/16/2021,3/31/2021,Closed
479,MOC,TFU,D-1010,Phasit P.,WTM,Unsafe Condition,Scaffolding,งานนั่งร้านไปกีดขวาง Valve ของ Plant,,3/15/2021,3/15/2021,Closed
480,MOC,TFU,D-1010,Phasit P.,ECE,Unsafe Condition,Safety Management,กล่องยาที่นำเข้ามาปิด Comment Audit สัปดาห์ที่แล้ว ยังขาดยาบางส่วน,,3/15/2021,3/22/2021,Closed
481,MOC,Olefins2,-,Orachun S.,TNE,Unsafe Action,Work at height,ทีมงานหุ้ม Insulation ไม่คล้องเกี่ยว Safety Harness,,3/15/2021,3/15/2021,Closed
482,MOC,HOT,D-203,Thongmai U.,NALCO,Unsafe Condition,Chemical Work,งานยกโหลด Polymer การปิดกั้นพื้นที่ ใช้ยูโรเทปแทนธงแดง,,3/15/2021,3/15/2021,Closed
483,MOC,UT,WWT,Thongmai U.,Clear Engineering,Unsafe Condition,Lifting,ตรงตะขอรอก สลิงผ้าใบอยู่นอก Safety Latch,,3/15/2021,3/15/2021,Closed
484,MOC,Olefins2,-,Orachun S.,RSC,Unsafe Action,Work at height,รื้อนั่งร้านแต่ลืมคล้องเกี่ยว Harness ขณะทำงาน,,3/16/2021,3/16/2021,Closed
485,MOC,Olefins2,-,Orachun S.,-,Unsafe Condition,Electrical & Grounding,งานดูดน้ำที่บ่อ devision box มีการต่อสายไฟจากตู้ไฟที่ไม่ได้มาตรฐาน,,3/16/2021,3/16/2021,Closed
486,MOC,Olefins2,T-420,Nakarin S.,TTCL,Unsafe Action,PTW & JSA,"การต่ออายุ​ Work​ Permit 
ตามมาตรการ​ งาน​ Class ​I​ ต้องต่ออายุ​ Permit​ ตรวจสอบหน้างาน​ทุกๆ 2​ ชม.​ ในหัวข้อ​ ลงเวลามา 4​ ชม.",,3/16/2021,3/16/2021,Closed
487,MOC,UT,C-2400L,SWP Audit,MOC (OPE),Unsafe Condition,LOTO/ LB,"LCS มีการ Log out เรียบร้อยดีแต่ไม่มี Tag out 
",,3/17/2021,3/24/2021,Closed
488,MOC,UT,C-2400L,SWP Audit,REPCO (MER),Unsafe Action,Work Procedure,"ผู้ขออนุญาต ไม่มี Sticker รับรองการทำงานบนที่สูง
",,3/17/2021,3/18/2021,Closed
489,MOC,Interpipe,Zone1,SWP Audit,ACE,Unsafe Action,PTW & JSA,ใน JSA ไม่มีการระบุถึงช่วงเวลาพักของคนทำงาน,,3/17/2021,3/17/2021,Closed
490,MOC,Interpipe,Zone1,SWP Audit,ACE,Unsafe Condition,Electrical & Grounding,เบอร์โทรศัพท์ของช่างไฟที่ติดอยู่ ทดลองโทรจริงพบว่าไม่ได้ปฏิบัติงานในพื้นที่แล้ว แจ้งให้มีการอัพเดทช่างประจำตู้ให้เรียบร้อย,,3/17/2021,3/17/2021,Closed
491,MOC,Interpipe,Zone1,SWP Audit,ACE,Unsafe Condition,Electrical & Grounding,"การจัดเก็บสายไฟ
บริเวณ hard barricade ให้จัดหา S-hook ให้เรียบร้อย
บริเวณ soft barricade ให้นำสายไฟไปไว้ใน Zone ด้านใน barricade",,3/17/2021,3/17/2021,Closed
492,MOC,Interpipe,Zone3,SWP Audit,ACE,Unsafe Condition,Electrical & Grounding,จุดต่อสาย Ground ไม่มี Soft Baricade,,3/17/2021,3/17/2021,Closed
493,MOC,Olefins2,-,Orachun S.,PSA,Unsafe Action,Paint/ Coat/ Blast,มีการปีนป่ายเนื่องจากมีงานทาสีบริเวณแนวท่อที Cooling tower,,3/17/2021,3/17/2021,Closed
494,MOC,UT,CT-2400L,SWP Audit,VIPTEL,Unsafe Condition,CSE,จุดช่วยเหลือไม่มี Barricade กั้น,,3/17/2021,3/17/2021,Closed
495,MOC,HOT,MIA1,Thongmai U.,SIS,Unsafe Condition,Work Procedure,นำสลิงผ้าใบที่ชำรุด ไม่มีการตรวจสอบ(ไม่ติด sticker)เข้ามาในพื้นที่,,3/17/2021,3/17/2021,Closed
496,MOC,HOT,P-3200A,Thongmai U.,REPCO (MER),Unsafe Action,PTW & JSA,งานติดตั้ง Pump JSA ไม่ครอบคลุมงาน Hydro test,,3/17/2021,3/17/2021,Closed
497,MOC,HOT,D-3110,Thongmai U.,REPCO (MER),Unsafe Action,Electrical & Grounding,งาน Clean ต่อสายกราวด์ของเครื่อง Scrubber นำมาต่อรวมไว้กับกราวด์ของระบบไฟแสงสว่าง,,3/17/2021,3/17/2021,Closed
498,MOC,Olefins2,Cold Box,Orachun S.,TTCL,Unsafe Condition,Hot Work,ผ้ากันไฟงานเชื่อม Suport มีลักษณะชำรุดเป็นรู,,3/19/2021,3/19/2021,Closed
499,MOC,Olefins2,Cold Box,Orachun S.,TTCL,Unsafe Condition,Housekeeping,พบแผ่นนั่งร้านขวางทางเดิน,,3/19/2021,3/19/2021,Closed
500,MOC,UT,FAR1,Tiwa A.,WTM,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านกองเก็บจำนวนมาก,จัดวางใหม่ไม่ให้สูงมากกว่า 2 เมตร,3/19/2021,5/31/2021,Closed
501,MOC,HOT,MIA1,Thongmai U.,PKC,Unsafe Action,Hot Work,งานเจียรแต่งคอนกรีตด้วยเครื่องเจียรแบตเตอรี ผู้ปฏิบัติงานใส่ถุงมือผ้า,,3/20/2021,3/20/2021,Closed
502,MOC,UT,TK-3072,Tiwa A.,Clear Engineering,Unsafe Condition,Lifting,ใช้กำมะลอต๋งชิ้นงานแทนรอกโซ่ และแขวนกับ Beam โดยตรง ไม่มีผ้ารอง,,3/19/2021,3/19/2021,Closed
503,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Condition,Scaffolding,บันไดนั่งร้านถูกติดตั้งแต่สภาพใช้งานไม่ได้,,3/21/2021,3/21/2021,Closed
504,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านกีดขวางทางเดิน,,3/21/2021,3/21/2021,Closed
505,MOC,TFU,D-1010,Phasit P.,REPCO (MER),Unsafe Action,Work Procedure,ใช้สลิงผ้าใบที่ไม่มี Sticker/ ไม่ได้ Inspect,,3/22/2021,3/22/2021,Closed
506,MOC,TFU,D-1010,Phasit P.,REPCO (MER),Unsafe Action,Lifting,4 ผู้ไม่ได้สวมใส่เสื้อสะท้อนแสง ครบทุกคน,,3/22/2021,3/22/2021,Closed
507,MOC,UT,PR-7C,SWP Audit,ATI-LT,Unsafe Action,SL Performance,SL งานรื้อนั่งร้าน ไม่อยู่ Stand by ที่หน้างาน,,3/22/2021,3/22/2021,Closed
508,MOC,UT,PR-7C,SWP Audit,ATI-LT,Unsafe Action,Scaffolding,ปิดล้อม Barricade ไม่ครอบคลุมและไม่มีป้ายเตือน,,3/22/2021,3/22/2021,Closed
509,MOC,Olefins2,E-500,Nakarin S.,TTCL,Unsafe Action,Work at height,ผู้ปฏิบัติงานใช้บันไดนั่งร้านพิงอุปกรณ์เพื่อทำความสะอาด,,3/22/2021,3/22/2021,Closed
510,MOC,Olefins2,PR-25,Nakarin S.,RSC,Unsafe Condition,Scaffolding,ทำงานรื้อนั่งร้านไม่ปิดกั้นพื้นที่,,3/22/2021,3/22/2021,Closed
511,MOC,Olefins2,-,Orachun S.,-,Unsafe Condition,Paint/ Coat/ Blast,มีงานทาสีโดยการใช้ boom lift แต่อยู่ใกล้กับไอ Steam  จึงให้ย้ายจุดทำงานอื่นไปก่อน,,3/23/2021,3/23/2021,Closed
512,MOC,HOT,Quench,Thongmai U.,ATI-LT,Unsafe Action,SL Performance,งานตั้งนั่งร้าน ปฏิบัติงานโดยไม่มี SE/SL และ Work Permit อยู่หน้างาน,,3/23/2021,3/23/2021,Closed
513,MOC,HOT,H-100A,Thongmai U.,RNC,Unsafe Action,Work at height,ยืนส่งอุปกรณ์นั่งร้าน บน Structure,,3/24/2021,3/24/2021,Closed
514,MOC,HOT,H-120R,Thongmai U.,RNC,Unsafe Condition,Scaffolding,ใช้ยูโรเทปปิดกั้นพื้นที่แทนธงขาวแดง,,3/24/2021,3/24/2021,Closed
515,MOC,Olefins2,H-S120A,Orachun S.,TTCL,Unsafe Condition,Paint/ Coat/ Blast,งานทาสีไม่มีถังดับเพลิง Stand by,,3/25/2021,3/25/2021,Closed
516,MOC,Olefins2,PR-15,Orachun S.,SR,Unsafe Condition,Scaffolding,งานรื้อนั่งร้าน ล้อม Barricade ด้วยริบบิ้น,,3/25/2021,3/25/2021,Closed
517,MOC,HOT,H-120R,SWP Audit,RNC,Unsafe Condition,Scaffolding,งานรื้อนั่งร้านไม่ได้ปิดกั้นพื้นที่ปฏิบัติงานและป้ายเตือนไม่เป็นไปตามมาตรฐาน,,3/25/2021,3/25/2021,Closed
518,MOC,HOT,H-120R,SWP Audit,RNC,Unsafe Condition,Work at height,ใช้เชือกส่ง Clamp lock นั่งร้านโดยไม่ได้ใช้ถุง,,3/25/2021,3/25/2021,Closed
519,MOC,Olefins2,P2,Orachun S.,RSC,Near Miss,Security,ขนย้ายอุปกรณ์นั่งร้านผ่านรั้วจากด้านนอกเข้าด้านใน,,3/26/2021,3/26/2021,Closed
520,MOC,HOT,H-100G,Thongmai U.,RMS,Unsafe Action,Pressure test,ผู้ปฏิบัติงานไม่สวมใส่ถุงมือกันความร้อน งาน Steam stop leak (Drain valve TLE),,3/27/2021,3/27/2021,Closed
521,MOC,TFU,D-1010,Tiwa A.,WTM,Unsafe Action,Work at height,ผู้ปฏิบัติงานยืนส่งอุปกรณ์บนแผ่นนั่งร้านที่นำมาต่อกับบันได,,3/27/2021,3/27/2021,Closed
522,MOC,UT,F-2201,Orachun S.,SKI,Unsafe Action,Paint/ Coat/ Blast,ข้อต่อสาย Hose งาน Sand Blast ไม่ได้พันด้วยเทป,,3/28/2021,3/28/2021,Closed
523,MOC,HOT,T-230,Thongmai U.,WTM,Unsafe Action,Work at height,เครื่องมือที่จะนำขึ้นไปใช้บนที่สูง ไม่มีเชือกผูกป้องกันการตก,,3/29/2021,3/29/2021,Closed
