FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Details,TranslateDetails
121,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate งานบนที่สูงไม่พบการตรวจสอบและลงข้อมูล,"Check documents, Safe Work Certificate, work at height, no inspection and data entry"
122,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Work Permit พบมีการทำงานบนที่สูงแต่ไม่ติ๊กข้อมูลลงใน Work Permit หัวข้อ 1.4 งานบนที่สูงแต่พบเอกสาร Safe Work Certificate แนบ,"Check Work Permit, found working at height but do not tick the information in Work Permit section 1.4, work at height but found a Safe Work Certificate attached."
123,GA Site7,Unknown,Unknown,Unsafe Action,Unknown,มีการปิดกั้นพื้นที่แต่ไม่มีป้ายติดพื้นที่ปฏิบัติงาน,The area is blocked but there is no sign posted to the operating area.
124,PP1,Unknown,Unknown,Unsafe Condition,Unknown,"มีถุงใส่ผ้าซับนำมันล้นออกมานอก bund , และมีคราบน้ำมันนอก bund , มีน้ำมันหกอยู่ใน bund หน้าห้อง oiler ที่ไม่มีหลังคาคลุม เมื่อฝกตกน้ำขังจะทำให้คราบน้ำมันล้นออกมาภายนอกได้","There is a cloth bag to absorb the oil out of the bund , and there are oil stains outside the bund , oil spilled in the bund in front of the oiler room without a roof. When it rains, it can cause oil stains to overflow outside."
125,PP2,Unknown,Unknown,Unsafe Condition,Unknown,พบก้อน polymer วางอยู่ตรงจุดที่มีงานตัดซึ่งเป็นงาน hot work class I ซึ่งเป็นวัสดุติดไฟ ,"The polymer block was found at the cutting point of hot work class I, which is a flammable material."
126,PP2,Unknown,Unknown,Unsafe Condition,Unknown,การตรวจสภาพหน้างานยังไม่ดีพอ ยังพบก้อน polymer ที่ติดไฟได้อยู่ในพื้นที่,"On-site inspection was not good enough, and flammable polymers were still found in the area."
127,PP2,Unknown,Unknown,Near Miss,Unknown,งานประกอบหน้าแปลนผู้ปฏิบัติงานอยู่ในตำแหน่ง line of fire ถ้าค้อนหลุดมือจะโดนผู้ปฏิบัติงานที่อยู่ด้านตรงข้ามได้,"The operator flange assembly is in the line of fire position. If the hammer slips, it can hit the operator on the opposite side."
128,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,"ผู้ปฏิบัติงานไม่ปฎิบัติตามมาตรการที่กำหนดไว้
ใน JSA (ไม่สวมใส่อุปกรณ์ป้องกันดวงตา )","The operator does not follow the measures set forth.
In the JSA (not wearing eye protection)"
129,HDPE3,Unknown,Unknown,Unsafe Condition,Unknown,"ตรวจพบสเก็นที่ใช้งานกับสลิงกระเช้ายกของ ยังไม่ผ่านการตรวจสภาพ
 ( Tag ยังเป็นของเดือนมีนาคม-สีเขียว )","A skunk has been detected on the liftgate sling. not yet passed the inspection
 (Tag still belongs to March - Green )"
130,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบงาน Lifting By Crane 70 ton พบเอกสาร Safe Work Certificate แนบไม่ Update 
เดิม SE-F-0213 Rev.002
ใหม่ SE-F-0213 Rev.004","Check Lifting By Crane 70 ton work, found Safe Work Certificate document, no update attached.
Original SE-F-0213 Rev.002
New SE-F-0213 Rev.004"
131,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีผู้ควบคุมไฟฟ้าที่หน้างาน,There is no electrical supervisor at the site.
132,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,มีการทำงานบนนั่งร้านสูงเกิน 1.8 เมตร แต่ผู้ขออนุญาตไม่ได้แนบเอกสาร WAH Certificate ,"Working on a scaffold higher than 1.8 meters, but the applicant has not attached the WAH Certificate."
133,Truck scale Site7,Unknown,Unknown,Near Miss,Unknown,ตรวจสอบพบว่า ฝาเพดานชำรุด อาจล่วงหล่น โดนคนด้านล่างได้ (เจ้าของพื้นที่แจ้งงานซ่อมกับGAแล้ว),"Check that the ceiling is damaged, may fall and hit the people below. (The owner of the area has notified the repair work to GA)"
134,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,ใน JSA มีการประเมินที่ไม่ครอบคลุม เนื่องจากไม่มีการประเมินเกี่ยวกับทำงานที่สูง และ เครื่อง Water Jet ที่เป็นอุปกรณ์ไฟฟ้า,In the JSA there is a non-comprehensive assessment. Because there is no high performance rating and the water jet is an electrical device.
135,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ประเมินไม่ครบ,incomplete assessment
136,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ประเมินไม่ครบ,incomplete assessment
137,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการสวมใส่อุปกรณ์,no equipment wearing
138,CPD Pipe Site3,Unknown,Unknown,Unsafe Condition,Unknown,ไมีมีการลงข้อมูลการตรวจสอบใน JSA,No audit information is posted in the JSA.
139,Warehouse Site 3,Unknown,Unknown,Unsafe Action,Unknown,"บริเวณจุด Loadอุปกรณ์ป้องกันการตก สติ๊กเกอร์ตรวจสภาพหมดอายุ
( สีน้ำตาลของเดือนเมษายน )","At the loading point, fall protection devices Expiration check sticker
(April brown)"
140,Warehouse Site 3,Unknown,Unknown,Unsafe Action,Unknown,"บริเวณจุดเปลี่ยนแบตฯ อุปกรณ์ช่วยยก
 สติ๊กเกอร์ตรวจสภาพหมดอายุ
( สีน้ำตาลของเดือนเมษายน )","Battery change area lifting device
 Expiration check sticker
(April brown)"
141,Store Site7,Unknown,Unknown,Unsafe Action,Unknown,มีการทำงานบดอัดดินด้วยเครื่องตบดิน แต่ไม่ได้ระบุลักษณะงาน และเครื่องมือที่ใช้ บนwork permit,Soil compaction is carried out with a soil compactor. but did not specify the nature of the work and tools used on work permit
142,Bagging Site7,Unknown,Unknown,Unsafe Condition,Unknown,เจ้าของพื้นที่ไม่ลงชื่อปิด work permit เมื่องานเสร็จสิ้น,The owner of the area does not sign the work permit when the work is completed.
143,Bagging Site7,Unknown,Unknown,Unsafe Action,Unknown,Tag ตรวจสอบsafety harness ยังไม่อัพเดทเป็นTag ปัจจุบัน,The safety harness check tag has not updated to the current tag.
144,PP2,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ Lifting By HIAB 8 Ton พบเอกสาร Safe Work Certificate แนบไม่ Update 
- เดิม SE-F-0213 Rev.002
- ใหม่ SE-F-0213 Rev.004","Check Lifting By HIAB 8 Ton Found Safe Work Certificate Document Not Update
- Original SE-F-0213 Rev.002
- New SE-F-0213 Rev.004"
145,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ JSA ข้อ 5.1 ขาดการประเมิน,Inspected JSA Article 5.1 Lack of Assessment
146,PP1,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ Work Permit พบ 
หัวข้อ 1.2 (จำนวนคนทำงาน)และ
หัวข้อ 1.3 (ไม่ลงชื่อ Safety Lead)","Check Work Permit found
Title 1.2 (number of workers) and
Section 1.3 (Unsigned Safety Lead)"
147,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสารงานยก SE-F-0213 Rev.004 พบมีการทำงานยกแต่ไม่ลงข้อมูลการคำนวณงานยกก่อนเริ่มงาน,"Check the lifting work document SE-F-0213 Rev.004. Found that there is a lifting work, but the calculation of the lifting work is not recorded before starting the work."
148,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบหัวข้อ 5  5.1 และ 5.2 ประเมินการทำงานไม่ตรงกับหน้างานจริง มีการมุด มีการปีน ลอด ,"Inspected JSA, found sections 5, 5.1 and 5.2. Assessment of work does not match the actual job site."
149,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ JSA พบหัวข้อ 5 5.1 และ 5.2 ประเมินการทำงานไม่ตรงกับหน้างานจริง มีการมุด มีการปีน ลอด
","Inspected JSA, found sections 5, 5.1 and 5.2. Assessment of work does not match the actual job site."
150,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Work Permit พบมีการทำงานบนที่สูงแต่ไม่ลงข้อมูลในหัวข้อ 1.4 งานบนที่สูง ,"Check Work Permit, found working at height, but didn't post information in section 1.4 work at height."
151,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบการทำงานพบมีการทำงานบนที่สูง ตรวจสอบ Safe work certificate งานบนที่สูงพบไม่มีการตรวจสอบในเอกสารและเซ็นเอกสารโดย Permit Requester,"Check the work, find the work at height, check the safe work certificate, check the work at height, find no check in the document and sign the document by the Permit Requester."
152,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการปิดล้อมพื้นที่ แขวนป้ายเตือน ,no enclosing area hang a warning sign
153,Store Site7,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบรถบรรทุกพัสดุ ที่กำลังขนถ่ายพัสดุ ไม่หนุนที่รองล้อรถ,Parcel truck detected loading and unloading parcels Not supporting wheel support
154,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบวิธีการล้อมผ้ากันไฟ ไม่เป็นไปตามข้อกำหนด (ตามรูป) มีงานเชื่อมการล้อมผ้าไม่สามารถป้องกันแสงจากงานเชื่อมได้ ล้อมต่ำกว่าจุดงานเชื่อม,Check how to surround the fireproof cloth. Does not meet the requirements (as shown in the picture). There is a welding work. The fabric can not protect the light from the welding work. Surrounded below the welding point
155,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Safe Work Certificate มีการตรวจสอบมาตราการเรียบร้อยแต่ ส่วนที่ 1 การขออนุญาต,"Check that Safe Work Certificate has been checked, but part 1, requesting permission"
156,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Work Permit หัวข้อ 1.4 งานบนที่สูงไม่ทำการติ๊กข้อมูลให้ครบตามเอกสารแนบ,"Check Work Permit section 1.4, work at height, do not tick all the information in the attachment."
157,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate พบไม่การลงข้อมูลในหัวข้อที่ 5 และ หัวข้อที่ 15 ,"Inspecting the Safe Work Certificate document, it was found that the information in section 5 and section 15 was not found."
158,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA ไม่พบการประเมินความเสี่ยงการทำงานบนที่สูง,JSA audit found no work height risk assessment
159,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Work Permit พบการขนย้ายของโดยรถยนต์แต่ Work Permit เปิดเป็นงาน Cold Work  ,"Check Work Permit. Found moving items by car, but Work Permit is open as Cold Work."
160,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Safe Work Certificate ขาดการตรวจสอบมาตราการและลงข้อมูลทั้งหมด ,"Check the Safe Work Certificate, missing the scale check and enter all the data."
161,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Work permit มีการลงข้อมูลในใบอนุญาตทำงานไม่ครบถ้วน ไม่เขียนชื่อ ผู้ขออนุญาตทำงานทำงานใน Work permit,"Work permit check, incomplete information is entered in the work permit, the name of the work permit holder is not written."
162,PP3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบไม่พบเอกสารการตรวจสุขภาพผู้ปฎิบัติงาน,Check that the worker's health check documents were not found.
163,Bagging Site1,Unknown,Unknown,Unsafe Action,Unknown,ประเมินไม่ครบถ้วน,incomplete assessment
164,Bagging Site1,Unknown,Unknown,Unsafe Condition,Unknown,ประเมินในjsaไม่ครบถ้วนถึงการใช้หินเจียร,Not fully evaluated in jsa on the use of grinding stones.
165,Bagging Site1,Unknown,Unknown,Unsafe Action,Unknown,ประเมินใน JSA ไม่ครบ,Not fully assessed in JSA
166,Bagging Site1,Unknown,Unknown,Unsafe Condition,Unknown,มีคราบน้ำมันบนพื้นทางเดิน,There are oil stains on the floor of the walkway.
167,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ประเมินไม่ครอบคลุม,not comprehensive assessment
168,LDPE,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีเอกสารงานขุดแนบกับ work permit,There is no excavation document attached to the work permit.
169,LDPE,Unknown,Unknown,Unsafe Condition,Unknown,ปิดล้อมพื้นที่ด้วยท่อ pvc  ที่ไม่ใช่  hard barricade,Enclose the area with non-hard barricade pvc pipes.
170,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ทำงานหุ้ม Insulation แต่ไม่สวมใส่อุปกรณ์ป้องกันระบบทางเดินหายใจ ( N 95 )ตาม JSA ที่กำหนด,"Work in insulation, but do not wear respiratory protective equipment (N 95) according to the JSA."
171,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Grinder ขัดพนัง พบขาด Handle อันตราย,"Detected the grinder, scrubbed the flap, found the handle missing dangerous."
172,PP1,Unknown,Unknown,Unsafe Condition,Unknown,"ตรวจสอบ JSA งาน Chemical Cleaning พบมีการประเมินความเสี่ยงไม่ครบกับวิธีปฏิบัติงาน 
- งาน Hydro Test 
- งานเติมสารเคมี 
- งานจัดเก็บสารเคมีกรณีรั่วไหล การเตรียมชุด Spill Kit ","Inspected JSA, chemical cleaning work, found that there was incomplete risk assessment with operating procedures.
- Hydro Test
- Chemical filling work
- Storage of chemicals in case of spills, preparation of Spill Kit"
173,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบชุด Spill Kit พบ Mask 6006 ใกล้หมดอายุในการใช้งานและแว่น Goggle สภาพไม่พร้อมใช้งาน และกล่องยาตรวจสอบพบยาแก้แพ้และทิงเจอร์,"Inspecting the Spill Kit, the Mask 6006 is near the end of its life and the goggle is unusable. and the pill box checked for antihistamines and tinctures."
174,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,พบมีการทำงานบนที่สูงเกิน 1.8 เมตร มีการสวมใส่ Safety Harness แต่ไม่คล้องเกี่ยวกับจุดที่ปฏิบัติงาน,"Found working at heights over 1.8 meters, wearing a Safety Harness, but not related to the point of operation."
175,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Grinder กำลังปฏิบัติงานพบไม่สวมใส่ Handle ,"Detected that the Grinder was working, found not wearing a handle."
176,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,ผู้ขออนุญาตไม่ได้กำหนดมาตรการ เรื่องการใช้อุปกรณ์ PPE ตามลักษณะงาน,The applicant did not impose any measures. Regarding the use of PPE equipment according to the nature of work
177,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,safety lead ไม่ตรวจสอบมาตรการที่หน้างาน แต่ได้เริ่มงานไปแล้ว,safety lead does not check measures at the job site but has already started work
178,PP3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบBund No.7 พบป้ายแสดงประเภทwaste ซืดจาง มองไม่ชัด,"Inspect Bund No.7, found a label showing the type of waste, faded, blurry."
179,HDPE4,Unknown,Unknown,Unsafe Condition,Unknown,ไม่มีการปิดล้อมพื้นที่ ไม่มี Barricades Tag ,"No blockade, no Barricades Tag."
180,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Work Permit หัวข้อ 1.4 หัวข้อ งานที่มีความร้อนและประกายไฟ มีการติ๊กข้อมูลแต่ไม่มีเอกสาร Safe Work Certificate แนบ (Work Permit เปิดเป็นงาน Class II),Check the Work Permit section 1.4 section Hot and spark jobs. Data is ticked but no Safe Work Certificate document attached (Work Permit opens as a Class II job).
181,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate งานที่มีความร้อนและประกายไฟ พบ Permit Requester ไม่ลงข้อมูลการรับรองตามข้อกำหนด หัวข้อที่ 3,"Check Safe Work Certificate Documents, hot and spark work, found Permit Requester did not enter the required certification information, section 3."
182,PP1,Unknown,Unknown,Unsafe Condition,Unknown,เครื่อง Air Com พบสายลมมีการใช้ Safety Sling มีการรัดสายที่ไม่ถูกวิธี มีการัดสายที่ระยะการสะบัดหลุดอันตราย,"The Air Com found a breeze, a Safety Sling was used, the cable was not tightened properly. There is a string that the flick distance is dangerously loose."
183,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบมีการนำน้ำมันหล่อลื่นใส่ในขวดน้ำดื่ม,Found that lubricant was put in a bottle of drinking water.
184,PP3,Unknown,Unknown,Unsafe Condition,Unknown,1.	Safety lead ที่ควบคุม งานยก งานที่สูง ขึ้นทะเบียนแล้วแต่ไม่ได้ Update สติ๊กเกอร์ให้เป็นปัจจุบัน สติ๊กเกอร์หมดอายุตั้งแต่วันที่ 17/3/65 ซึ่งผิดมาตรฐาน SD-SF-S-0007 มาตรฐานกำหนดบทบาทบุคคลสำคัญในระบบอนุญาตทำงาน,"1. Safety lead that controls work, lifting, high work, registered but not updating the sticker to be current. The sticker expires on 7/17/65, which is against the SD-SF-S-0007 standard."
185,PP3,Unknown,Unknown,Unsafe Action,Unknown,มีการทำงานบนที่สูง แต่ผู้ขออนุญาตไม่ได้ตรวจสอบมาตรการความปลอดภัยในแบบฟอร์มตรวจสอบการป้องกันการตกจากที่สูง (SE-F-0286) ซึ่งผิดมาตรฐาน SE-O-0025 Rev.005_มาตรฐานความปลอดภัยในการปฏิบัติงานบนที่สูง (Working at Height),"Working at heights But the applicant did not check the safety measures in the fall protection inspection form (SE-F-0286), which is in violation of the SE-O-0025 Rev.005_Safety Standards for working on the site. High (Working at Height)"
186,PP3,Unknown,Unknown,Unsafe Condition,Unknown,มีงานยกด้วยรถขยุ้มเหล็ก แต่ผู้ขออนุญาตไม่ได้กรอกรายละเอียดLifting Plan ซึ่งผิดมาตรฐาน SD-SF-S-0012 Lifting Work Safety Standard ,"There is a job lifting with a steel forklift. But the applicant did not fill out the Lifting Plan details, which is against the SD-SF-S-0012 Lifting Work Safety Standard."
187,Store Site7,Unknown,Unknown,Unsafe Condition,Unknown,พบเก้าอี้ชำรุด ล้อเลื่อนเสียหาย,Found a broken chair damaged scroll wheel
188,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบเครื่อง Generator ไม่พบผู้เฝ้าระวัง ตามข้อกำหนด ที่เครื่องมีติดชื่อผู้รับผิดชอบแต่ไม่ได้เข้ามาทำงาน,"Detected the Generator, did not find a watchdog according to the requirements that the machine has the name of the responsible person, but did not come to work."
189,Bagging Site7,Unknown,Unknown,Unsafe Action,Unknown,ผู้ขออนุญาตกำหนดมาตร PPE ไม่ครบ ตามลักษณะงาน,The applicant does not set the PPE measure according to the nature of the work.
190,Bagging Site7,Unknown,Unknown,Unsafe Action,Unknown,มีการทำงานบนที่สูงเกิน 1.8 เมตร แต่ผู้ขออนุญาตไม่ได้ประเมินความเสี่ยงเรื่องการทำงานบนที่สูง,"Working at heights over 1.8 meters, but the applicant did not assess the risk of working at height."
191,Store Site7,Unknown,Unknown,Unsafe Condition,Unknown,มีถุงจัดเก็บเศษวัสดุ กีดขวางอุปกรณ์ฉุกเฉิน,There is a bag for collecting waste materials. obstruct emergency equipment
192,Ware house Site7,Unknown,Unknown,Unsafe Condition,Unknown,พบเก้าอี้ชำรุด ขาหัก ไม่ติดป้ายห้ามใช้,"Found a broken chair, broken legs, no sign to use."
193,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ PPE งานติดตั้งนั่งร้าน ถุงมือ สภาพไม่พร้อมใช้งาน Mask หมดอายุ เกิน 5 ปี,"PPE inspection, scaffolding installation, gloves, unused condition, mask expired over 5 years"
194,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ MASK ที่ป้องกันอันตรายจาก ฟูม งานเชื่อม,Check for welding Found that the assembler doesn't wear a mask that prevents danger from welding fume.
195,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ MASK ที่ป้องกันอันตรายจาก ฟูม งานเชื่อม,Check for welding Found that the assembler doesn't wear a mask that prevents danger from welding fume.
196,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการก่อนเริ่มทำงาน,Inspect the JSA found a lack of pre-operation checks.
197,PP1,Unknown,Unknown,Unsafe Condition,Unknown,เครื่อง Air Com พบสายลมมีการใช้ Safety Sling มีการรัดสายที่ไม่ถูกวิธี มีการัดสายที่ระยะการสะบัดหลุดอันตราย,"The Air Com found a breeze, a Safety Sling was used, the cable was not tightened properly. There is a string that the flick distance is dangerously loose."
198,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบจุดวางถังอาร์กอนงานเชื่อมด้านล่างไม่มีการปิดกั้นพื้นที่,"Found an argon tank placement, welding work below, no blocking area."
199,QA&QC Site7,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเครื่องดูดฝุ่นที่นำมาใช้ ตรวจสภาพแล้ว แต่สติ๊กเกอร์ตรวจสภาพยังไม่เป็นปัจจุบัน ,"The used vacuum cleaner has been found and the condition has been checked, but the condition check sticker is not up to date."
200,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,PPE ป้องกันการหายใจ ระบุมาตรการไม่สอดคล้องกับJSA  และสารเคมีใช้ในการทำงาน,PPE prevents breathing Identify measures inconsistent with JSA. and chemicals used in work
201,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,ผู้ปฏิบัติงานยืนทาสีบนโครงสร้างเหล็กเส้นที่ไม่มั่นคง แข็งแรง มีโอกาสพลัดตก เนื่องจากจุดยืนไม่ใช่อุปกรณ์ สำหรับนำมาใช้ในการทำงานบนที่สูงตามมาตรฐาน SE-O-0025 Rev.005_มาตรฐานความปลอดภัยในการปฏิบัติงานบนที่สูง (Working at Height) ,"The worker stands to paint on a steel structure that is unstable, strong and has a chance of falling. Because the stand is not the device For use in working at heights in accordance with SE-O-0025 Rev.005_Working at Height standards."
202,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Regulator มีการใช้งานแต่ยังไม่ได้ตรวจสอบออกสติกเกอร์ ,I found the Regulator is in use but I haven't checked the sticker.
203,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบการทำงานยาแนง Silicone พบคู่ร่วมธุรกิจไม่สวมใส่ MASK (R-95) เพราะ Silicone อันตรายเพราะเป็นกรด และไม่สวมใส่แว่นตา ขณะปฏิบัติงาน,"Inspecting the work of Silicone rubber, found that business partners do not wear MASK (R-95) because silicone is dangerous because it is acidic. and don't wear glasses while working"
204,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบข้อ 5 ขาดการตรวจสอบและประเมิน,"JSA audit found Article 5, lack of audit and assessment."
205,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบนั่งร้าน TAG นั่งร้านหมดอายุ ยังไม่ได้ Update 07-14/05/65,"TAG scaffolding found, scaffolding has expired, haven't updated yet 07-14/05/65"
206,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเจียร์พบคู่ร่วมธุรกิจกำลังใช้งาน Grinder 4 นิ้ว ไม่ใส่ Handle (ตามรูปแนบ),Check to find grinding work. Found a business partner is using a 4 inch grinder without a handle (as pictured attached).
207,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,พบเครื่องตบดิน ตะแกรงครอบท่อสภาพชำรุด,Found a smashing machine Damaged pipe cover
208,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบงานเจียร์แต่งปูนพบ Grinder 4 นิ้ว พบไม่สวมใส่ Handle และไม่มีการล้อมพื้นที่ป้องกันฝุ่น,Investigate the mortar grinding work. The grinder is 4 inches. The handle is not worn and the area is not surrounded by dust.
209,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ JSA หัวข้อที่ 5 ขาดประเมินการทำงาน และหัวข้อที่ 6 Safety Lead ขาดการตรวจสอบและเซ็นเอกสาร,It was found that JSA Item 5 lacks performance assessment and Item 6 Safety Lead lacks inspection and document signing.
210,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,ปิดกั้นพื้นที่แต่ไม่มีป้ายชี้บ่ง,"Block the area, but there is no sign."
211,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ Work Permit หัวข้อที่ 4 ขาดการตรวจสอบตามเวลาและลงข้อมูล ตามหัวข้อที่ 2 ตรวจสอบ LEL ทุก 2 ชั่วโมง 
และตรวจสอบหน้างานทุกๆ 2 ชั่วโมง ขาดการตรวจสอบ","Check Work Permit Item 4 Lack of timely check and post data according to Item 2 Check LEL every 2 hours.
And check the job site every 2 hours. Lack of inspection."
212,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,ยกอุปกรณ์เครื่อง Genฯ เรียบร้อย แต่ไม่มีการตรวจสอบตามรายละเอียดใน JSA,"The equipment has been lifted, the Gen. has been done, but there is no inspection as detailed in JSA."
213,GA Site7,Unknown,Unknown,Unsafe Condition,Unknown,จักรยานชำรุด ไม่มีป้ายบอกสถานะบ่งชี้  ,The bike was damaged and there was no indication.
214,GA Site7,Unknown,Unknown,Unsafe Condition,Unknown,ไม่มีป้ายสำหรับที่จอดจักรยาน,There is no sign for bike parking.
215,Warehouse Site10,Unknown,Unknown,Unsafe Action,Unknown,เอกสารแบบฟอร์มรับรองการปฏิบัติตามข้อกำหนดการป้องกันการตกจากที่สูง ไม่อัพเดท ,Fall Protection Compliance Certification Form Document Not Updated
216,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,"JSA ประเมินไม่ครอบคลุม 
(ไม่มีการประเมินเรื่องสารเคมีใน จุดที่ปฎิบัติงาน )","The JSA assessment is not comprehensive.
(There is no chemical assessment in working point)"
217,HDPE4,Unknown,Unknown,Unsafe Condition,Unknown,"มีการตัดแยกระบบที่หน้างาน และระบุในJSA 
 แต่work permit ไม่มีเลขLOTO","The system is dismantled at the job site and specified in the JSA.
 But the work permit doesn't have LOTO number."
218,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการใช้หินเจียร์ที่หน้างาน แต่safety lead ตรวจสอบมาตรการว่ามีการใช้,"No grinding stone was used on site, but safety lead checks that measures are being used."
219,Ware house Site7,Unknown,Unknown,Unsafe Condition,Unknown,safety latch ขอตะขอยก หลุดออกจากตัวตะขอ เวลายกของ สลิงอาจหลุดออกจากตะขอได้ ,safety latch hook lift hook come off the hook when lifting the sling may come off the hook
220,Bagging Site7,Unknown,Unknown,Unsafe Action,Unknown,บันไดเลื่อน ผ่านการตรวจสภาพแล้ว แต่Tag ตรวจสอบอุปกรณ์ไม่อัพเดท,"The escalator has passed the inspection, but the tag to check the device is not updated."
221,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Safe Work Certificate SE-F-0286_Rev.002 งานบนที่สูง พบรายการตรวจสอบข้อที่ 9 และ 10 การทำงานบนบันไดทรง A,"Detected Safe Work Certificate SE-F-0286_Rev.002 Work at height, found checklist item 9 and 10, working on A ladder."
222,PP1,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบชุด ARGON บนรถพบการใช้งานอยู่ตรวจสอบพบไม่มีอุปกรณ์เสริมเช่น น้ำยา Test Leak , ประแจเบอร์ , เทปพันเกลียว ","The ARGON set on the car was found to be in use, and there were no accessories such as Test Leak reagents, number wrenches, threaded tape."
223,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Safe Work Certificate SE-F-0286_Rev.002 พบขาดการตรวจสอบเอกสาร ,Detected Safe Work Certificate SE-F-0286_Rev.002 Found a lack of document verification
