FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Frequency,CleansingFinding,TranslateFinding
599,Catalyst&Pilot plant,-,-,Unsafe Condition,Paint/ Coat/ Blast,ตรวจสอบ Safe Work Certificate ขาดการตรวจสอบมาตราการและลงข้อมูลทั้งหมด ,28,ตรวจสอบ safe work certificate ขาดการตรวจสอบมาตราการและลงข้อมูลทั้งหมด,"Check the safe work certificate, lack of checking measures and entering all data."
766,Catalyst&Pilot plant,-,-,Unsafe Condition,Hot Work,ตรวจสอบพบมีการปฏิบัติงานบนบันได A พบเอกสาร Safe Work Certificate SE-F-0286_Rev.002 งานบนที่สูง ขาดการประเมินมาตราการ,40,ตรวจสอบพบมีการปฏิบัติงานบนบันได a พบเอกสาร safe work certificate se-f-0286_rev.002 งานบนที่สูง ขาดการประเมินมาตราการ,"Check that there is work on the ladder a, find the document safe work certificate se-f-0286_rev.002, work at height, lack of measures assessment."
375,HDPE2,-,-,Unsafe Condition,PPE,พบมีการขึ้นด้านบนเพื่อแขวนสลิง แต่ไม่มีเอกสารงานที่สูงประกอบ Work,1,พบมีการขึ้นด้านบนเพื่อแขวนสลิง แต่ไม่มีเอกสารงานที่สูงประกอบ work,It was found that there was a sling up above to hang it. But there is no high work document accompanying work
376,HDPE2,-,-,Unsafe Condition,Installation/ Alignment,"ไม่พบเอกสารงานที่สูง
",1,"ไม่พบเอกสารงานที่สูง
",Can't find high work papers
379,HDPE4,-,-,Unsafe Condition,-,Fire watch ไม่ได้ลงชื่อและเวลาหลังจากงานเสร็จสิ้น,1,fire watch ไม่ได้ลงชื่อและเวลาหลังจากงานเสร็จสิ้น,fire watch unsigned and time after job finished
354,PP3,-,-,Unsafe Condition,PPE,ผู้ขออนุญาตไม่ได้คำนวณ Lifting capacity rate ข้อ 2.6.3 ก่อนทำงานยก,10,ผู้ขออนุญาตไม่ได้คำนวณ lifting capacity rate ข้อ 2.6.3 ก่อนทำงานยก,The applicant has not calculated the lifting capacity rate in item 2.6.3 before carrying out lifting work.
341,PP3,-,-,Unsafe Condition,-,ไม่มี Barricade tag ,18,ไม่มี barricade tag,no barricade tag
385,PP3,-,-,Unsafe Condition,-,ผู้ขออนุญาตและsafety lead ยังไม่เข้าใจในการเลือก ลักษณะพิกัดการยก มาตรการความปลอดภัยในการยก จึงเลือกหัวข้อผิด,1,ผู้ขออนุญาตและsafety lead ยังไม่เข้าใจในการเลือก ลักษณะพิกัดการยก มาตรการความปลอดภัยในการยก จึงเลือกหัวข้อผิด,Applicants and safety leads still do not understand the selection. Characteristics of lifting coordinates lifting safety measures So choose the wrong topic.
387,Bagging Site7,-,-,Unsafe Condition,Installation/ Alignment,ยังไม่มี P&ID,1,ยังไม่มี p&id,no p&id yet
469,HDPE4,-,-,Unsafe Condition,Water jet,Lifting plan ยังไม่อัพเดทเป็น Rev.ปัจจุบัน,5,lifting plan ยังไม่อัพเดทเป็น rev.ปัจจุบัน,The lifting plan is not updated to the current rev.
408,PP1,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบมีการทำงานบนที่สูงตรวจสอบเอกสาร JSA พบไม่มีการประเมินความเสี่ยงในการทำงานบนที่สูง,59,ตรวจสอบมีการทำงานบนที่สูงตรวจสอบเอกสาร jsa พบไม่มีการประเมินความเสี่ยงในการทำงานบนที่สูง,check there is working at height check the jsa document found no risk assessment for working at height
400,Blownfilm,-,-,Unsafe Condition,Insulation,มีการลงรายละเอียดในเอกสารแต่ลูกกุญแจ Lock ไม่ครบ ,3,มีการลงรายละเอียดในเอกสารแต่ลูกกุญแจ lock ไม่ครบ,"There are details in the document, but the key lock is missing."
85,PP3,-,-,Unsafe Condition,-,การลงชื่อ Permit Reques ไม่ตรงกันกับผู้ควบคุมงานอับอากาศ,2,การลงชื่อ permit reques ไม่ตรงกันกับผู้ควบคุมงานอับอากาศ,Signing permit requests does not match with the confined work supervisor.
412,HDPE2,-,-,Unsafe Condition,Work Procedure, พบใน JSA งานประกอบท่อไม่มีการประเมินในเรื่องน้ำยาประสารท่อซึ่ง SDS บ่งบอกถึงการติดไฟและอันตรายกับระบบทางเดินหายใจ,2,พบใน jsa งานประกอบท่อไม่มีการประเมินในเรื่องน้ำยาประสารท่อซึ่ง sds บ่งบอกถึงการติดไฟและอันตรายกับระบบทางเดินหายใจ,"Found in jsa, pipe assembly work is not evaluated for pipe binders where sds indicate flammability and respiratory hazard."
401,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,ไม่ได้ลงค่าการตรวจเช็คแก็สก่อนเริ่มงาน แต่มีการตรวจวัดแก็สโดยFire watch ที่อยู่หน้างานแล้ว,1,ไม่ได้ลงค่าการตรวจเช็คแก็สก่อนเริ่มงาน แต่มีการตรวจวัดแก็สโดยfire watch ที่อยู่หน้างานแล้ว,Did not pay for the gas check before starting work But there is a gas measurement by a fire watch at the site.
407,PP1,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบพบ Work Permit ไม่ระบุข้อมูลลงในเอกสาร ไม่ติ๊กข้อมูลงานยกและงานบนที่สูง,57,ตรวจสอบพบ work permit ไม่ระบุข้อมูลลงในเอกสาร ไม่ติ๊กข้อมูลงานยกและงานบนที่สูง,Check that the work permit does not specify any information in the document. Do not tick the information of lifting work and work at height.
391,HDPE1,-,-,Unsafe Condition,-,ตรวจสอบพบมีการทำงานบนที่สูง แต่พบไม่การประเมิน JSA การทำงานบนที่สูง,24,ตรวจสอบพบมีการทำงานบนที่สูง แต่พบไม่การประเมิน jsa การทำงานบนที่สูง,It was found to be working at height. but found no jsa evaluation working at height
393,HDPE1,-,-,Unsafe Condition,-,ตรวจสอบพบมีการทำงานบนที่สูงแต่ขาดเอกสารแนบ Safe Work Certificate งานบนที่สูง,59,ตรวจสอบพบมีการทำงานบนที่สูงแต่ขาดเอกสารแนบ safe work certificate งานบนที่สูง,Found working at height but missing safe work certificate attachment. Work at height
405,HDPE2,-,-,Unsafe Condition,Work Procedure,พบไม่มีการตรวจในช่อง การตรวจสอบมาตรการหน้างาน,1,พบไม่มีการตรวจในช่อง การตรวจสอบมาตรการหน้างาน,No detection was found in the channel. Checking measures on site
763,Catalyst&Pilot plant,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบ JSA พบมีการทำงานยาแนว Silicone พบมีการลงข้อมูลตรวจสอบ (ไม่เกี่ยวข้อง) แต่มีการปฏิบัติงาน,2,ตรวจสอบ jsa พบมีการทำงานยาแนว silicone พบมีการลงข้อมูลตรวจสอบ ไม่เกี่ยวข้อง แต่มีการปฏิบัติงาน,"Checked jsa, found that silicone sealant was working, found that check data was posted. not relevant but there is work"
570,Catalyst&Pilot plant,-,-,Unsafe Condition,-,ตรวจสอบ Work Permit พบมีการทำงานบนที่สูงแต่ไม่ลงข้อมูลในหัวข้อ 1.4 งานบนที่สูง ,49,ตรวจสอบ work permit พบมีการทำงานบนที่สูงแต่ไม่ลงข้อมูลในหัวข้อ 1.4 งานบนที่สูง,"Check the work permit, found working at height but not posting information in section 1.4 Work at height"
419,Ware house Site1,-,-,Unsafe Condition,Housekeeping,Work permit ไม่ได้ระบุถึงอันตรายการรื้อ scrubber ซึ่งมีความเป็นอันตรายของสารเคมีที่ติดค้างใน scrubber,1,work permit ไม่ได้ระบุถึงอันตรายการรื้อ scrubber ซึ่งมีความเป็นอันตรายของสารเคมีที่ติดค้างใน scrubber,The work permit does not address scrubber dismantling hazards as there is a danger of chemicals lingering in the scrubber.
420,Ware house Site1,-,-,Unsafe Condition,Housekeeping,ไม่ได้ประเมินอันอันตรายสารคงค้างที่อยู่ใน scrubber,1,ไม่ได้ประเมินอันอันตรายสารคงค้างที่อยู่ใน scrubber,Hazardous residues contained in the scrubber were not assessed.
346,Store Site7,-,-,Unsafe Condition,Housekeeping,ผู้ขออนุญาตไม่ได้เช็คCertificate งานขุดที่หน้า work permit แต่ได้แนบเอกสารงานขุดเรียบร้อย,17,ผู้ขออนุญาตไม่ได้เช็คcertificate งานขุดที่หน้า work permit แต่ได้แนบเอกสารงานขุดเรียบร้อย,"The applicant did not check the certificate Excavation work at the work permit page, but the excavation documents have been attached."
428,GA Site1,-,-,Unsafe Condition,-,ปฏิบัติไม่ได้ตามมาตรฐาน เช่น ไม่มีการป้องกันดินถล่ม,1,ปฏิบัติไม่ได้ตามมาตรฐาน เช่น ไม่มีการป้องกันดินถล่ม,"Non-compliance with standards, such as lack of protection against landslides"
424,Store Site7,-,-,Unsafe Condition,Housekeeping,"ตรวจพบว่า ไม่ได้ระบุSafe work Cer.งานขุด แต่แนบCertificate งานขุดมา และ Permit Approverไม่ได้ระบุให้เจ้าของพื้นที่ , ผู้ขออนุญาต ,Safety lead ให้ตรวจสอบหน้างานในระหว่างทำงาน แต่เจ้าของพื้นที่ , ผู้ขออนุญาต ,Safety lead ได้ลงชื่อตรวจสอบหน้างาน",8,"ตรวจพบว่า ไม่ได้ระบุsafe work cer.งานขุด แต่แนบcertificate งานขุดมา และ permit approverไม่ได้ระบุให้เจ้าของพื้นที่ , ผู้ขออนุญาต , safety lead ให้ตรวจสอบหน้างานในระหว่างทำงาน แต่เจ้าของพื้นที่ , ผู้ขออนุญาต , safety lead ได้ลงชื่อตรวจสอบหน้างาน","It was detected that a safe work cert was not specified for excavation work, but the excavation certificate was attached and the permit approver did not specify the land owner, the requestor, the safety lead to inspect the site during work. But the owner of the area, the applicant for permission, the safety lead has signed to inspect the site."
430,LLDPE,-,-,Unsafe Condition,Insulation,ตรวจสอบบัตร Safety Lead พบ Lead Confined Space หมดอายุ ,1,ตรวจสอบบัตร safety lead พบ lead confined space หมดอายุ,"Check safety lead card, lead confined space expired"
432,Ware house Site7,-,-,Unsafe Condition,-,ป้ายbraricateไม่ได้ตามมาตรฐาน ,1,ป้ายbraricateไม่ได้ตามมาตรฐาน,The braricate sign is not up to the standard.
371,PP1,-,-,Unsafe Condition,Hot Work,ตรวจสอบพบเอกสารแนบ Safe Work Certificate ส่วน Work Permit ไม่มีการติ๊กข้อมูลข้อ 1.4 หัวข้อ งานบนที่สูง,61,ตรวจสอบพบเอกสารแนบ safe work certificate ส่วน work permit ไม่มีการติ๊กข้อมูลข้อ 1.4 หัวข้อ งานบนที่สูง,Check that the safe work certificate attachment is found. The work permit section does not tick the information in item 1.4 on the topic of work at height.
436,Catalyst&Pilot plant,-,-,Unsafe Condition,Insulation,พบสวมใส่ผ้าปิดจมูกหุ้ม Insulation,1,พบสวมใส่ผ้าปิดจมูกหุ้ม insulation,Found wearing an insulating mask
437,HDPE1,-,-,Unsafe Condition,-,มีการลงช่องและเซนต์ชื่อ การประเมินพื้นที่ความปลอดภัยที่หน้างาน ก่อนที่จะมีการขอเปิด Work จากเจ้าของพื้นที่,1,มีการลงช่องและเซนต์ชื่อ การประเมินพื้นที่ความปลอดภัยที่หน้างาน ก่อนที่จะมีการขอเปิด work จากเจ้าของพื้นที่,There is a channel and the name is signed. On-site Safety Area Assessment Before there is a request to open work from the owner of the area
438,Bagging Site3,-,-,Unsafe Condition,SL Performance,Tag ไม่มีแขวนที่หน้างาน,1,tag ไม่มีแขวนที่หน้างาน,tag is not hung at the event
695,Catalyst&Pilot plant,-,-,Unsafe Condition,-,ระบุ JSA ในการทำงานไม่ตรวตาม work permit,19,ระบุ jsa ในการทำงานไม่ตรวตาม work permit,Specify jsa to work not check work permit
1435,ARU,Z-800,ACE,Unsafe Condition,Work at height,Safety Harness ไม่ได้ตรวจสภาพเดือนเมษายน,5,safety harness ไม่ได้ตรวจสภาพเดือนเมษายน,safety harness not inspected in April
906,Olefins2,-,SR,Unsafe Condition,Scaffolding,นั่งร้านไม่มี Tag,70,นั่งร้านไม่มี tag,scaffolding without tags
443,Bagging Site3,-,-,Unsafe Condition,-,พบผ่านไม้กระดานที่ปลูกเพื่อขึ้นทำงานไม่มีการบวกหลักด้วยเชือกหรือลวด,1,พบผ่านไม้กระดานที่ปลูกเพื่อขึ้นทำงานไม่มีการบวกหลักด้วยเชือกหรือลวด,"Found through a plank planted to work up, no main plus with rope or wire."
847,HDPE3,-,-,Unsafe Condition,Excavation,ประเมิน jsa ไม่ครอบคลุมและยังพบมีการนำอุปกรณ์นอกเหนือจากที่กำหนดมาใช้งานซึ่งไม่ตรงกับ work permit ที่เปิด,53,ประเมิน jsa ไม่ครอบคลุมและยังพบมีการนำอุปกรณ์นอกเหนือจากที่กำหนดมาใช้งานซึ่งไม่ตรงกับ work permit ที่เปิด,The jsa assessment was not covered and it was found that the use of equipment other than the specified that did not match the open work permit was found.
448,Bagging Site3,-,-,Unsafe Condition,PPE,พบเอกสารงานที่สูงเป็นแบบฟอร์มเก่า,1,พบเอกสารงานที่สูงเป็นแบบฟอร์มเก่า,Found a tall job document as an old form.
190,GA Site7,-,-,Unsafe Condition,Pressure test,ไม่ได้ระบุชื่อ safety lead ในwork permit,31,ไม่ได้ระบุชื่อ safety lead ในwork permit,The safety lead is not mentioned on the work permit.
450,Warehouse Site 3,-,-,Unsafe Condition,Lifting,พบรายละเอียดในเอกสาร JSA ในส่วนของการสวมใส่กระบังหน้ามาตรการลงรายละเอียดผิด และ ตรวจสอบมาตรการไม่ครบถ้วน,1,พบรายละเอียดในเอกสาร jsa ในส่วนของการสวมใส่กระบังหน้ามาตรการลงรายละเอียดผิด และ ตรวจสอบมาตรการไม่ครบถ้วน,"Found details in the jsa document in the part of wearing the visor, the measures detailing incorrectly and inspecting the measures incomplete."
451,Catalyst&Pilot plant,-,-,Unsafe Condition,Others,ตรวจสอบพบนั่งร้านแบบ Mobile สภาพล้อไม่สามารถล๊อคได้ตามมาตราการจำนวน 2 ล้อ (ให้ผู้ปฏิบัติงานหยุดงานยกเลิกใช้ก่อน),1,ตรวจสอบพบนั่งร้านแบบ mobile สภาพล้อไม่สามารถล๊อคได้ตามมาตราการจำนวน 2 ล้อ ให้ผู้ปฏิบัติงานหยุดงานยกเลิกใช้ก่อน,"Examine the mobile scaffolding condition, the wheels cannot be locked according to the regulations, the number of 2 wheels requires the operator to stop work and cancel use first."
785,HDPE1,-,-,Unsafe Condition,Environmental,ตรวจสอบเอกสาร JSA พบหัวข้อที่ 8 พบ Safety Lead และผู้ปฏิบัติงานไม่มีการเซ็นเอกสารรับทราบการสื่อสารรายละเอียดของ JSA ,5,ตรวจสอบเอกสาร jsa พบหัวข้อที่ 8 พบ safety lead และผู้ปฏิบัติงานไม่มีการเซ็นเอกสารรับทราบการสื่อสารรายละเอียดของ jsa,"Examine the jsa document, found section 8, found a safety lead, and the operator did not sign the document acknowledging the details of jsa communication."
454,Truck scale Site7,-,-,Unsafe Condition,Housekeeping,Permit Verifier / Permit Approver ไม่ได้ระบุวันและเวลา ในการอนุมัติ,1,permit verifier / permit approver ไม่ได้ระบุวันและเวลา ในการอนุมัติ,permit verifier / permit approver does not specify date and time of approval
248,LDPE,-,-,Unsafe Condition,Water jet,"ตรวจสอบพบ Safety Lead ขาดการประเมิน JSA หัวข้อ 6.1ตรวจสอบมาตราการหน้างาน
หัวข้อ 5 ข้อย้อย 5.1 และ หัวข้อ 5.2",42,"ตรวจสอบพบ safety lead ขาดการประเมิน jsa หัวข้อ 6.1ตรวจสอบมาตราการหน้างาน
หัวข้อ 5 ข้อย้อย 5.1 และ หัวข้อ 5.2","Checked safety lead, lack of jsa assessment, topic 6.1, check the measures on site.
Topic 5, Subsection 5.1 and Topic 5.2."
612,Bagging Site1,-,-,Unsafe Condition,-,ประเมินใน JSA ไม่ครบ,32,ประเมินใน jsa ไม่ครบ,not fully evaluated in jsa
296,PP1,-,-,Unsafe Condition,-,ตรวจสอบพบนั่งร้านใช้ Tag เขียว แต่หมดอายุการใช้ ,18,ตรวจสอบพบนั่งร้านใช้ tag เขียว แต่หมดอายุการใช้,Found scaffolding with a green tag but expired.
462,HDPE3,-,-,Unsafe Condition,Installation/ Alignment,"ตรวจพบขวดใส่น้ำมันหล่อลื่นนำสติ๊กเกอร์ Waste label ,มาติดซึ่งไม่ถูกต้อง",1,"ตรวจพบขวดใส่น้ำมันหล่อลื่นนำสติ๊กเกอร์ waste label , มาติดซึ่งไม่ถูกต้อง","The lubricant bottle was found to have a waste label sticker attached, which was not correct."
463,HDPE2,-,-,Unsafe Condition,PPE,พบในเอกสาร JSA ไม่มีการขั้นตอนการใช้รถ Fork lift และ ไม่มีการผูกรัดถังก่อนทำการขนย้าย,1,พบในเอกสาร jsa ไม่มีการขั้นตอนการใช้รถ fork lift และ ไม่มีการผูกรัดถังก่อนทำการขนย้าย,"Found in the jsa document, there is no procedure for using a fork lift truck and no tying the tank before transporting."
466,CPD Pipe Site3,-,-,Unsafe Condition,Lifting,พบในเอกสาร JSA ข้อที่/ มีการกำหนดมาตรการ Lock LOTO และมีการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ Work Permit ไม่มีการลงรายละเอียดนัมเบอร์ LOTO ที่ทำการ Lock,23,พบในเอกสาร jsa ข้อที่/ มีการกำหนดมาตรการ lock loto และมีการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ work permit ไม่มีการลงรายละเอียดนัมเบอร์ loto ที่ทำการ lock,"Found in the jsa document that / There is a lock loto measure and measures have been checked at the job site, but the work permit does not list the loto numbers that lock."
470,HDPE4,-,-,Unsafe Condition,PPE,มีการนำรถเข้าเขตกระบวนการผลิต แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีการแนบเอกสารการนำรถ ในหัวข้อที่ 1.4 หน้าwork permit,1,มีการนำรถเข้าเขตกระบวนการผลิต แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีการแนบเอกสารการนำรถ ในหัวข้อที่ 1.4 หน้าwork permit,"The car is brought into the production area. But the applicant did not check that the vehicle navigation documents were attached in item 1.4, the work permit page."
43,HDPE3,-,-,Unsafe Condition,-,ประเมิน JSA ไม่ครอบคลุม เพราะจากหน้างานที่เห็นมีการใช้ Hoist ในการช่วยยก และ ไม่มีประเมินเกี่ยวกับการขึ้นไปยืนทำงานด้านบน ,16,ประเมิน jsa ไม่ครอบคลุม เพราะจากหน้างานที่เห็นมีการใช้ hoist ในการช่วยยก และ ไม่มีประเมินเกี่ยวกับการขึ้นไปยืนทำงานด้านบน,Assessment of jsa is not comprehensive because from the work site that has been seen using a hoist to help lift and there is no assessment about standing up to work on top
811,CPD Site1,-,-,Unsafe Condition,-,ตรวจสอบพบการกั้น Barricade ด้วย EURO Tape ที่ทำการยกเลิกการใช้งานเมื่อ 1 มีนาคม 63 ,12,ตรวจสอบพบการกั้น barricade ด้วย euro tape ที่ทำการยกเลิกการใช้งานเมื่อ 1 มีนาคม 63,"Checked barricade blocking with euro tape disabled on March 1, 2020."
476,Pilot plant complex,-,-,Unsafe Condition,Water jet,มีการใส่Blind ที่Line Pipeเรียบร้อย แต่ไม่มีเอกสารตัดแยกระบบ ,1,มีการใส่blind ที่line pipeเรียบร้อย แต่ไม่มีเอกสารตัดแยกระบบ,The blind has been inserted at the line pipe. But there is no separate document.
84,HDPE2,-,-,Unsafe Condition,-,",มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด",1," , มีกำหนด simple lock แต่ไม่มีการลงข้อมูลรายละเอียด",", Simple lock is defined but no details are entered."
478,Pilot plant complex,-,-,Unsafe Condition,Water jet,ยังไม่มีเอกสาร Blind list,1,ยังไม่มีเอกสาร blind list,There is no blind list documented yet.
481,Pilot plant complex,-,-,Unsafe Condition,-,ตรวจสอบแล้วไม่มีการแนบเอกสาร WAH,1,ตรวจสอบแล้วไม่มีการแนบเอกสาร wah,"Checked, no documents attached wah"
3301,TFU,Z-1810 (Truck Load),REPCO (ME),Unsafe Condition,Lifting,ไม่ปิดล้อมพื้นที่,13,ไม่ปิดล้อมพื้นที่,not enclosed area
486,HDPE1,-,-,Unsafe Condition,Electrical & Grounding,ผู้ปฏิบัติงานตั้งนั่งร้าน ยืนอยู่บน blower,1,ผู้ปฏิบัติงานตั้งนั่งร้าน ยืนอยู่บน blower,"A worker erects a scaffold, standing on the blower."
705,Blownfilm,-,-,Unsafe Condition,-,พบเอกสาร JSA ไม่มีการลงข้อมูลในส่วนของการตรวจสอบมาตรการหน้างาน,27,พบเอกสาร jsa ไม่มีการลงข้อมูลในส่วนของการตรวจสอบมาตรการหน้างาน,Found a jsa document. There is no data entry in the inspection of measures on site.
561,Bagging Site3,-,-,Unsafe Condition,Process & Operation,พบไม่มีการลงข้อมูลการ Lock LOTO ที่      Work Permit,22,พบไม่มีการลงข้อมูลการ lock loto ที่ work permit,Found that there is no information on the lock loto at the work permit.
458,Catalyst&Pilot plant,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบผู้ปฏิบัติงานทาสี พบไม่สวมใส่ Mask R95 หรือ 6001 ตามที่ JSA กำหนด,3,ตรวจสอบพบผู้ปฏิบัติงานทาสี พบไม่สวมใส่ mask r95 หรือ 6001 ตามที่ jsa กำหนด,Check that the paint worker is found not wearing mask r95 or 6001 as required by jsa.
499,HDPE4,-,-,Unsafe Condition,-,พบว่ายังไม่มีการตัดแยกระบบ ไนโตรเจน ออกจากLine ที่ connect กับ Blower แต่มีการตัดแยกระบบพลังงานไฟฟ้าแบบ simple lock ที่Substation เรียบร้อยแล้ว,1,พบว่ายังไม่มีการตัดแยกระบบ ไนโตรเจน ออกจากline ที่ connect กับ blower แต่มีการตัดแยกระบบพลังงานไฟฟ้าแบบ simple lock ที่substation เรียบร้อยแล้ว,"It was found that the nitrogen system was not disconnected from the line connected to the blower, but the simple lock electrical power system was disconnected at the substation. finished"
500,HDPE4,-,-,Unsafe Condition,-,พบว่าสีของ Tag out เป็นสีแดง ซึ่งไม่ถูกต้องตามมาตรฐาน SE-O-0010_Rev. 016_การแขวนกุญแจและป้ายเตือนความปลอดภัย การตัดแยกแหล่งพลังงานอันตราย (Lock out Tag out),1,พบว่าสีของ tag out เป็นสีแดง ซึ่งไม่ถูกต้องตามมาตรฐาน se-o-0010_rev. 016_การแขวนกุญแจและป้ายเตือนความปลอดภัย การตัดแยกแหล่งพลังงานอันตราย lock out tag out,"Found that the color of the tag out is red, which is not correct according to the standard. se-o-0010_rev. 016_Hanging keys and safety warning signs Isolating hazardous energy sources lock out tag out"
3040,HOT,H-100B,RNC,Unsafe Condition,Hot Work,มีเศษวัสดุติดไฟอยู่ใกล้เคียงจุดปฏิบัติงาน,14,มีเศษวัสดุติดไฟอยู่ใกล้เคียงจุดปฏิบัติงาน,There is flammable material near the work site.
140,PP3,-,-,Unsafe Condition,-, Permit Requestor ไม่ได้ระบุCertificate WAH ในwork permit ซึ่งลักษณะงานเป็นการทำงานบนที่สูง แต่ได้แนบเอกสารWAHไว้ที่ work permitแล้ว ,46,permit requestor ไม่ได้ระบุcertificate wah ในwork permit ซึ่งลักษณะงานเป็นการทำงานบนที่สูง แต่ได้แนบเอกสารwahไว้ที่ work permitแล้ว,"The permit requestor does not specify the certificate wah in the work permit, which is the nature of work at height. But the wah document has been attached to the work permit."
556,PP1,-,-,Unsafe Condition,-,ตรวจสอบพบ JSA ข้อ 5.1 ขาดการประเมิน,51,ตรวจสอบพบ jsa ข้อ 5.1 ขาดการประเมิน,Check found jsa clause 5.1 is missing evaluation.
1102,HOT,I2R4,SR,Unsafe Condition,Electrical & Grounding,ใช้ไม้รองถาดรองน้ำมัน Generator,10,ใช้ไม้รองถาดรองน้ำมัน generator,Use a wooden tray to catch the generator oil.
278,Ware house Site7,-,-,Unsafe Condition,-,พบ มีการลงชื่อใน JSA  ไม่ครบถ้วน,7,พบ มีการลงชื่อใน jsa ไม่ครบถ้วน,found not fully signed in jsa
118,PP1,-,-,Unsafe Condition,SL Performance,ไม่ควมคุมพื้นที่ให้อยู่ในสภาพทีปลอดภัย ยังมีวัสดุติดไฟอยู่ในพื้นที่,1,ไม่ควมคุมพื้นที่ให้อยู่ในสภาพทีปลอดภัย ยังมีวัสดุติดไฟอยู่ในพื้นที่,Not controlling the area to be in a safe condition There are still flammable materials in the area.
517,PP1,-,-,Unsafe Condition,PPE,"พบเอกสาร SWC WAH ทาง SAFETY LEAD , PERMIT REQUESTOR ลงชื่อรับรองก่อนรวจสอบมาตรการ WAH",2,"พบเอกสาร swc wah ทาง safety lead , permit requestor ลงชื่อรับรองก่อนรวจสอบมาตรการ wah","Found document swc wah via safety lead, permit requestor sign and certify before inspecting wah measures"
916,Olefins2,-,CAPK,Unsafe Condition,Hot Work,ล้อมล้อมผ้ากันไฟไม่มิดชิด,42,ล้อมล้อมผ้ากันไฟไม่มิดชิด,surrounded by fireproof fabric
544,HDPE4,-,-,Unsafe Condition,Lifting,ไม่ได้ลงเลข LOTO ที่หน้า work permit,37,ไม่ได้ลงเลข loto ที่หน้า work permit,did not enter the loto number on the work permit page
525,PP3,-,-,Unsafe Condition,-,มีการใช้เครื่องสกัดปูน แบบไฟฟ้า แต่ไม่ได้ระบุที่ work permit,1,มีการใช้เครื่องสกัดปูน แบบไฟฟ้า แต่ไม่ได้ระบุที่ work permit,"Electric masonry is used, but not specified on the work permit."
554,PP2,-,-,Unsafe Condition,-,"ตรวจสอบ Lifting By HIAB 8 Ton พบเอกสาร Safe Work Certificate แนบไม่ Update 
- เดิม SE-F-0213 Rev.002
- ใหม่ SE-F-0213 Rev.004",24,"ตรวจสอบ lifting by hiab 8 ton พบเอกสาร safe work certificate แนบไม่ update 
- เดิม se-f-0213 rev.002
- ใหม่ se-f-0213 rev.004","check lifting by hiab 8 ton found safe work certificate attached not update
- original se-f-0213 rev.002
- new se-f-0213 rev.004"
1236,Olefins2,M-S520,TTCL,Unsafe Condition,Housekeeping,"กองนั่งร้านไม่มี Barricade กั้นและไม่มีป้ายบ่งชี้สถานะ
",49,"กองนั่งร้านไม่มี barricade กั้นและไม่มีป้ายบ่งชี้สถานะ
",Scaffolding has no barricade barriers and no status signs.
530,HDPE3,-,-,-,-,ประเมินไม่ครบ,1,ประเมินไม่ครบ,not fully assessed
532,HDPE3,-,-,Unsafe Condition,PPE,ไม่มีผู้ควบคุมไฟฟ้าที่หน้างาน,1,ไม่มีผู้ควบคุมไฟฟ้าที่หน้างาน,There is no electric operator on site.
540,HDPE2,-,-,Unsafe Condition,Water jet,ไม่มีการสวมใส่อุปกรณ์,1,ไม่มีการสวมใส่อุปกรณ์,no equipment wear
545,HDPE4,-,-,Unsafe Condition,Pressure test,วิศวกร ME ยังไม่ได้เซ็นรับรอง ,1,วิศวกร me ยังไม่ได้เซ็นรับรอง,The me engineer has not yet signed the certification.
418,HDPE2,-,-,Unsafe Condition,-,ไม่มีเอกสาร Working at Height แนบมาใน Work permit,23,ไม่มีเอกสาร working at height แนบมาใน work permit,There is no working at height document attached to the work permit.
45,CPD Pipe Site3,-,-,Unsafe Condition,Tools & Equipment, พบไม่มีการตรวจสอบหน้างาน ในเอกสาร JSA,23,พบไม่มีการตรวจสอบหน้างาน ในเอกสาร jsa,Found no page validation in jsa docs.
549,Store Site7,-,-,Unsafe Condition,Civil,มีการทำงานบดอัดดินด้วยเครื่องตบดิน แต่ไม่ได้ระบุลักษณะงาน และเครื่องมือที่ใช้ บนwork permit,1,มีการทำงานบดอัดดินด้วยเครื่องตบดิน แต่ไม่ได้ระบุลักษณะงาน และเครื่องมือที่ใช้ บนwork permit,There is work to compact the soil with a soil compaction machine. but did not specify the nature of the work and tools used on the work permit
266,LDPE,-,-,Unsafe Condition,-,ยังไม่มีผู้อนุมัติใน work permit,11,ยังไม่มีผู้อนุมัติใน work permit,There is no authorization on the work permit yet.
803,HDPE2,-,-,Unsafe Condition,PPE,ตรวจสอบเอกสารมีการ มีการกำหนด Lock Box แต่ไม่มีลงข้อมูล,5,ตรวจสอบเอกสารมีการ มีการกำหนด lock box แต่ไม่มีลงข้อมูล,"Verify that the document has a lock box set, but no data is entered."
