No.,Details,Area,SubArea,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
156,พบฝารางระบายน้ำถูกเปิดไว้เนื่องจากมีการปล่อยน้ำทิ้งเสร็จแล้วไม่ได้ทำการปิด,Olefins2,Diversion Box,STATE,Unsafe Condition,Others,พบฝารางระบายน้ำถูกเปิดไว้เนื่องจากมีการปล่อยน้ำทิ้งเสร็จแล้วไม่ได้ทำการปิด,The manhole cover was found to be opened because the water was discharged and was not closed.
157,รถเฮี๊ยบของเข้ามาขนอุปกรณ์นั่งร้าน แต่ไม่ได้กั้น Barricade,Olefins2,-,ATI-LT,Unsafe Condition,Transportation,รถเฮี๊ยบของเข้ามาขนอุปกรณ์นั่งร้าน แต่ไม่ได้กั้น barricade,A pickup truck arrives to unload the scaffolding equipment. but does not block the barrier
158,พบมีงานรื้อนั่งร้านแต่ล้อม Barricade ไม่ครอบคลุม,Olefins2,PR-14,ATI-LT,Unsafe Condition,Scaffolding,พบมีงานรื้อนั่งร้านแต่ล้อม barricade ไม่ครอบคลุม,"Found that there was work to demolish the scaffolding, but the barricade was not covered."
159,ตรวจพบบริเวณ Access door เข้า fire box มีการเปิด Blower ทิ้งไว้โดยที่ไม่มีการปฏิบัติงาน CSE (ไม่มีคนเฝ้า),HOT,H-100C,RNC,Unsafe Action,CSE,ตรวจพบบริเวณ access door เข้า fire box มีการเปิด blower ทิ้งไว้โดยที่ไม่มีการปฏิบัติงาน cse (ไม่มีคนเฝ้า),"Detected access door, fire box, blower left open without cse operation (unguarded)."
160,พบช่างสี TTCL ทำงานคนเดียวไม่มีคนจับขาบันไดเอ,Olefins2,-,TTCL,Unsafe Action,Work at height,พบช่างสี ttcl ทำงานคนเดียวไม่มีคนจับขาบันไดเอ,"Found a painter ttcl working alone, no one to hold the legs of the stairs A"
161,พบผู้ปฏิบัติงานทำงานหุ้ม Insulation ไม่ใส่แว่นตา,Olefins2,PR-12,TNE,Unsafe Action,PPE,พบผู้ปฏิบัติงานทำงานหุ้ม insulation ไม่ใส่แว่นตา,Workers were found working with insulation without glasses.
162,พบกองนั่งร้านอยู่ข้างขวางทางเดิน,Olefins2,T-S220,ATI-LT,Unsafe Condition,Housekeeping,พบกองนั่งร้านอยู่ข้างขวางทางเดิน,Found a pile of scaffolding blocking the walkway.
163,งานเชื่อม handrail เป็นงานทับซ้อนอยู่ในวิถี line of fire,Olefins2,-,TTCL,Unsafe Condition,Hot Work,"งานเชื่อม h, rail เป็นงานทับซ้อนอยู่ในวิถี line of fire","Welding h, rail is overlapping work in line of fire trajectory."
164,งานติดตั้ง Insulation ยืนบนจุดเสี่ยงนอกนั่งร้าน,Olefins2,E-S425,TNE,Unsafe Action,Work at height,งานติดตั้ง insulation ยืนบนจุดเสี่ยงนอกนั่งร้าน,Insulation installation work stands on the risk point outside the scaffolding.
165,งานเชือม Platform แนะนำให้เอาถังดับเพลิงขึ้นไปด้านบน เผื่อเกิดเหตุฉุกเฉิน ,Olefins2,T-S540,TTCL,Unsafe Condition,Hot Work,งานเชือม platform แนะนำให้เอาถังดับเพลิงขึ้นไปด้านบน เผื่อเกิดเหตุฉุกเฉิน,Platform welding is recommended to bring fire extinguishers to the top. in case of emergency
166,พบถุง Big bag ค้างบน Pipe Rack,Olefins2,PR-24,TNE,Unsafe Condition,Housekeeping,พบถุง big bag ค้างบน pipe rack,Found a big bag stuck on the pipe rack.
167,พบงานหุ้ม Insulation แต่ใยแก้วไม่มีถุงหุ้ม,Olefins2,PR-22,TNE,Unsafe Action,Insulation,พบงานหุ้ม insulation แต่ใยแก้วไม่มีถุงหุ้ม,"The insulation was found, but the fiberglass was not covered."
168,Materail ค้างอยู่บน Pipe Rack,Olefins2,"PR-B1 
(C4)",TTCL,Unsafe Condition,Housekeeping,materail ค้างอยู่บน pipe rack,materail stuck on pipe rack
169,อุปกรณ์นั่งร้านกองไว้บน Structure,Olefins2,"PR-B1 
(C3)",TTCL,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านกองไว้บน structure,Scaffolding devices are piled on the structure.
170,Materail ค้างอยู่บน Structure,Olefins2,"PR-22
(C1)",TTCL,Unsafe Condition,Housekeeping,materail ค้างอยู่บน structure,materail stuck on structure
171,"งานรื้อนั่งร้านและขนย้ายอุปกรณฺ์
*ในหน่วยงานซ่อมยังใช้ Workpermit เก่าอยู่และก็ได้แนะนำไปแล้ว",HOT,H-100C,ATI-LT,Unsafe Action,PTW & JSA,"งานรื้อนั่งร้าน, ขนย้ายอุปกรณฺ์, *ในหน่วยงานซ่อมยังใช้ workpermit เก่าอยู่, ก็ได้แนะนำไปแล้ว","Dismantling of scaffolding, moving equipment, *The old workpermit is still being used in the repair office, already recommended."
172,ทาง MER feed back มา  ใช้เฮี๊ยบ ผิดวิธี,UT,PR-7C,SIS,Unsafe Action,Lifting,ทาง mer feed back มา ใช้เฮี๊ยบ ผิดวิธี,The mer feed back came to use the skip the wrong way.
173,"รถกะบะทำแผ่นเหล็ก Beam ตกบนถนน 
ไม่มีผู้ได้รับบาดเจ็บและไม่มีอุปกรณ์เสียหาย",HOT,NS-3,CR Asia,Near Miss,Transportation,"รถกะบะทำแผ่นเหล็ก beam ตกบนถนน , ไม่มีผู้ได้รับบาดเจ็บ, ไม่มีอุปกรณ์เสียหาย","The pickup truck made a steel beam crash on the road, no injuries, no equipment damaged."
174,"ไม่ระบุมาตรการตรวจสอบหน้างาน lead,ผู้ขออนุญาต,เจ้าของพื้นที่ ทำให้เกิดการสับสนในการลงตรวจสอบหน้างาน ",Olefins2,-,TTCL,Unsafe Action,PTW & JSA,"ไม่ระบุมาตรการตรวจสอบหน้างาน lead , ผู้ขออนุญาต , เจ้าของพื้นที่ ทำให้เกิดการสับสนในการลงตรวจสอบหน้างาน","Does not specify measures to inspect the work site lead , requester , area owner causing confusion in checking the job site"
175,"ไม่กำหนดช่วงเวลาในการเช็คแก๊ส,ออกซิเจน",Olefins2,-,TTCL,Unsafe Action,Hot Work,"ไม่กำหนดช่วงเวลาในการเช็คแก๊ส , ออกซิเจน","No time limit for gas, oxygen check"
176,ไม่ระบุมาตรการปิดล้อมพื้นที่ในการทำงานบนที่สูง,Olefins2,-,TTCL,Unsafe Action,PTW & JSA,ไม่ระบุมาตรการปิดล้อมพื้นที่ในการทำงานบนที่สูง,No measures to enclose working areas at heights
177,เอกสารแนบ(JSA) ใช้งาน 2 แบบฟอร์ม,Olefins2,-,TTCL,Unsafe Action,PTW & JSA,เอกสารแนบ(jsa) ใช้งาน 2 แบบฟอร์ม,Attachment(jsa) uses 2 forms
178,ช่อง Permit Approver ไม่ถูกเซ็นต์กำกับจากCCB,Olefins2,-,TTCL,Unsafe Action,Work Procedure,"ช่อง permit approver ไม่ถูกเซ็นต์กำ, จากccb","The permit approver slot is not signed, from ccb."
179,ประตูรั้วระหว่าง Sub SC กับ ถนน NS3 ล้ม,Olefins2,Sub Station,TTCL,Near Miss,Others,"ประตูรั้วระหว่าง sub sc , ถนน ns3 ล้ม","The gate between the sub sc , ns3 road fell."
180,งานหุ้ม Insulation เขียนอุปกรณ์ที่จะทำเพิ่มที่หน้างาน,HOT,Compressor,WTM,Unsafe Action,Insulation,งานหุ้ม insulation เขียนอุปกรณ์ที่จะทำเพิ่มที่หน้างาน,Insulation cladding work. Write equipment to be added at the job site.
181,มีถังอากอนไม่มีการใช้งานและไม่มีฝาครอบ,HOT,I2R1,TTCL,Unsafe Condition,Hot Work,"มีถังอากอนไม่มีการใช้งาน, ไม่มีฝาครอบ","There is an unused argon tank, no cover."
182,มีขยะที่ยังตกค้างจากการทำ Big cleening,UT,Boiler C,REPCO,Unsafe Condition,Housekeeping,มีขยะที่ยังตกค้างจากการทำ big cleening,There is still residual waste from the big cleening.
183,"ขณะทำการรื้อแผ่น Insulation ได้วางสว่านแบตเตอรี่ไว้บนแผ่นนั่งร้าน จังหวะที่เคลื่อนย้ายแผ่น Insulation แผ่นนั่งร้านได้เกี่ยวสว่านแบตเตอรี่ตกลงมาด้านล่างความสูงประมาณ 20 เมตร 
",HOT,"H-100H
(4th Floor)",KAEFER,Near Miss,Work at height,"ขณะทำการรื้อแผ่น insulation ได้วางสว่านแบตเตอรี่ไว้บนแผ่นนั่งร้าน จังหวะที่เคลื่อนย้ายแผ่น insulation แผ่นนั่งร้านได้เกี่ยวสว่านแบตเตอรี่ตกลงมาด้านล่างความสูงประมาณ 20 เมตร,","While dismantling the insulation sheet, a battery drill was placed on the scaffold. The moment when moving the insulation sheet, the scaffolding sheet has hooked the battery drill down about 20m below the height,"
184,พบผู้ปฎิบัติงานระหว่างหุ้ม Foam glass ช่วงเปลี่ยนจุดทำงานไม่คล้องเกี่ยว Harness,Olefins2,-,TNE,Unsafe Action,Work at height,พบผู้ปฎิบัติงานระหว่างหุ้ม foam glass ช่วงเปลี่ยนจุดทำงานไม่คล้องเกี่ยว harness,"Found the worker while covering the foam glass during the change of work point, not connected to the harness."
185,พบนั่งร้านกองอยู่กับพื้นจำนวนมาก จากการรื้อของ,Olefins2,-,ATI-LT,Unsafe Condition,Housekeeping,"พบนั่งร้านกองอยู่, พื้นจำนวนมาก จากการรื้อของ","Found a pile of scaffolding, a lot of ground from the demolition of"
186,พบผู้ปฎิบัติงานไม่สวมไส่ Face Shield,Olefins2,-,Ktion Power,Unsafe Action,PPE,พบผู้ปฎิบัติงานไม่สวมไส่ face shield,The worker was found not wearing a face shield.
187,ระบบ Register work ไม่ตรงกับเวลาทำงานหน้างานจริง,HOT,ORU,REPCO,Unsafe Action,PTW & JSA,"ระบบ register work ไม่ตรง, เวลาทำงานหน้างานจริง","The register work system does not match, working time in front of the actual job"
188,การนำ Workpermit แบบกระดาษมาใช้ที่หน้างาน JSA ยังเป็นแบบเก่าซึ่งทาง Safety Field ต้องเซนต์เหมือนเดิม,UT,PR-7B,TTCL,Unsafe Action,PTW & JSA,การนำ workpermit แบบกระดาษมาใช้ที่หน้างาน jsa ยังเป็นแบบเก่าซึ่งทาง safety field ต้องเซนต์เหมือนเดิม,Implementing a paper workpermit at the jsa job site is still the old way that the safety field has to be signed as before.
189,ผู้ปฎิบัติงานหุ้ม Foamglass อยู่นอก handrail แจ้งให้หยุดงานและให้ทำการตั้งนั่งร้าน,Olefins2,-,TTCL,Unsafe Action,Work at height,"ผู้ปฎิบัติงานหุ้ม foamglass อยู่นอก h, rail แจ้งให้หยุดงาน, ให้ทำการตั้งนั่งร้าน","Workers covered with foamglass outside h, rail informs them to stop work, to set up scaffolding."
190,พบนำบันไดนั่งร้านมาใช้งาน,Olefins2,-,TTCL,Unsafe Condition,Work at height,พบนำบันไดนั่งร้านมาใช้งาน,Found used scaffolding ladder
191,ลงชื่อรับทราบใน JSA งานหุ้ม Insulation โดยไม่ได้ทำงานหุ้ม Insulation,HOT,H-120R,WTM,Unsafe Action,PTW & JSA,ลงชื่อรับทราบใน jsa งานหุ้ม insulation โดยไม่ได้ทำงานหุ้ม insulation,Sign acknowledgment in jsa insulation work without insulation work
192,ผู้ขออนุญาตลงชื่อล่วงหน้าใน RTO,HOT,H-120R,WTM,Unsafe Action,Work Procedure,ผู้ขออนุญาตลงชื่อล่วงหน้าใน rto,Pre-signed permission requester in rto
193,ผู้ปฏิบัติงานไม่ทราบรายละเอียดงานติดตั้งนั่งร้าน,HOT,H-120R,RNC,Unsafe Action,Scaffolding,ผู้ปฏิบัติงานไม่ทราบรายละเอียดงานติดตั้งนั่งร้าน,The operator does not know the details of the installation of scaffolding.
194,ไม่มี PTW ในการทำงาน (เก็บงาน),HOT,��ҹ˹�� Compressor,WTM,Unsafe Action,PTW & JSA,ไม่มี ptw ในการทำงาน (เก็บงาน),no ptw to run (keep job)
195,มีการแก้ไขประเภทของ PTW,HOT,��ҹ˹�� Compressor,MXM,Unsafe Action,PTW & JSA,มีการแก้ไขประเภทของ ptw,The type of ptw has been modified.
196,ไม่ได้ตรวจสอบหน้างานใน WAH Certificate checklist ก่อนเริ่มงาน,HOT,��ҹ˹�� Compressor,MXM,Unsafe Action,Work at height,ไม่ได้ตรวจสอบหน้างานใน wah certificate checklist ก่อนเริ่มงาน,The job page in the wah certificate checklist was not checked before starting the job.
197,ใช้รอกคล้องเกี่ยวกับจุดที่ไม่มั่นคง และใช้ลวดคล้องเกี่ยวหู spacer แทนอุปกรณ์ที่เป็นมาตรฐาน,HOT,H-100C,RNC,Unsafe Action,Lifting,"ใช้รอกคล้องเกี่ยว, จุดที่ไม่มั่นคง , ใช้ลวดคล้องเกี่ยวหู spacer แทนอุปกรณ์ที่เป็นมาตรฐาน","Use pulleys, unstable points, use spacer ear loops instead of standard equipment."
198,"ปฎิบัติงาน Insulation โดย
1.ไม่ได้ขออนุญาตจากเจ้าของพื้นที่เเละไม่มี work permit 
2.หัวหน้างานขาดการสื่อสารกับเจ้าของงาน",HOT,I2R,WTM,Unsafe Action,Insulation,"ปฎิบัติงาน insulation โดย, 1.ไม่ได้ขออนุญาตจากเจ้าของพื้นที่เเละไม่มี work permit , 2.หัวหน้างานขาดการสื่อสาร, เจ้าของงาน","Conduct insulation work by, 1. Not asking permission from the owner of the area and no work permit , 2. The supervisor lacks communication, the owner"
199,"ช่างทาสียืนบนท่อหุ้ม Foam glass
",Olefins2,D-S672,TTCL,Unsafe Action,Paint/ Coat/ Blast,"ช่างทาสียืนบนท่อหุ้ม foam glass,","Painter standing on foam glass covered pipe,"
200,"หินเจียรไม่มี Handle (พบก่อนนำมาใช้งาน)
",Olefins2,R1,TTCL,Unsafe Action,Hot Work,"หินเจียรไม่มี h, le (พบก่อนนำมาใช้งาน),","Grinding stone without h, le (found before use),"
201,"ยืนทำงานบน Handrail โดยไม่มีจุดคล้องเกี่ยว Safety Harness
",Olefins2,H-S120A,TTCL,Unsafe Action,Work at height,"ยืนทำงานบน h, rail โดยไม่มีจุดคล้องเกี่ยว safety harness,","stand working on h, rail without attachment point safety harness,"
202,พบผู้ปฎิบัติงาน ยืนทำงานบน Handrail โดนที่ไม่มีจุดคล้องเกี่ยวหรือจุดยืนที่มั่นคง,Olefins2,T-S420,TTCL,Unsafe Action,Work at height,"พบผู้ปฎิบัติงาน ยืนทำงานบน h, rail โดนที่ไม่มีจุดคล้องเกี่ยวหรือจุดยืนที่มั่นคง","Found a worker standing working on an h, rail that has no attachment point or stable stand."
203,มีการทำงาน Hot work class l บน Pipe rack 7 B ซึ่งบริเวณนั้นมีหญ้าแห้ง อยู่จึงกลัวว่าจะเกิดไฟไหม้ได้,UT,PR-7B,TTCL,Unsafe Condition,Hot Work,มีการทำงาน hot work class l บน pipe rack 7 b ซึ่งบริเวณนั้นมีหญ้าแห้ง อยู่จึงกลัวว่าจะเกิดไฟไหม้ได้,There is a hot work class l on pipe rack 7 b where there is hay. is therefore afraid that there will be a fire
204,งานรื้อถอนนั่งร้าน นำรถเข็นเข้ามาเพื่อขนย้ายอุปกรณ์นั่งร้านออก แล้วรถเข็น slide ไปเหยียบฝารางระบายน้ำแตก 2 แผ่น ,UT,Boiler C,DSP,Near Miss,Scaffolding,"งานรื้อถอนนั่งร้าน นำรถเข็นเข้ามา, ขนย้ายอุปกรณ์นั่งร้านออก แล้วรถเข็น slide ไปเหยียบฝารางระบายน้ำแตก 2 แผ่น","scaffold demolition Bring the cart in, remove the scaffolding equipment, and then slide the cart to step on the 2 broken drain covers."
205,"หน้าจอเครื่องวัดแก๊สประจำตัว Fire Watch ไม่แสดง
",Olefins2,-,RNC,Unsafe Condition,Tools & Equipment,"หน้าจอเครื่องวัดแก๊สประจำตัว fire watch ไม่แสดง,","The fire watch identification gas meter screen does not show,"
206,"Generator ไม่มี Extinguisher stand by
",Olefins2,-,TTCL,Unsafe Condition,Hot Work,"generator ไม่มี extinguisher st, by,","generator without extinguisher st, by,"
207,"ใช้ประแจประกอบ Hose station โดยไม่ได้ผูกเชือก
",Olefins2,Compressor,TTCL,Unsafe Action,Installation/ Alignment,"ใช้ประแจประกอบ hose station โดยไม่ได้ผูกเชือก,","Use a wrench to assemble the hose station without tying the rope,"
208,"ไม่จัดเก็บอุปกรณ์นั่งร้าน
",Olefins2,Cold Box,TTCL,Unsafe Condition,Housekeeping,"ไม่จัดเก็บอุปกรณ์นั่งร้าน,","not store scaffolding equipment,"
209,"อุปกรณ์นั่งร้านกีดขวางอุปกรณ์ดับเพลิง
",Olefins2,E-S250,ATI-LT,Unsafe Condition,Housekeeping,"อุปกรณ์นั่งร้านกีดขวางอุปกรณ์ดับเพลิง,","scaffolding barrier equipment, fire fighting equipment"
210,ใช้งานเครื่อง  Generator โดยไม่ทำการตรวจสอบสภาพเครื่องประจำวัน,OCU,-,UTOC,Unsafe Action,Tools & Equipment,ใช้งานเครื่อง generator โดยไม่ทำการตรวจสอบสภาพเครื่องประจำวัน,Operate the generator without performing daily maintenance checks.
211,นำประเเจเเละอุปกรณ์ต่างๆขึ้นไปทำงานบนที่สูงหรือพื้นที่นั่งร้าน เเล้วไม่มีภาชนะรองรับหรือ Protection,OCU,-,UTOC,Unsafe Action,Work at height,นำประเเจเเละอุปกรณ์ต่างๆขึ้นไปทำงานบนที่สูงหรือพื้นที่นั่งร้าน เเล้วไม่มีภาชนะรองรับหรือ protection,Bring the wrenches and equipment up to work at heights or scaffolding areas. And there is no support or protection container.
212,"ทำงานหุ้ม Insulation โดยไม่สวมใส่ถุงมือ
",Olefins2,PR-22,TNE,Unsafe Action,Insulation,"ทำงานหุ้ม insulation โดยไม่สวมใส่ถุงมือ,","work insulation cover without wearing gloves,"
213,"เจียร Support pipe โดยไม่มี Handle
",Olefins2,-,TTCL,Unsafe Action,Hot Work,"เจียร support pipe โดยไม่มี h, le,","Grinding support pipe without h, le,"
214,นั่งร้านไม่มีการตรวจสอบก่อนนำมาใช้งาน,Olefins2,PR-11,TTCL,Unsafe Condition,Work Procedure,นั่งร้านไม่มีการตรวจสอบก่อนนำมาใช้งาน,Scaffolding is not inspected before being used.
215,ไม่ได้จัดเก็บแผงตาข่ายสีส้ม หลังการปฏิบัติงาน,Olefins2,"PR-12, PR-24",TTCL,Unsafe Condition,Pressure test,ไม่ได้จัดเก็บแผงตาข่ายสีส้ม หลังการปฏิบัติงาน,The orange mesh panel is not stored. after work
216,แสงสว่างไม่เพียงพอ,Olefins2,H-S120A,WTM,Unsafe Condition,Environmental,แสงสว่างไม่เพียงพอ,insufficient lighting
217,ผู้ปฏิบัติงานสวมใส่แว่นตาดำขณะรื้อนั่งร้านเวลากลางคืน,Olefins2,H-S120A,WTM,Unsafe Action,PPE,ผู้ปฏิบัติงานสวมใส่แว่นตาดำขณะรื้อนั่งร้านเวลากลางคืน,A worker wears dark glasses while dismantling the scaffolding at night.
218,พบเครื่อง Generater ยังไม่ผ่านการ Inspection,Olefins2,-,TTCL,Unsafe Condition,Work Procedure,พบเครื่อง generater ยังไม่ผ่านการ inspection,Found the generator has not been inspected.
219,ตรวจพบงานเชื่อมใช้อุปกรณ์จับยึดสายกราวด์ผิดประเภท,OCU,-,UTOC,Unsafe Condition,Electrical & Grounding,ตรวจพบงานเชื่อมใช้อุปกรณ์จับยึดสายกราวด์ผิดประเภท,A welding job was detected using the wrong type of ground clamp.
220,"งาน Hot work class I ตรวจพบการ ใช้หินเจียร์4"" พบว่าผู้ปฎิบัติงาน ใช้หินเจียรโดยไม่มีด้ามจับหรือ handle ",OCU,-,UTOC,Unsafe Action,Hot Work,"งาน hot work class i ตรวจพบการ ใช้หินเจียร์4"" พบว่าผู้ปฎิบัติงาน ใช้หินเจียรโดยไม่มีด้ามจับหรือ h, le","hot work class i detects the use of a 4"" grinding wheel, found that the operator Use a grinding wheel without a handle or h, le."
221,"ตรวจพบถังลม,ถังอาร์กอน,ไม่มี ฟ็อกกี้ ประจำหยุดเพื่อทำการ checklist จุด Connect ของถังลม,ถังอาร์กอนก่อนใช้งาน",OCU,-,UTOC,Unsafe Condition,Tools & Equipment,"ตรวจพบถังลม , ถังอาร์กอน , ไม่มี ฟ็อกกี้ ประจำหยุด, ทำการ checklist จุด connect ของถังลม , ถังอาร์กอนก่อนใช้งาน","Detected air tanks, argon tanks, no fokkies regularly stop, checklist of connect points of air tanks, argon tanks before use."
222,มีงานตัดต้นไม้ของหน่วยงาน GA ซึ่งใน work permit ไม่ได้ระบุขั้นตอนการทำงานเเละทำการวิเคราะห์ความเสี่ยงก่อนเริ่มงาน ทำให้ผู้ปฎิบัติงานตัดต้นไม้ล้มทับเเนวรั้วของพื้นที่ downsteam เเละ Line ท่อของ PR-7B,UT,PR-7B,KMS,Near Miss,Work Procedure,มีงานตัดต้นไม้ของหน่วยงาน ga ซึ่งใน work permit ไม่ได้ระบุขั้นตอนการทำงานเเละทำการวิเคราะห์ความเสี่ยงก่อนเริ่มงาน ทำให้ผู้ปฎิบัติงานตัดต้นไม้ล้มทับเเนวรั้วของพื้นที่ downsteam เเละ line ท่อของ pr-7b,"There is a tree-cutting job of the GA agency, in which the work permit does not specify the workflow and does a risk analysis before starting the work. causing operators to cut down trees on the fence line of the downsteam area and the pr-7b pipe line"
223,พบทีมงานทาสียืนบนท่อ,Olefins2,-,TTCL,Unsafe Action,Work Procedure,พบทีมงานทาสียืนบนท่อ,Found a paint team standing on a pipe.
224,"Materials นั่งร้าน, Insulation กองรวมกัน ไม่ได้จัดเก็บออกจากพื้นที่
",COLD,T-540,WTM,Unsafe Condition,Housekeeping,"materials นั่งร้าน , insulation กองรวมกัน ไม่ได้จัดเก็บออกจากพื้นที่,","materials scaffolding , insulation piles together do not store away from the area,"
225,ตรวจสอบ Work permit Safety lead reapprove work ล่วงหน้า,HOT,TK-269,SIS,Unsafe Action,SL Performance,ตรวจสอบ work permit safety lead reapprove work ล่วงหน้า,Check work permit safety lead reapprove work in advance
226,ตรวจสอบงาน lube oil cleaning GTG พบ JSA ไม่คลอบคลุมขึ้นตอนการ drain oil ออกนอกระบบ,HOT,GTG,REPCO,Unsafe Action,PTW & JSA,ตรวจสอบงาน lube oil cleaning gtg พบ jsa ไม่คลอบคลุมขึ้นตอนการ drain oil ออกนอกระบบ,"Check lube oil cleaning gtg job, found jsa not covered when draining oil outside the system."
227,ตรวจสอบงาน Stop leak หน้าแปลน line super steam พนักงานไม่ใส่ face shield,HOT,H-100H,MGB,Unsafe Action,Pressure test,ตรวจสอบงาน stop leak หน้าแปลน line super steam พนักงานไม่ใส่ face shield,Check work stop leak flange line super steam Employees don't wear face shield
228,Rigger อยู่ใน Line of fire ขณะที่มีการ Swing boom รถเฮี้ยบ,TFU,TK-1010,MYC,Unsafe Action,Lifting,rigger อยู่ใน line of fire ขณะที่มีการ swing boom รถเฮี้ยบ,The rigger is in the line of fire while there is a swing boom.
229,งานยกไม่ได้มีการปิดล้อมพื้นที่,TFU,TK-1010,MYC,Unsafe Condition,Lifting,งานยกไม่ได้มีการปิดล้อมพื้นที่,Lifting work does not enclose the area.
230,ทำการตรวจสอบการเตรียมงานพบว่ามีผ้าใบสลิงชำรุด 1เส้น,TFU,TK-1010,MYC,Unsafe Action,Lifting,ทำการตรวจสอบการเตรียมงานพบว่ามีผ้าใบสลิงชำรุด 1เส้น,"Checking the preparatory work, found that 1 line of the canvas sling is damaged."
231,พบ W/P OCU-CH-001 ไม่มีการตรวจเช็คค่าแก็สตามข้อกำหนด,OCU,-,UTOC,Unsafe Action,Hot Work,"พบ w, p ocu-ch-001 ไม่มีการตรวจเช็คค่าแก็สตามข้อกำหนด","Found w, p ocu-ch-001 no gas check according to requirements."
232,"งาน HW I
ใช้ JSA ของงาน TA",OCU,-,UTOC,Unsafe Action,PTW & JSA,"งาน hw i, ใช้ jsa ของงาน ta","hw i job, use jsa of ta job"
233,แนบ HW I Cert. Checklist Version เก่า,OCU,-,UTOC,Unsafe Action,PTW & JSA,แนบ hw i cert. checklist version เก่า,Attach hw i cert. checklist old version
234,พบทีมงาน Megabolt ประแจตีและปากตายไม่ได้ผูกเชือกสำหรับคล้องมือ ให้ทำการหาเชือกมาผูกเรียบร้อย,Olefins2,-,MGB,Unsafe Action,Installation/ Alignment,"พบทีมงาน megabolt ประแจตี, ปากตายไม่ได้ผูกเชือกสำหรับคล้องมือ ให้ทำการหาเชือกมาผูกเรียบร้อย","Meet the team megabolt hit the wrench, the mouth is not tied to the hand rope. To find a rope to tie it up."
235,พบผู้ปฏิบัติงานขนสาย hose ไม่สวมถุงมือขณะทำงาน,Olefins2,-,TTCL,Unsafe Action,PPE,พบผู้ปฏิบัติงานขนสาย hose ไม่สวมถุงมือขณะทำงาน,The hose operator was found not wearing gloves while working.
236,พบเศษใยแก้วกองตามพื้น,Olefins2,P-S671,TNE,Unsafe Condition,Insulation,พบเศษใยแก้วกองตามพื้น,Found shards of glass wool piled up on the floor.
237,มีไอ steam  blow ออกสู่บรรยากาศ และ drain condensate ลงรางระบายน้ำ จึงได้ทำการล้อมด้วยธงขาวแดงชั่วคราว,Olefins2,D-S2001,MOC (OPE),Unsafe Condition,Pressure test,"มีไอ steam blow ออกสู่บรรยากาศ , drain condensate ลงรางระบายน้ำ จึงได้ทำการล้อมด้วยธงขาวแดงชั่วคราว","There is a steam blow out into the atmosphere, drain condensate down the drain. Therefore, it was temporarily surrounded by red and white flags."
238,จุดที่น้ำมันล้นออกจาก line drain แจ้ง Operation และจัดเก็บคราบน้ำมันเรียบร้อย,Olefins2,Compressor,MOC (OPE),Near Miss,Chemical Work,"จุดที่น้ำมันล้นออกจาก line drain แจ้ง operation , จัดเก็บคราบน้ำมันเรียบร้อย","The point where the oil overflows from the line drain informs operation, has already collected the oil stain."
239,ใช้ Generator โดยไม่ได้ตรวจสอบก่อน (ไม่มี Checklist),HOT,I2R4,SR,Unsafe Action,Electrical & Grounding,ใช้ generator โดยไม่ได้ตรวจสอบก่อน (ไม่มี checklist),Use a generator without checking first (no checklist).
240,ใช้ไม้รองถาดรองน้ำมัน Generator,HOT,I2R4,SR,Unsafe Condition,Electrical & Grounding,ใช้ไม้รองถาดรองน้ำมัน generator,Use a wooden tray to collect oil from the generator.
241,พบผู้ปฏิบัติงานหุ้ม insulation แต่ลืมคล้อง harness,Olefins2,-,TNE,Unsafe Action,Work at height,พบผู้ปฏิบัติงานหุ้ม insulation แต่ลืมคล้อง harness,An insulating worker was found but forgot to attach the harness.
242,ตรวจพบงาน Hot work class I ขณะปฏิบัติงานไม่มี Safety จป. อยู่หน้างาน มีเพียง Safety lead ตัวสำรอง(ตัวจริงที่ sign work ไปห้องน้ำ)เฝ้างาน และ Fire watch ไม่มีเครื่อง Check gas,HOT,D-360,TTCL,Unsafe Action,SL Performance,"ตรวจพบงาน hot work class i ขณะปฏิบัติงานไม่มี safety จป. อยู่หน้างาน มีเพียง safety lead ตัวสำรอง(ตัวจริงที่ sign work ไปห้องน้ำ)เฝ้างาน , fire watch ไม่มีเครื่อง check gas","Detected hot work class i while working, there is no safety bureau in front of the job, only safety lead, backup (the real person who signs work, goes to the bathroom) to watch the work, fire watch, no check gas machine"
243,พบทีมงานหุ้ม insulation ไม่สวมถุงมือขณะปฎิบัติงาน,Olefins2,PR-24,TNE,Unsafe Action,Insulation,พบทีมงานหุ้ม insulation ไม่สวมถุงมือขณะปฎิบัติงาน,Found the insulation team not wearing gloves while working.
244,พบสายกราวน์วางพาดขวางทางเดิน ,Olefins2,PR-24,TTCL,Unsafe Condition,Electrical & Grounding,พบสายกราวน์วางพาดขวางทางเดิน,Found a ground wire laying across the path.
245,พบเครื่องกำเนิดไฟฟ้ายังไม่ผ่านการตรวจสภาพที่หน้างาน,Olefins2,"PR-12, PR-24",TTCL,Unsafe Condition,Work Procedure,พบเครื่องกำเนิดไฟฟ้ายังไม่ผ่านการตรวจสภาพที่หน้างาน,Found a generator that hasn't been inspected at the job site.
