No.,Details,Area,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
902,"เก็บถังดับเพลิงไว้ในตู้ใส่อุปกรณ์ จุดที่เก็บถัง LPG, Argon ( concern ให้นำออกมาวางในจุดที่สามารถนำไปใช้งานได้ กรณีเกิดเหตุฉุกเฉิน)",HOT,RNC,Unsafe Condition,Tools & Equipment,"เก็บถังดับเพลิงไว้ในตู้ใส่อุปกรณ์ จุดที่เก็บถัง lpg , argon ( concern ให้นำออกมาวางในจุดที่สามารถนำไปใช้งานได้ กรณีเกิดเหตุฉุกเฉิน)","Keep the fire extinguisher in the equipment cabinet. Points to store lpg tanks, argon ( concern, put them out in a place that can be used. in case of emergency)"
903,ผ้าใบที่ปูกันฝนชั้นบนจุดที่ปฏิบัติงานเชื่อมมีน้ำขัง,HOT,RNC,Unsafe Condition,Hot Work,ผ้าใบที่ปูกันฝนชั้นบนจุดที่ปฏิบัติงานเชื่อมมีน้ำขัง,The canvas covered with rain on the top of the welding work site is stagnant.
904,Pipe spool ที่รอการเคลื่อนย้าย วางอยู่ใกล้ทางเดิน ซึ่งมีส่วนที่แหลมคม ไม่มีการปิดกั้นเพื่อป้องกันการบาด/ กระแทก,HOT,RNC,Unsafe Condition,Housekeeping,"pipe spool ที่รอการเคลื่อนย้าย วางอยู่ใกล้ทางเดิน ซึ่งมีส่วนที่แหลมคม ไม่มีการปิดกั้น, ป้องกันการบาด, กระแทก","pipe spool waiting to be moved placed near the walkway which has a sharp part No blocking, prevent cut, bump."
905,ยก Pipe spool โดยผูกมัดเชือก Tag line ไม่มั่นคง,HOT,RNC,Unsafe Action,Lifting,ยก pipe spool โดยผูกมัดเชือก tag line ไม่มั่นคง,Lift the pipe spool by tying the tag line unstable.
906,ค้อนทองเหลืองและประแจไม่มีเชือกผูก,HOT,RNC,Unsafe Condition,Work at height,"ค้อนทองเหลือง, ประแจไม่มีเชือกผูก","Brass hammer, wrench without string"
907,ด้ามจับค้อนทองเหลืองเป็นไม้,HOT,RNC,Unsafe Condition,Hot Work,ด้ามจับค้อนทองเหลืองเป็นไม้,The handle of the brass hammer is wooden.
908,งาน Post weld ไม่สามารถทำงานต่อเนื่องได้เนื่องจาก ไฟฟ้า trip ลง Ground,OCU,KYT,Unsafe Condition,Electrical & Grounding,งาน post weld ไม่สามารถทำงานต่อเนื่องได้เนื่องจาก ไฟฟ้า trip ลง ground,The post weld work cannot work continuously because the electricity trips to the ground.
909,"นั่งร้าน Rescue ที่ติดตั้งสำหรับงานทาสี มีสภาพไม่พร้อมใช้งาน (ความกว้างของเสาฐานล่าง, แผ่นนั่งร้านเป็นสนิม, โครงสร้างนั่งร้านโยก/ ไม่แข็งแรง และไม่มีจุดแขวนรอก)",Olefins2,RSC,Unsafe Condition,Scaffolding,"นั่งร้าน rescue ที่ติดตั้งสำหรับงานทาสี มีสภาพไม่พร้อมใช้งาน (ความกว้างของเสาฐานล่าง , แผ่นนั่งร้านเป็นสนิม , โครงสร้างนั่งร้านโยก, ไม่แข็งแรง , ไม่มีจุดแขวนรอก)","Scaffolding rescue installed for painting work Not available (The width of the lower base pole , rusty scaffolding , rocking scaffolding structure , not strong , no hoist hanging point)"
910,ใช้เชือกฟางผูกมัด/ คล้องสายไฟกับ Handrail,HOT,RNC,Unsafe Condition,Electrical & Grounding,"ใช้เชือกฟางผูกมัด, คล้องสายไฟ, h, rail","Bind with straw ropes, attach wires, h, rail."
911,ใช้ Clamp นั่งร้านเคาะตัดลวด,HOT,RNC,Unsafe Action,Scaffolding,ใช้ clamp นั่งร้านเคาะตัดลวด,Use a clamp to tap the scaffolding to cut the wire.
912,เศษ Insulation ไม่ได้จัดเก็บออกจากพื้นที่/ ปิดล้อม Barricade ให้เรียบร้อย,TFU,WTM,Unsafe Condition,Housekeeping,"เศษ insulation ไม่ได้จัดเก็บออกจากพื้นที่, ปิดล้อม barricade ให้เรียบร้อย","Insulation debris not collected from the area, completely enclosed the barricade."
913,ไม่มีเชือกผูกมัดประแจตามมาตรการ,UT,REPCO (MES),Unsafe Action,Work at height,ไม่มีเชือกผูกมัดประแจตามมาตรการ,There is no rope to tie the wrench according to the measure.
914,เศษขยะจากงานซ่อมรอการจัดเก็บออกจากพื้นที่,UT,MOC (OPE),Unsafe Condition,Housekeeping,เศษขยะจากงานซ่อมรอการจัดเก็บออกจากพื้นที่,Debris from repair work waiting to be collected from the area.
915,เศษขยะจากงานซ่อมรอการจัดเก็บออกจากพื้นที่,UT,MOC (OPE),Unsafe Condition,Housekeeping,เศษขยะจากงานซ่อมรอการจัดเก็บออกจากพื้นที่,Debris from repair work waiting to be collected from the area.
916,Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect,Olefins2,RSC,Unsafe Condition,Scaffolding,tag นั่งร้านหมดอายุ ยังไม่ได้ re-inspect,"Scaffolding tag expired, haven't re-inspect."
917,Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect,Olefins2,LT,Unsafe Condition,Scaffolding,tag นั่งร้านหมดอายุ ยังไม่ได้ re-inspect,"Scaffolding tag expired, haven't re-inspect."
918,เชือกดึงประคองนั่งร้านผูกมัดต่อกันเป็นปม,HOT,RNC,Unsafe Condition,Lifting,เชือกดึงประคองนั่งร้านผูกมัดต่อกันเป็นปม,The ropes to support the scaffolding are tied together in a knot.
919,กระเช้าใส่ Clamp นั่งร้านที่จะใช้เครนยกขึ้นไปวางที่ชั้น 7 ไม่มีเอกสารคำนวณและไม่มีป้ายแสดงน้ำหนักที่รับได้ (SWL),HOT,RNC,Unsafe Condition,Lifting,"กระเช้าใส่ clamp นั่งร้านที่จะใช้เครนยกขึ้นไปวางที่ชั้น 7 ไม่มีเอกสารคำนวณ, ไม่มีป้ายแสดงน้ำหนักที่รับได้ (swl)","Baskets with clamp scaffolding that will be used by crane to lift up to the 7th floor. No calculation documents, no labels showing the load weight (swl)."
920,SL ตรวจสอบมาตรการก่อนเริ่มงานไม่ครบถ้วน,HOT,WTM,Unsafe Action,Insulation,sl ตรวจสอบมาตรการก่อนเริ่มงานไม่ครบถ้วน,sl Incomplete inspection of measures before starting work
921,กองอุปกรณ์นั่งร้านบน Grating ไม่มี Plate รองสำหรับกระจายน้ำหนัก,HOT,RNC,Unsafe Condition,Scaffolding,กองอุปกรณ์นั่งร้านบน grating ไม่มี plate รองสำหรับกระจายน้ำหนัก,The scaffolding pile on the grating has no support plates to distribute the weight.
922,งาน Load Chemical ไม่มีป้ายเตือนอันตราย,HOT,NALCO,Unsafe Condition,Chemical Work,งาน load chemical ไม่มีป้ายเตือนอันตราย,load chemical work no danger warning label
923,ทำงานตัดเชื่อมเจียรประกอบติดตั้ง Support ด้านบน Pipe Rack ไม่ได้ปิดล้อมพื้นที่ด้านล่าง,UT,Clear Engineering,Unsafe Condition,Hot Work,ทำงานตัดเชื่อมเจียรประกอบติดตั้ง support ด้านบน pipe rack ไม่ได้ปิดล้อมพื้นที่ด้านล่าง,"Working, cutting, welding, grinding, assembly, installation of support above, pipe rack does not enclose the bottom area."
924,ขนย้ายอุปกรณ์โดยไม่สวมใส่ถุงมือ,OCU,REPCO (ME),Unsafe Action,PPE,ขนย้ายอุปกรณ์โดยไม่สวมใส่ถุงมือ,Move equipment without wearing gloves.
925,งานติดตั้งนั่งร้าน SL ไม่อยู่ที่หน้างาน แจ้งว่าทำบัตรหายไม่สามารถเข้า Plant (อุทัย),Olefins2,TTCL,Unsafe Action,SL Performance,งานติดตั้งนั่งร้าน sl ไม่อยู่ที่หน้างาน แจ้งว่าทำบัตรหายไม่สามารถเข้า plant (อุทัย),"Installation of scaffolding sl is not at the job site. Report lost card, unable to enter the plant (Uthai)"
926,รื้อ Insulation โดยไม่สวมใส่ถุงมือและ Goggle,HOT,RNC,Unsafe Action,Insulation,"รื้อ insulation โดยไม่สวมใส่ถุงมือ, goggle","Dismantling insulation without gloves, goggle"
927,HOT-LH-03 ทำงานรื้อ Insulation แต่ JSA ระบุเป็นงานติดตั้ง Insulation,HOT,RNC,Unsafe Action,Insulation,hot-lh-03 ทำงานรื้อ insulation แต่ jsa ระบุเป็นงานติดตั้ง insulation,"hot-lh-03 works to remove insulation, but jsa says it's insulation installation."
928,ถุงใส่เศษ Insulation ไม่ได้ติด Tag ระบุ,HOT,RNC,Unsafe Action,Insulation,ถุงใส่เศษ insulation ไม่ได้ติด tag ระบุ,The insulation crumb bag does not have a specific tag attached.
929,แผ่นนั่งร้านที่วางสำหรับเป็นจุดยืนส่งอุปกรณ์ไม่ได้ผูกมัดและวาง 2 แผ่น,Olefins2,TTCL,Unsafe Condition,Scaffolding,"แผ่นนั่งร้านที่วางสำหรับเป็นจุดยืนส่งอุปกรณ์ไม่ได้ผูกมัด, วาง 2 แผ่น","Scaffolding plates used as a stand for unbound equipment delivery, 2 panels"
930,ไม่มี JSA แนบ PTW,Olefins2,REPCO (ME),Unsafe Action,PTW & JSA,ไม่มี jsa แนบ ptw,no jsa attached ptw
931,ปีนบันได A เพื่อไปยืนทาสีบน Rack,Olefins2,PSA,Unsafe Action,Work at height,"ปีนบันได a , ไปยืนทาสีบน rack","Climb the ladder a , to stand and paint on the rack."
932,กองเก็บอุปกรณ์นั่งร้าน โดยไม่มี Barricade กั้น,HOT,WTM,Unsafe Condition,Housekeeping,กองเก็บอุปกรณ์นั่งร้าน โดยไม่มี barricade กั้น,Scaffolding storage piles without barriers
933,Safety Sling ไม่ได้พันเทป double protection,Interpipe,ACE,Unsafe Condition,Pressure test,safety sling ไม่ได้พันเทป double protection,safety sling unwrapped double protection
934,ผู้ปฏิบัติงานลืมคล้องเกี่ยว Safety Harness,HOT,RNC,Unsafe Action,Scaffolding,ผู้ปฏิบัติงานลืมคล้องเกี่ยว safety harness,Operators forget about safety harness
935,Safety Lead 1 คนดูแลงานติดตั้งนั่งร้านหลายจุด (คนละชั้น),HOT,RNC,Unsafe Action,SL Performance,safety lead 1 คนดูแลงานติดตั้งนั่งร้านหลายจุด (คนละชั้น),safety lead 1 person takes care of the installation of scaffolding at several points (different floor)
936,ผู้ปฏิบัติงานขึ้นไปยืนบนตู้เครื่องมือเพื่อคล้อง/ ผูกมัดสะเก็น,HOT,RNC,Unsafe Action,Lifting,"ผู้ปฏิบัติงานขึ้นไปยืนบนตู้เครื่องมือ, คล้อง, ผูกมัดสะเก็น","The operator stands on the tool cabinet, ties, binds the shards."
937,Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect (7 th Floor),HOT,WTM,Unsafe Condition,Scaffolding,tag นั่งร้านหมดอายุ ยังไม่ได้ re-inspect (7 th floor),"Tag expired scaffolding, not yet re-inspect (7 th floor)"
938,ติดตั้ง Rack สายไฟกีดขวาง Hose Box และ Fire hydrant,HOT,RNC,Unsafe Condition,Housekeeping,"ติดตั้ง rack สายไฟกีดขวาง hose box , fire hydrant","Install rack, wire obstruction, hose box, fire hydrant."
939,ใช้เชือกฟางผูกมัดอุปกรณ์ที่จะนำไปใช้งานบนที่สูง,HOT,RNC,Unsafe Action,Work at height,ใช้เชือกฟางผูกมัดอุปกรณ์ที่จะนำไปใช้งานบนที่สูง,Use straw ropes to bind equipment that will be deployed on high ground.
940,ผู้ปฏิบัติงานยืนลำเลียง/ ขนย้ายอุปกรณ์นั่งร้าน ในจุดเสี่ยง (ยืนบนบันไดลิง),HOT,RNC,Unsafe Condition,Scaffolding,"ผู้ปฏิบัติงานยืนลำเลียง, ขนย้ายอุปกรณ์นั่งร้าน ในจุดเสี่ยง (ยืนบนบันไดลิง)","Operator standing conveyor, transporting scaffolding equipment in risk areas (standing on monkey ladders)."
941,ผู้ช่วยช่างไม่สวมใส่ Face Shield ขณะประคองชิ้นงาน,TFU,ACE,Unsafe Action,Hot Work,ผู้ช่วยช่างไม่สวมใส่ face shield ขณะประคองชิ้นงาน,The technician's assistant does not wear a face shield while supporting the workpiece.
942,Plate รองนั่งร้านไม่ได้ผูกมัดกันตก,HOT,RNC,Unsafe Condition,Scaffolding,plate รองนั่งร้านไม่ได้ผูกมัดกันตก,The scaffolding support plate is not tied together.
943,ผู้ปฏิบัติงานคล้องเกี่ยว Safety Harness ในระดับต่ำกว่าศีรษะ,HOT,RNC,Unsafe Action,Scaffolding,ผู้ปฏิบัติงานคล้องเกี่ยว safety harness ในระดับต่ำกว่าศีรษะ,The operator attaches the safety harness below the head level.
944,จุดที่ติดตั้งนั่งร้าน ไม่ตรงกับจุดที่ปฏิบัติงาน ทำให้ผู้ปฏิบัติงานมีการเอี้ยวตัว เสี่ยงต่อการตกจากที่สูง,Olefins2,TNE,Unsafe Condition,Insulation,"จุดที่ติดตั้งนั่งร้าน ไม่ตรง, จุดที่ปฏิบัติงาน ทำให้ผู้ปฏิบัติงานมีการเอี้ยวตัว เสี่ยงต่อการตกจากที่สูง","The installation point of the scaffolding is not straight, the point of operation causing operators to turn risk of falling from a height"
945,เศษพลาสติกและถ้วยโฟมปลิวมากจาก Contractor village ติดตามอุปกรณ์,Olefins2,TNE,Unsafe Condition,Housekeeping,"เศษพลาสติก, ถ้วยโฟมปลิวมากจาก contractor village ติดตามอุปกรณ์","Plastic scraps, foam cups blown from contractor village tracking equipment"
946,อุปกรณ์นั่งร้านวางกีดขวางทางขึ้นลงบันได,COLD,SIS,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านวางกีดขวางทางขึ้นลงบันได,Scaffolding devices blocking the way up and down the stairs.
947,ถุงใส่น้ำยาจากงาน Cold cut รั่ว ,HOT,RNC,Unsafe Condition,Hot Work,ถุงใส่น้ำยาจากงาน cold cut รั่ว,Liquid bag from cold cut work is leaking.
948,แสงสว่างไม่เพียงพอ (6th Floor),HOT,RNC,Unsafe Condition,Environmental,แสงสว่างไม่เพียงพอ (6th floor),Insufficient lighting (6th floor)
949,"1.ไม่ระบุชื่อผู้ปฏิบัติงาน
2.ไม่ได้ตรวจสอบมาตรการที่ระบุใน JSA
3.ไม่ได้ลงชื่อตรวจสอบหน้างานที่หน้า Work",HOT,REPCO (MES),Unsafe Action,Radiation,"1.ไม่ระบุชื่อผู้ปฏิบัติงาน, 2.ไม่ได้ตรวจสอบมาตรการที่ระบุใน jsa, 3.ไม่ได้ลงชื่อตรวจสอบหน้างานที่หน้า work","1. Anonymous worker, 2. Not checking the measures specified in jsa, 3. Not signing the job site check at the work page."
950,"Work permit อยู่ที่เต็นท์พักด้านล่าง ไม่มีแสดงที่หน้างาน (4,6th Floor)",HOT,RNC,Unsafe Action,PTW & JSA,"work permit อยู่ที่เต็นท์พักด้านล่าง ไม่มีแสดงที่หน้างาน (4 , 6th floor)","The work permit is in the tent below. Not displayed at the event (4 , 6th floor)"
951,ถาดรองน้ำยาหล่อเย็นงาน Cold cut (Top TLE) ไหลออกนอกภาชนะหยดลงด้านล่างเนื่องจากถาดรองมีขนาดเล็ก,HOT,RNC,Unsafe Condition,Hot Work,ถาดรองน้ำยาหล่อเย็นงาน cold cut (top tle) ไหลออกนอกภาชนะหยดลงด้านล่างเนื่องจากถาดรองมีขนาดเล็ก,The coolant tray for cold cut work (top tle) flows out of the drip container to the bottom because the tray is small.
952,ไม่มี Checklist ตรวจสอบตู้ไฟ (ใช้งานแล้ว),HOT,RNC,Unsafe Condition,Electrical & Grounding,ไม่มี checklist ตรวจสอบตู้ไฟ (ใช้งานแล้ว),"No checklist, check the power cabinet (used)"
953,ปิดกั้นช่องเปิดไม่ครอบคลุม ใช้เพียงกรวยวางและติดป้ายเตือน,HOT,RNC,Unsafe Condition,Work at height,"ปิดกั้นช่องเปิดไม่ครอบคลุม ใช้เพียงกรวยวาง, ติดป้ายเตือน","Block openings, do not cover Use only a cone to place, attach a warning label."
954,งานรื้อ Insulation เปิด Grating ทิ้งไว้,HOT,RNC,Unsafe Condition,Work at height,งานรื้อ insulation เปิด grating ทิ้งไว้,Dismantling insulation work. Leave grating open.
955,ไม่มี Hard Barricade ป้องกันจุดปฏิบัติงาน HW I ใกล้หลุมลึก,TFU,ACE,Unsafe Condition,Work at height,ไม่มี hard barricade ป้องกันจุดปฏิบัติงาน hw i ใกล้หลุมลึก,No hard barricade preventing hw i action points near deep pits
956,ไม่มีเชือกคล้องเกี่ยวอุปกรณ์ที่ใช้งาน,TFU,ACE,Unsafe Condition,Work at height,ไม่มีเชือกคล้องเกี่ยวอุปกรณ์ที่ใช้งาน,There is no lanyard to attach the device to use.
957,ป้ายเตือนอันตรายมีสภาพซีดจาง (เปียกน้ำ),Olefins2,RSC,Unsafe Condition,Scaffolding,ป้ายเตือนอันตรายมีสภาพซีดจาง (เปียกน้ำ),Hazard warning labels are faded (wet).
958,ป้ายเตือนอันตรายมีสภาพซีดจาง (เปียกน้ำ),Olefins2,PSA,Unsafe Condition,Scaffolding,ป้ายเตือนอันตรายมีสภาพซีดจาง (เปียกน้ำ),Hazard warning labels are faded (wet).
959,ป้ายเตือนอันตรายมีสภาพซีดจาง (เปียกน้ำ),Olefins2,LT,Unsafe Condition,Scaffolding,ป้ายเตือนอันตรายมีสภาพซีดจาง (เปียกน้ำ),Hazard warning labels are faded (wet).
960,ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน,ARU,HDS,Unsafe Condition,Housekeeping,ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน,Do not store scaffolding equipment after demolition
961,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน
",COLD,SIS,Unsafe Condition,Housekeeping,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน,","Do not store scaffolding equipment after demolition,"
962,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน
",COLD,SIS,Unsafe Condition,Housekeeping,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน,","Do not store scaffolding equipment after demolition,"
963,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน
",HOT,WTM,Unsafe Condition,Housekeeping,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน,","Do not store scaffolding equipment after demolition,"
964,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน
",HOT,LT,Unsafe Condition,Housekeeping,"ไม่จัดเก็บอุปกรณ์นั่งร้าน หลังการรื้อถอน,","Do not store scaffolding equipment after demolition,"
965,พื้นที่ Contractor Village แออัด ห้องน้ำไม่เพียงพอ เสี่ยงต่อการแพร่ระบาดโรค COVID-19,HOT,RNC,Unsafe Condition,Safety Management,พื้นที่ contractor village แออัด ห้องน้ำไม่เพียงพอ เสี่ยงต่อการแพร่ระบาดโรค covid-19,"The contractor village area is crowded, the bathroom is not enough. risk of spreading covid-19"
966,เต็นท์พักทีมงานด้านหน้าเตา โต๊ะนั่งค่อนข้างชิดกัน พิจารณาเพิ่มเต็นท์อีก 1 หลัง เพื่อขยายโต๊ะนั่งให้ห่างกัน,HOT,RNC,Unsafe Condition,Safety Management,"เต็นท์พักทีมงานด้านหน้าเตา โต๊ะนั่งค่อนข้างชิดกัน พิจารณาเพิ่มเต็นท์อีก 1 หลัง , ขยายโต๊ะนั่งให้ห่างกัน","Team tent in front of the stove The tables sit quite close together. Consider adding one more tent, expanding the seating area."
967,"(Fire Box) 
แผ่นนั่งร้านไม่มีตัวล็อคและไม่ได้ผูกมัดลวด
มีช่องว่างบนนั่งร้าน
อุปกรณ์วางกีดขวางบนนั่งร้าน",HOT,RNC,Unsafe Condition,Scaffolding,"(fire box) , แผ่นนั่งร้านไม่มีตัวล็อค, ไม่ได้ผูกมัดลวด, มีช่องว่างบนนั่งร้าน, อุปกรณ์วางกีดขวางบนนั่งร้าน","(fire box), scaffolding plate without lock, not binding wire, gap on scaffold, obstruction on scaffold"
968,งาน Buff แนวเชื่อม Coil เปิด Work permit 1 ใบ ทำงาน 2  จุด (ชั้น 4 และ Fire Box),HOT,RNC,Unsafe Condition,PTW & JSA,"งาน buff แนวเชื่อม coil เปิด work permit 1 ใบ ทำงาน 2 จุด (ชั้น 4 , fire box)","Buff work, welding coil, open work permit, 1 work permit, 2 work points (4th floor, fire box)"
969,วาง Pipe นั่งร้านสำหรับต๋งท่อ แต่วางไม่ตรงกับคานรับน้ำหนัก อาจทำให้ grating ยุบเสียหาย,HOT,RNC,Unsafe Condition,Lifting,"วาง pipe นั่งร้านสำหรับต๋งท่อ แต่วางไม่ตรง, คานรับน้ำหนัก อาจทำให้ grating ยุบเสียหาย","Laying pipe scaffolding for Dong Pipe But not placed straight, the beam may cause the grating to collapse."
970,วางอุปกรณ์นั่งร้านกีดขวางทางเดิน,HOT,RNC,Unsafe Condition,Housekeeping,วางอุปกรณ์นั่งร้านกีดขวางทางเดิน,Place scaffolding to block the walkway.
971,Spray nozzle เอียง อาจเกิดจากการตั้งนั่งร้าน,Olefins2,MOC (OPE),Unsafe Condition,Others,spray nozzle เอียง อาจเกิดจากการตั้งนั่งร้าน,"The spray nozzle is tilted, possibly caused by scaffolding."
972,ใช้ตะแกรงลวดครอบท่อไอเสีย Generator,HOT,RNC,Unsafe Condition,Tools & Equipment,ใช้ตะแกรงลวดครอบท่อไอเสีย generator,Use a wire mesh to cover the generator exhaust pipe.
973,ช่องเปิดบนหลังคาเตาไม่ได้ปิดกั้น Barricade ซึ่งมีการทำงาน HW I ,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบนหลังคาเตาไม่ได้ปิดกั้น barricade ซึ่งมีการทำงาน hw i,The opening on the stove roof does not block the barricade in which hw i operates.
974,ค้อนทองเหลือง ไม่ได้เจาะรูที่ปลายด้ามทำให้ไม่มีเชือกผูก,HOT,RNC,Unsafe Condition,Work at height,ค้อนทองเหลือง ไม่ได้เจาะรูที่ปลายด้ามทำให้ไม่มีเชือกผูก,"brass hammer No holes are drilled at the end of the handle, so there are no ropes to tie."
975,วางบันไดพาดอุปกรณ์ ไม่ได้ใช้งาน,HOT,RNC,Unsafe Condition,Housekeeping,วางบันไดพาดอุปกรณ์ ไม่ได้ใช้งาน,"Ladder is placed across the device, not in use."
976,ปิดล้อมผ้ากันไฟไม่ครอบคลุม โดยมีประกายไฟกระเด็นออกมา,HOT,RNC,Unsafe Condition,Hot Work,ปิดล้อมผ้ากันไฟไม่ครอบคลุม โดยมีประกายไฟกระเด็นออกมา,enclosed fireproof cloth not covered with sparks splashing out
977,ผู้ปฏิบัติงานไม่ได้คล้องประแจกันตก งาน Remove TLE,HOT,RNC,Unsafe Condition,Work at height,ผู้ปฏิบัติงานไม่ได้คล้องประแจกันตก งาน remove tle,The operator does not attach the wrench to prevent falling. Remove tle work.
978,ผู้ปฏิบัติงานไม่ได้เอา Face Shield ลง,HOT,RNC,Unsafe Action,Hot Work,ผู้ปฏิบัติงานไม่ได้เอา face shield ลง,The operator did not put down the face shield.
979,ผู้ปฏิบัติงานลืมคล้องเกี่ยว Safety Harness,HOT,REPCO (PdM),Unsafe Action,Work at height,ผู้ปฏิบัติงานลืมคล้องเกี่ยว safety harness,Operators forget about safety harness
980,ผ้ากันไฟมีสภาพชำรุด,HOT,RNC,Unsafe Condition,Hot Work,ผ้ากันไฟมีสภาพชำรุด,The fire retardant cloth is damaged.
981,Hole watch สวมเสื้อสะท้อนแสงสีส้ม,HOT,APECT,Unsafe Action,CSE,hole watch สวมเสื้อสะท้อนแสงสีส้ม,hole watch wearing orange reflective vest
982,งานยก Port drain oil ไม่ได้ปิดล้อมพื้นที่จุดใต้ Rack ที่มีการยกของข้าม (HH-029),HOT,TSK,Unsafe Condition,Lifting,งานยก port drain oil ไม่ได้ปิดล้อมพื้นที่จุดใต้ rack ที่มีการยกของข้าม (hh-029),Port drain oil lifting work does not enclose the area under the rack where loads are crossed (hh-029).
983,งานยกขนย้ายอุปกรณ์ ไม่ได้ปิดล้อมพื้นที่ (LH-021),HOT,RNC,Unsafe Condition,Lifting,งานยกขนย้ายอุปกรณ์ ไม่ได้ปิดล้อมพื้นที่ (lh-021),Lifting and moving equipment Does not enclose the area (lh-021)
984,การผูกมัด TLE No.3 เพื่อ tailing vertical เกิดการลูด,HOT,RNC,Unsafe Condition,Lifting,"การผูกมัด tle no.3 , tailing vertical เกิดการลูด","Binding tle no.3 , tailing vertical slop"
985,Water leak during jet (จุด connect hose กับ TLE),HOT,RNC,Unsafe Condition,Water jet,"water leak during jet (จุด connect hose , tle)","water leak during jet (จุด connect hose , tle)"
986,วางอุปกรณ์นั่งร้านกระจัดกระจายบนนั่งร้าน ไม่เป็นระเบียบ,HOT,RNC,Unsafe Condition,Housekeeping,วางอุปกรณ์นั่งร้านกระจัดกระจายบนนั่งร้าน ไม่เป็นระเบียบ,Place scattered scaffolding equipment on the scaffolding. disorganized
987,นำน้ำดื่มใส่ถังขึ้นไปบน Furnace,HOT,RNC,Unsafe Condition,Safety Management,นำน้ำดื่มใส่ถังขึ้นไปบน furnace,Bring drinking water into the tank up to the furnace.
988,"Safety Lead 1 คน ดูแลงาน HW I 2 จุด (Fire Box, ชั้น 4)",HOT,RNC,Unsafe Action,Hot Work,"safety lead 1 คน ดูแลงาน hw i 2 จุด (fire box , ชั้น 4)","safety lead 1 person takes care of hw i 2 points (fire box , 4th floor)"
989,ไม่สวมหน้ากาก R-95 ขณะทำงานทาสี,Olefins2,PSA,Unsafe Action,Paint/ Coat/ Blast,ไม่สวมหน้ากาก r-95 ขณะทำงานทาสี,Do not wear the r-95 mask while working on the paint job.
990,วางขา Hiab ใกล้รางระบายน้ำ และไม่มีแผ่นรอง,ARU,NALCO,Unsafe Condition,Chemical Work,"วางขา hiab ใกล้รางระบายน้ำ , ไม่มีแผ่นรอง","Place hiab legs near the drain , no pads."
991,เครื่อง Water jet ใช้สาย Ground ไม่เป็นไปตามข้อกำหนด,HOT,HDS,Unsafe Condition,Water jet,เครื่อง water jet ใช้สาย ground ไม่เป็นไปตามข้อกำหนด,The water jet uses a ground wire that does not meet the requirements.
992,อุปกรณ์ช่วยยก (ตะขอ) ไม่ได้ระบุพิกัดน้ำหนัก (SWL),HOT,RNC,Unsafe Condition,Lifting,อุปกรณ์ช่วยยก (ตะขอ) ไม่ได้ระบุพิกัดน้ำหนัก (swl),Lifting aids (hooks) do not specify a weight rating (swl).
993,แสงสว่างไม่เพียงพอ,HOT,RNC,Unsafe Condition,Environmental,แสงสว่างไม่เพียงพอ,insufficient lighting
994,SL ไม่ได้ตรวจสอบ HW I Cert. และ JSA,TFU,MYC,Unsafe Action,Hot Work,"sl ไม่ได้ตรวจสอบ hw i cert. , jsa","sl doesn't check hw i cert. , jsa"
995,"หินเจียรไม่มี Handle
",TFU,ACE,Unsafe Condition,Hot Work,"หินเจียรไม่มี h, le,","Grinding stone no h, le,"
996,สาย Hose ทิ้งไว้ที่หน้างาน,TFU,MOC (OPE),Unsafe Condition,Housekeeping,สาย hose ทิ้งไว้ที่หน้างาน,The hose is left at the job site.
997,ป้ายเตือนอันตรายไม่ได้ Update ข้อมูลปัจจุบัน,Olefins2,WTM,Unsafe Condition,Scaffolding,ป้ายเตือนอันตรายไม่ได้ update ข้อมูลปัจจุบัน,Hazard warning labels do not update current information.
998,ป้ายเตือนอันตรายไม่ได้ Update ข้อมูลปัจจุบัน,UT,NALCO,Unsafe Condition,Chemical Work,ป้ายเตือนอันตรายไม่ได้ update ข้อมูลปัจจุบัน,Hazard warning labels do not update current information.
999,วางอุปกรณ์บนนั่งร้าน ไม่มีถาด/ ตะกร้าใส่อุปกรณ์,HOT,RNC,Unsafe Condition,Work at height,"วางอุปกรณ์บนนั่งร้าน ไม่มีถาด, ตะกร้าใส่อุปกรณ์","Place equipment on scaffolding, without trays, baskets for equipment."
