ID,TagName,Description,Area
8059,PSL9600,,ARU
8060,AT9600_XF,,ARU
8061,HS8701B,HV8701 CLOSEFROM LOCAL,ARU
8062,HS8702B,HV8702 CLOSEFROM LOCAL,ARU
8063,HS8703B,HV8703 CLOSEFROM LOCAL,ARU
8064,HS8801B,HV8801 CLOSEFROM LOCAL,ARU
8065,HS8802B,HV8802 CLOSEFROM LOCAL,ARU
8066,HS8901B,HV8901 CLOSEFROM LOCAL,ARU
8067,HS8902B,HV8902 CLOSEFROM LOCAL,ARU
8068,HS8903B,HV8903      FROM LOCAL,ARU
8069,HS8904B,HV8904      FROM LOCAL,ARU
8070,HSE890ASP,E890A       REMOTE STOP,ARU
8071,HSE890BSP,E890B       REMOTE STOP,ARU
8072,HSE896ASP,E896A       REMOTE STOP,ARU
8073,HSE896BSP,E896B       REMOTE STOP,ARU
8074,XSP890A-ST,P890A AUTO  START,ARU
8075,XSP890B-ST,P890B AUTO  START,ARU
8076,XSP960-SP,P960 REMOTE REMOTE STOP,ARU
8077,XSP960-ST,P960 AUTO   START,ARU
8078,XSP963A-SP,P963A REMOTEREMOTE STOP,ARU
8079,XSP963A-ST,P963A AUTO  START,ARU
8080,XSP963B-SP,P963B REMOTEREMOTE STOP,ARU
8081,XSP963B-ST,P963B AUTO  START,ARU
8082,FI483-01A,PRIMARY VENTFLOW (DE),COLD
8083,FI483-01B,PRIMARY VENTFLOW (DE),COLD
8084,FI483-01C,PRIMARY VENTFLOW (DE),COLD
8085,FI483-03A,PRIMARY VENTFLOW (NDE),COLD
8086,FI483-03B,PRIMARY VENTFLOW (NDE),COLD
8087,FI483-03C,PRIMARY VENTFLOW (NDE),COLD
8088,LI480-02,OIL RESVR   LEVEL,COLD
8089,LI481-01,LO RUNDOWN  TANK LEVEL,COLD
8090,PI480-09,C-460 LO    SUPPLY PRESS,COLD
8091,PI481-03A,C-460 LO    HEADER PRESS,COLD
8092,PI481-03B,C-460 LO    HEADER PRESS,COLD
8093,PI481-03C,C-460 LO    HEADER PRESS,COLD
8094,PI483-04,N2 GAS      SUPPLY PRESS,COLD
8095,TI411A,H2 TO Z-440 TEMPERATURE,COLD
8096,TI411B,H2 TO Z-441 TEMPERATURE,COLD
8097,TI411C,H2 TO Z-442 TEMPERATURE,COLD
8098,TI412A,TAIL GAS TO FG TEMP,COLD
8099,TI412B,TAIL GAS TO FG TEMP,COLD
8100,TI412C,TAIL GAS TO FG TEMP,COLD
8101,TI413A,RECYCLE C2H6TO E005 TEMP,COLD
8102,TI413B,RECYCLE C2H6TO E005 TEMP,COLD
8103,TI413C,RECYCLE C2H6TO E005 TEMP,COLD
8104,TI450A,C-460 1ST   DSCH TEMP,COLD
8105,TI450B,C-460 1ST   DSCH TEMP,COLD
8106,TI450C,C-460 1ST   DSCH TEMP,COLD
8107,TI451A,C-460 2ND   DSCH TEMP,COLD
8108,TI451B,C-460 2ND   DSCH TEMP,COLD
8109,TI451C,C-460 2ND   DSCH TEMP,COLD
8110,TI452A,E-420 OUTLETTO C460 TEMP,COLD
8111,TI452B,E-420 OUTLETTO C460 TEMP,COLD
8112,TI452C,E-420 OUTLETTO C460 TEMP,COLD
8113,TI480-02,OIL RESVR   TEMPERATURE,COLD
8114,PI499-03,TTV CONTROL OIL PRESS,COLD
8115,PI499-04,TTV CONTROL OIL PRESS,COLD
8116,PI499-05,TTV CONTROL OIL PRESS,COLD
8117,TI446A,MP ETHYLENE TEMPERATURE,COLD
8118,TI446B,MP ETHYLENE TEMPERATURE,COLD
8119,TI446C,MP ETHYLENE TEMPERATURE,COLD
8120,XZI401A,XV-401A POS.TRANSMITTER,COLD
8121,XZI401B,XV-401B POS.TRANSMITTER,COLD
8122,XZI403,XV-403 POS. TRANSMITTER,COLD
8123,XZI405,XV-405 POS. TRANSMITTER,COLD
8124,XZI407A,XV-407A POS.TRANSMITTER,COLD
8125,XZI407B,XV-407B POS.TRANSMITTER,COLD
8126,XZI421,XV-421 POS.TRANSMITTER,COLD
8127,PI421A,FUEL GAS PRESS TO ROC,COLD
8128,PI421B,FUEL GAS PRESS TO ROC,COLD
8129,PI421C,FUEL GAS PRESS TO ROC,COLD
8130,HSFI483-01B_MOS,PRIMARY VENTFLOW (DE),COLD
8131,HSFI483-01C_MOS,PRIMARY VENTFLOW (DE),COLD
8132,HSFI483-03B_MOS,PRIMARY VENTFLOW (NDE),COLD
8133,HSFI483-03C_MOS,PRIMARY VENTFLOW (NDE),COLD
8134,HSLI480-02_MOS,OIL RESVR   LEVEL,COLD
8135,HSLI481-01_MOS,LO RUNDOWN  TANK LEVEL,COLD
8136,HSPI480-09_MOS,C-460 LO    SUPPLY PRESS,COLD
8137,HSPI481-03B_MOS,C-460 LO    HEADER PRESS,COLD
8138,HSPI481-03C_MOS,C-460 LO    HEADER PRESS,COLD
8139,HSPI483-04_MOS,N2 GAS      SUPPLY PRESS,COLD
8140,HSTI411B_MOS,H2 TO Z-440 TEMPERATURE,COLD
8141,HSTI411C_MOS,H2 TO Z-441 TEMPERATURE,COLD
8142,HSTI412B_MOS,TAIL GAS TO FG TEMP,COLD
8143,HSTI412C_MOS,TAIL GAS TO FG TEMP,COLD
8144,HSTI413B_MOS,RECYCLE C2H6TO E005 TEMP,COLD
8145,HSTI413C_MOS,RECYCLE C2H6TO E005 TEMP,COLD
8146,HSTI446B_MOS,MP ETHYLENE TEMPERATURE,COLD
8147,HSTI446C_MOS,MP ETHYLENE TEMPERATURE,COLD
8148,HSTI450B_MOS,C-460 1ST   DSCH TEMP,COLD
8149,HSTI450C_MOS,C-460 1ST   DSCH TEMP,COLD
8150,HSTI451B_MOS,C-460 2ND   DSCH TEMP,COLD
8151,HSTI451C_MOS,C-460 2ND   DSCH TEMP,COLD
8152,HSTI452B_MOS,E-420 OUTLETTO C460 TEMP,COLD
8153,HSTI452C_MOS,E-420 OUTLETTO C460 TEMP,COLD
8154,HSTI480-02_MOS,OIL RESVR   TEMPERATURE,COLD
8155,HSFI483-01A_MOS,PRIMARY VENTFLOW (DE),COLD
8156,HSFI483-03A_MOS,PRIMARY VENTFLOW (NDE),COLD
8157,HSFZOL418_MOS,FV-418 OPEN LIMIT SWITCH,COLD
8158,HSHZOL402_MOS,HV-402 CLOSELOCAL SWITCH,COLD
8159,HSPI481-03A_MOS,C-460 LO    HEADER PRESS,COLD
8160,HSPI499-03_MOS,TTV CONTROL OIL PRESS,COLD
8161,HSPI499-04_MOS,TTV CONTROL OIL PRESS,COLD
8162,HSPI499-05_MOS,TTV CONTROL OIL PRESS,COLD
8163,HSSAHH494A_MOS,TURB. OVER  SPEED PICKUP,COLD
8164,HSSAHH494B_MOS,TURB. OVER  SPEED PICKUP,COLD
8165,HSSAHH494C_MOS,TURB. OVER  SPEED PICKUP,COLD
8166,HSSAHH494D_MOS,TURB. OVER  SPEED PICKUP,COLD
8167,HSTI411A_MOS,H2 TO Z-441 TEMPERATURE,COLD
8168,HSTI412A_MOS,TAIL GAS TO FG TEMP,COLD
8169,HSTI413A_MOS,RECYCLE C2H6TEMPERATURE,COLD
8170,HSTI446A_MOS,MP ETHYLENE TEMPERATURE,COLD
8171,HSTI450A_MOS,C-460 1ST   DSCH TEMP,COLD
8172,HSTI451A_MOS,C-460 2ND   DSCH TEMP,COLD
8173,HSTI452A_MOS,E-420 OUTLETTO C460 TEMP,COLD
8174,HSXA473A_MOS,CT-460      GOV TRIP,COLD
8175,HSXA473B_MOS,CT-460      GOV TRIP,COLD
8176,HSXA473C_MOS,CT-460      GOV TRIP,COLD
8177,HSXAHH49202A_MOS,TURB.RAD.VIBGOV.X,COLD
8178,HSXAHH49202B_MOS,TURB.RAD.VIBGOV.Y,COLD
8179,HSXAHH49203A_MOS,TURB.RAD.VIBEXH.X,COLD
8180,HSXAHH49203B_MOS,TURB.RAD.VIBEXH.Y,COLD
8181,HSXAHH49204A_MOS,COMP.RAD.VIBDE X,COLD
8182,HSXAHH49204B_MOS,COMP.RAD.VIBDE Y,COLD
8183,HSXAHH49205A_MOS,COMP.RAD.VIBNDE X,COLD
8184,HSXAHH49205B_MOS,COMP.RAD.VIBNDE Y,COLD
8185,HSXZSL493_MOS,TTV CLOSE   LIMIT SWITCH,COLD
8186,HSXZSL496_MOS,MAN BV CLOSELIMIT SWITCH,COLD
8187,HSXZSL497_MOS,MAN BV CLOSELIMIT SWITCH,COLD
8188,HSZAHH49201A_MOS,TURB.AXI.POS(A),COLD
8189,HSZAHH49201B_MOS,TURB.AXI.POS(B),COLD
8190,HSZAHH49202A_MOS,COMP.AXI.POS(A),COLD
8191,HSZAHH49202B_MOS,COMP.AXI.POS(B),COLD
8192,HSSAHH494_MOS,TURB. OVER  SPEED PICKUP,COLD
8193,HSXAHH49202_MOS,TURB.RAD.VIBGOV.X/Y,COLD
8194,HSXAHH49204_MOS,COMP.RAD.VIBDE X/Y,COLD
8195,HSZAHH49201_MOS,TURB.AXI.POS(A/B),COLD
8196,HSZAHH49202_MOS,COMP.AXI.POS(A/B),COLD
8197,HSPDAL48302_MOS,COMP DE SEALPRESS DIFF,COLD
8198,HSPDAL48303_MOS,COMP NDE SEALPRESS DIFF,COLD
8199,HSTAL48006_MOS,OIL RESVR   TEMPERATURE,COLD
8200,HSHZOL402-S_MOS,HV-402 CLOSELOCAL SWITCH,COLD
8201,HSPI421A_MOS,PRESS FUEL GAS TO ROC,COLD
8202,HSPI421B_MOS,PRESS FUEL GAS TO ROC,COLD
8203,HSPI421C_MOS,PRESS FUEL GAS TO ROC,COLD
8204,HS404A,HV-404 CLOSE,COLD
8205,SWHSC460SDA,C-460 SD AT CCR -SW,COLD
8206,SWHSORUHMES,ORU MOS ENABLE -SW,COLD
8207,SWHSORUHOOS,ORU BYPASS ENABLE -SW,COLD
8208,HS400A_MES,C1 TRAIN    MOS ENABLE,COLD
8209,HS400_MES,C&CT-460    MOS ENABLE,COLD
8210,HSXV401A,SW TO PARTIAL STOKE TEST,COLD
8211,HSXV401B,SW TO PARTIAL STOKE TEST,COLD
8212,HSXV403,SW TO PARTIAL STOKE TEST,COLD
8213,HSXV405,SW TO PARTIAL STOKE TEST,COLD
8214,HSXV407A,SW TO PARTIAL STOKE TEST,COLD
8215,HSXV407B,SW TO PARTIAL STOKE TEST,COLD
8216,HSPALL421_BS,PALL421         BYPASS,COLD
8217,HSI401_RS,I-401       RESET,COLD
8218,HSI402_RS,I-402       RESET,COLD
8219,HSI403_RS,I-403       RESET,COLD
8220,HSI404_RS,I-404       RESET,COLD
8221,HS404_RS,HV-404      RESET,COLD
8222,HSI460_RS,I-460       RESET,COLD
8223,HSFEV518_RS,FEV518      RESET,COLD
8224,HSHEV404_RS,HEV404      RESET,COLD
8225,SCS0319OEN_RS,Output Enabl Command,COLD
8226,HSI405_RS,I-405       RESET,COLD
8227,XEV401A,XV-401A     PERMIT OPEN,COLD
8228,XEV401B,XV-401B     PERMIT OPEN,COLD
8229,XEV403,XV-403      PERMIT OPEN,COLD
8230,XEV405,XV-405      PERMIT OPEN,COLD
8231,XEV407A,XV-407A     PERMIT OPEN,COLD
8232,XEV407B,XV-407B     PERMIT OPEN,COLD
8233,XEV421,XV-421      PERMIT OPEN,COLD
8234,FAHH483-01,FAHH483-01       PRIMARY,COLD
8235,FAHH483-03,FAHH483-03       PRIMARY,COLD
8236,FEV418_LF,FEV418_LF        FV-418 ,COLD
8237,FZOL-418,FZOL-418         FV-418 ,COLD
8238,FZOL418_LF,FZOL418_LF       FV-418 ,COLD
8239,HEV404_LF,HEV404_LF        HV-404 ,COLD
8240,HS404B_LF,HS404B_LF        HV404 C,COLD
8241,HSC460-11_LF,HSC460-11_LF     TURBINE,COLD
8242,HSC460-12A_LF,HSC460-12A_LF    SOV-A T,COLD
8243,HSC460-12B_LF,HSC460-12B_LF    SOV-B T,COLD
8244,HSC460SD-A1_LF,HSC460SD-A1_LF   CCR C-4,COLD
8245,HSC460SD-A2_LF,HSC460SD-A2_LF   CCR C-4,COLD
8246,HSC460SD-A3_LF,HSC460SD-A3_LF   CCR C-4,COLD
8247,HSC460SD-A,HSC460SD-A       CCR C-4,COLD
8248,HSC460SD-B1_LF,HSC460SD-B1_LF   LOCAL C,COLD
8249,HSC460SD-B2_LF,HSC460SD-B2_LF   LOCAL C,COLD
8250,HSC460SD-B3_LF,HSC460SD-B3_LF   LOCAL C,COLD
8251,HSC460SD-B,HSC460SD-B       LOCAL C,COLD
8252,HSP468A-SP_LF,HSP468A-SP_LF    MAIN LO,COLD
8253,HSP468A-ST_LF,HSP468A-ST_LF    MAIN LO,COLD
8254,HZOL-402,HZOL-402         HV-402 ,COLD
8255,HZOL402_LF,HZOL402_LF       HV-402 ,COLD
8256,LI480-02_ASO,LI480-02_ASO     OIL RES,COLD
8257,LI481-01_ASO,LI481-01_ASO     LO RUN ,COLD
8258,PALL481-03,PALL481-03       LO HEAD,COLD
8259,PALL499,PALL499          TTV CON,COLD
8260,PEV405_LF,PEV405_LF        PV-405 ,COLD
8261,PEV406_LF,PEV406_LF        PV-406 ,COLD
8262,PEV417_LF,PEV417_LF        PV-417 ,COLD
8263,PI480-09_ASO,PI480-09_ASO     C-460 L,COLD
8264,PI483-04_ASO,PI483-04_ASO     N2 GAS ,COLD
8265,SAHH-494A,SAHH-494A        TURB. O,COLD
8266,SAHH494A_LF,SAHH494A_LF      TURB. O,COLD
8267,SAHH-494B,SAHH-494B        TURB. O,COLD
8268,SAHH494B_LF,SAHH494B_LF      TURB. O,COLD
8269,SAHH-494C,SAHH-494C        TURB. O,COLD
8270,SAHH494C_LF,SAHH494C_LF      TURB. O,COLD
8271,SAHH-494D,SAHH-494D        TURB. O,COLD
8272,SAHH494D_LF,SAHH494D_LF      TURB. O,COLD
8273,SAHH494,SAHH494          TURB. O,COLD
8274,SAL-492-01,SAL-492-01       TURBINE,COLD
8275,SAL492-01_LF,SAL492-01_LF     TURBINE,COLD
8276,SEV480-01_LF,SEV480-01_LF     P-468A ,COLD
8277,TAHH450,TAHH450          C-460 1,COLD
8278,TAHH451,TAHH451          C-460 2,COLD
8279,TALL411,TALL411          H2 TO Z,COLD
8280,TALL412,TALL412          TAIL GA,COLD
8281,TALL413,TALL413          RE C2H6,COLD
8282,TALL446,TALL446          MP ETHY,COLD
8283,TALL452,TALL452          C-460 2,COLD
8284,TI480-02_ASO,TT480-02_ASO     OIL RES,COLD
8285,UAC460-OP1A_LF,UAC460-OP1A_LF   C-460 C,COLD
8286,UAC460-OP1B_LF,UAC460-OP1B_LF   C-460 C,COLD
8287,UAC460-OP1C_LF,UAC460-OP1C_LF   C-460 C,COLD
8288,XA-473A,XA-473A          GOVERNO,COLD
8289,XA473A_LF,XA473A_LF        GOVERNO,COLD
8290,XA-473B,XA-473B          GOVERNO,COLD
8291,XA473B_LF,XA473B_LF        GOVERNO,COLD
8292,XA-473C,XA-473C          GOVERNO,COLD
8293,XA473C_LF,XA473C_LF        GOVERNO,COLD
8294,XA473,XA-473           GOVERNO,COLD
8295,XAHH-492-02A,XAHH-492-02A     TURB. R,COLD
8296,XAHH492-02A_LF,XAHH492-02A_LF   TURB. R,COLD
8297,XAHH-492-02B,XAHH-492-02B     TURB. R,COLD
8298,XAHH492-02B_LF,XAHH492-02B_LF   TURB. R,COLD
8299,XAHH492-02,XAHH492-02       TURB. R,COLD
8300,XAHH-492-03A,XAHH-492-03A     TURB. R,COLD
8301,XAHH492-03A_LF,XAHH492-03A_LF   TURB. R,COLD
8302,XAHH-492-03B,XAHH-492-03B     TURB. R,COLD
8303,XAHH492-03B_LF,XAHH492-03B_LF   TURB. R,COLD
8304,XAHH-492-04A,XAHH-492-04A     COMP. R,COLD
8305,XAHH492-04A_LF,XAHH492-04A_LF   COMP. R,COLD
8306,XAHH-492-04B,XAHH-492-04B     COMP. R,COLD
8307,XAHH492-04B_LF,XAHH492-04B_LF   COMP. R,COLD
8308,XAHH492-04,XAHH492-04       COMP. R,COLD
8309,XAHH-492-05A,XAHH-492-05A     COMP. R,COLD
8310,XAHH492-05A_LF,XAHH492-05A_LF   COMP. R,COLD
8311,XAHH-492-05B,XAHH-492-05B     COMP. R,COLD
8312,XAHH492-05B_LF,XAHH492-05B_LF   COMP. R,COLD
8313,XGV471A_LF,XGV471A_LF       CT-460 ,COLD
8314,XSP426A_LF,XSP426A_LF       P-426A ,COLD
8315,XSP426B_LF,XSP426B_LF       P-426B ,COLD
8316,XSP468B-PER_LF,XSP468B-PER_LF   STAND-B,COLD
8317,XSP468B-ST_LF,XSP468B-ST_LF    STAND-B,COLD
8318,XSP478-PER_LF,XSP478-PER_LF    EMERGEN,COLD
8319,XSP478-ST_LF,XSP478-ST_LF     EMERGEN,COLD
8320,XZSL-493,XZSL-493         TTV CLO,COLD
8321,XZSL493_LF,XZSL493_LF       TTV CLO,COLD
8322,XZSL-496,XZSL-496         B\V SOV,COLD
8323,XZSL496_LF,XZSL496_LF       B\V SOV,COLD
8324,XZSL-497,XZSL-497         B\V SOV,COLD
8325,XZSL497_LF,XZSL497_LF       B\V SOV,COLD
8326,ZAHH492-01,ZAHH492-01       CT-460 ,COLD
8327,ZAHH492-02,ZAHH492-02       C-460 A,COLD
8328,ZAHH-492-01A,ZAHH-492-01A     CT-460 ,COLD
8329,ZAHH492-01A_LF,ZAHH492-01A_LF   CT-460 ,COLD
8330,ZAHH-492-01B,ZAHH-492-01B     CT-460 ,COLD
8331,ZAHH492-01B_LF,ZAHH492-01B_LF   CT-460 ,COLD
8332,ZAHH-492-02A,ZAHH-492-02A     C-460 A,COLD
8333,ZAHH492-02A_LF,ZAHH492-02A_LF   C-460 A,COLD
8334,ZAHH-492-02B,ZAHH-492-02B     C-460 A,COLD
8335,ZAHH492-02B_LF,ZAHH492-02B_LF   C-460 A,COLD
8336,FEV518_LF,FEV518_LF        FV-518 ,COLD
8337,XEV401A_LF,XEV401A_LF       XV-401A,COLD
8338,XEV401B_LF,XEV401B_LF       XV-401B,COLD
8339,XEV403_LF,XEV403_LF        XV-403 ,COLD
8340,XEV405_LF,XEV405_LF        XV-405 ,COLD
8341,XEV407A_LF,XEV407A_LF       XV-407A,COLD
8342,XEV407B_LF,XEV407B_LF       XV-407B,COLD
8343,PAL481-03,PAL481-03        LO HEAD,COLD
8344,XV493-01_LF,XV493-01_LF      CT-460 ,COLD
8345,XV493-02_LF,XV493-02_LF      CT-460 ,COLD
8346,XV493-03_LF,XV493-03_LF      CT-460 ,COLD
8347,XV493-04_LF,XV493-04_LF      CT-460 ,COLD
8348,HSI460RS_LF,HSI460RS_LF      CT-460 ,COLD
8349,XGV471B_LF,XGV471B_LF       CT-460 ,COLD
8350,XGV471C_LF,XGV471C_LF       CT-460 ,COLD
8351,FAHH48301_03,FAHH48301_03     PRIMARY,COLD
8352,HSC460SD,HSC460SD         C-460 M,COLD
8353,I_460,I_460            C-460 S,COLD
8354,PAL480-09,PAL480-09        C-460 L,COLD
8355,ULC460_ANN,ULC460_ANN       C-460 C,COLD
8356,XZS493_ANN,XZS493_ANN       TTV CLO,COLD
8357,HZOL402_ASO,HZO402_ASO       HV-402 ,COLD
8358,SAHH494A_ASO,SAHH494A_ASO     TURB. O,COLD
8359,SAHH494B_ASO,SAHH494B_ASO     TURB. O,COLD
8360,SAHH494C_ASO,SAHH494C_ASO     TURB. O,COLD
8361,SAHH494D_ASO,SAHH494D_ASO     TURB. O,COLD
8362,XA473A_ASO,XA473A_ASO       GOVERNO,COLD
8363,XA473B_ASO,XA473B_ASO       GOVERNO,COLD
8364,XA473C_ASO,XA473C_ASO       GOVERNO,COLD
8365,XAHH492-02A_ASO,XAHH49202A_ASO   TURB. R,COLD
8366,XAHH492-02B_ASO,XAHH49202_ASO    TURB. R,COLD
8367,XAHH492-03A_ASO,XAHH49203A_ASO   TURB. R,COLD
8368,XAHH492-03B_ASO,XAHH49203B_ASO   TURB. R,COLD
8369,XAHH492-04A_ASO,XAHH49204A_ASO   COMP. R,COLD
8370,XAHH492-04B_ASO,XAHH49204B_ASO   COMP. R,COLD
8371,XAHH492-05A_ASO,XAHH49205A_ASO   COMP. R,COLD
8372,XAHH492-05B_ASO,XAHH49205B_ASO   COMP. R,COLD
8373,XZSL493_ASO,XZS493_ASO       TTV CLO,COLD
8374,ZAHH492-01A_ASO,ZAHH49201A_ASO   CT-460 ,COLD
8375,ZAHH492-01B_ASO,ZAHH49201B_ASO   CT-460 ,COLD
8376,ZAHH492-02A_ASO,ZAHH49202AA_ASO  C-460 A,COLD
8377,ZAHH492-02B_ASO,ZAHH49202B_ASO   C-460 A,COLD
8378,FZOL418_ASO,FZO418_ASO       FV-418 ,COLD
8379,SCS0319ASO,SCS0319_ASO      SCS0319,COLD
8380,XZSL496_ASO,XZSL496_ASO,COLD
8381,XZSL497_ASO,XZSL497_ASO,COLD
8382,XS-P426A,XSP426A P-426A STOP COMM,COLD
8383,XS-P426B,XSP426B P-426B STOP COMM,COLD
8384,HSORUC-HMES_LF,ORU COLD MASTER MOS ENAB,COLD
8385,HSORUC-HOOS_LF,ORU COLD MASTER OVERRIDE,COLD
8386,XEV401A-S_LF,XV-401A          PERMIT ,COLD
8387,XEV401B-S_LF,XV-401B          PERMIT ,COLD
8388,XEV403-S_LF,XV-403           PERMIT ,COLD
8389,XEV405-S_LF,XV-405           PERMIT ,COLD
8390,XEV407A-S_LF,XV-407A          PERMIT ,COLD
8391,XEV407B-S_LF,XV-407B          PERMIT ,COLD
8392,HZOL402-S_LF,HZOL402-S_LF     HV-402 ,COLD
8393,HZOL-402-S,HZOL-402         HV-402 ,COLD
8394,PALL421,PALL421 FUEL GAS PRESS L,COLD
8395,FEV422_LF,FEV422_LF        FV-422 ,COLD
8396,XEV421_LF,XEV421_LF        XV-421 ,COLD
8397,HSC460-12A,TURBINE TRIPSOV A TEST,COLD
8398,HSC460SD-A1,CCR C-460   S/D SWITCH,COLD
8399,HSC460SD-B1,LOCAL C-460 S/D SWITCH,COLD
8400,SAHH494A,TURB. OVER  SPEED PICKUP,COLD
8401,SAHH494C,TURB. OVER  SPEED PICKUP,COLD
8402,XA473A,CT-460      GOV TRIP,COLD
8403,XAHH492-02A,TURB.RAD.VIBGOV.X,COLD
8404,XAHH492-03A,TURB.RAD.VIBEXH.X,COLD
8405,XAHH492-04A,COMP.RAD.VIBDE X,COLD
8406,XAHH492-05A,COMP.RAD.VIBNDE X,COLD
8407,ZAHH492-01A,TURB.AXI.POS(A),COLD
8408,ZAHH492-02A,COMP.AXI.POS(A),COLD
8409,FZOL418,FV-418 OPEN LIMIT SWITCH,COLD
8410,HSORUC-HMES,HSORUCHMES MOS ENABLE,COLD
8411,HSORUC-HOOS,HSORUCHOOS OVERRIDE,COLD
8412,XSP426A,P-426A      STOP COMMAND,COLD
8413,XSP468B-PER,STAND-BY LO PUMP PERMIT,COLD
8414,XSP468B-ST,STAND-BY LO PUMP START,COLD
8415,HSC460-12B,TURBINE TRIPSOV B TEST,COLD
8416,HSC460SD-A2,CCR C-460   S/D SWITCH,COLD
8417,HSC460SD-B2,LOCAL C-460 S/D SWITCH,COLD
8418,SAHH494B,TURB. OVER  SPEED PICKUP,COLD
8419,SAHH494D,TURB. OVER  SPEED PICKUP,COLD
8420,XA473B,CT-460      GOV TRIP,COLD
8421,XAHH492-02B,TURB.RAD.VIBGOV.Y,COLD
8422,XAHH492-03B,TURB.RAD.VIBEXH.Y,COLD
8423,XAHH492-04B,COMP.RAD.VIBDE Y,COLD
8424,XAHH492-05B,COMP.RAD.VIBNDE Y,COLD
8425,ZAHH492-01B,TURB.AXI.POS(B),COLD
8426,ZAHH492-02B,COMP.AXI.POS(B),COLD
8427,HS404B,HV-402 CLOSELOCAL SWITCH,COLD
8428,HSC460-11,TURBINE TRIPSOV TEST,COLD
8429,HZOL402-S,HV-402 OPEN LIMIT SWITCH,COLD
8430,XSP426B,P-426B      STOP COMMAND,COLD
8431,XSP478-PER,EMERG.LO    PUMP PERMIT,COLD
8432,XSP478-ST,EMERG.LO    PUMP START,COLD
8433,HSC460SD-A3,CCR C-460   S/D SWITCH,COLD
8434,HSC460SD-B3,LOCAL C-460 S/D SWITCH,COLD
8435,XA473C,CT-460      GOV TRIP,COLD
8436,HZOL402,HV-402 OPEN LIMIT SWITCH,COLD
8437,HSP468A-SP,MAIN LO PUMPSTOP,COLD
8438,HSP468A-ST,MAIN LO PUMPSTART,COLD
8439,SAL492-01,TURBINE     ZERO SPEED,COLD
8440,XZSL493,TTV CLOSE   LIMIT SWITCH,COLD
8441,XZSL496,MAN BV CLOSELIMIT SWITCH,COLD
8442,XZSL497,MAN BV CLOSELIMIT SWITCH,COLD
8443,XGV471A,CT-460 TURB.EXT GOV TRIP,COLD
8444,UAC460-OP1A,C-460 ASC   SHUTDOWN,COLD
8445,XV493-01,CT-460 TURB.TRIP SOV A,COLD
8446,XV493-02,CT-460 TURB.TRIP SOV B,COLD
8447,FEV418,FV-418      PER TO CTRL,COLD
8448,FEV518,FV-518      PER TO CTRL,COLD
8449,HEV404,HV-404      PER TO CTRL,COLD
8450,XEV401A-S,XV-401A     PERMIT OPEN,COLD
8451,XEV401B-S,XV-401B     PERMIT OPEN,COLD
8452,XEV403-S,XV-403      PERMIT OPEN,COLD
8453,XEV405-S,XV-405      PERMIT OPEN,COLD
8454,XEV407A-S,XV-407A     PERMIT OPEN,COLD
8455,XEV407B-S,XV-407B     PERMIT OPEN,COLD
8456,FEV422,FV-422       PERMIT OPEN,COLD
8457,XGV471B,CT-460 TURB.EXT GOV TRIP,COLD
8458,UAC460-OP1B,C-460 ASC   SHUTDOWN,COLD
8459,XV493-03,CT-460 TURB.TRIP SOV C,COLD
8460,XV493-04,CT-460 TURB.TRIP SOV D,COLD
8461,PEV405,PV-405      PER TO CTRL,COLD
8462,PEV406,PV-406      PER TO CTRL,COLD
8463,PEV417,PV-417      PER TO CTRL,COLD
8464,SEV480-01,SV-480-01   PER TO OPEN,COLD
8465,XGV471C,CT-460 TURB.EXT GOV TRIP,COLD
8466,UAC460-OP1C,C-460 ASC   SHUTDOWN,COLD
8467,HSI460RS,I-460       RESET,COLD
8468,PI501A-Z,T-500 OVHD  PRESS (ESD),COLD
8469,PI501B-Z,T-500 OVHD  PRESS (ESD),COLD
8470,PI501C-Z,T-500 OVHD  PRESS (ESD),COLD
8471,PI548,E-505AB S/S LS-2 INLET,COLD
8472,TI579A-Z,T-500 FEED  TEMP (ESD),COLD
8473,TI579B-Z,T-500 FEED  TEMP (ESD),COLD
8474,TI579C-Z,T-500 FEED  TEMP (ESD),COLD
8475,TI514A-10A,R-520A 1ST  BED TEMP #10,COLD
8476,TI514A-10B,R-520A 1ST  BED TEMP #10,COLD
8477,TI514A-10C,R-520A 1ST  BED TEMP #10,COLD
8478,TI514A-11A,R-520A 1ST  BED TEMP #11,COLD
8479,TI514A-11B,R-520A 1ST  BED TEMP #11,COLD
8480,TI514A-11C,R-520A 1ST  BED TEMP #11,COLD
8481,TI514A-12A,R-520A 1ST  BED TEMP #12,COLD
8482,TI514A-12B,R-520A 1ST  BED TEMP #12,COLD
8483,TI514A-12C,R-520A 1ST  BED TEMP #12,COLD
8484,TI514A-1A,R-520A 1ST  BED TEMP #1,COLD
8485,TI514A-1B,R-520A 1ST  BED TEMP #1,COLD
8486,TI514A-1C,R-520A 1ST  BED TEMP #1,COLD
8487,TI514A-2A,R-520A 1ST  BED TEMP #2,COLD
8488,TI514A-2B,R-520A 1ST  BED TEMP #2,COLD
8489,TI514A-2C,R-520A 1ST  BED TEMP #2,COLD
8490,TI514A-3A,R-520A 1ST  BED TEMP #3,COLD
8491,TI514A-3B,R-520A 1ST  BED TEMP #3,COLD
8492,TI514A-3C,R-520A 1ST  BED TEMP #3,COLD
8493,TI514A-4A,R-520A 1ST  BED TEMP #4,COLD
